Player,Prop,Line,Opponent,Odds Over,Odds Under,Implied Over,Implied Under,EV Over,EV Under,Avg Stat L5,Std Stat L5,Prob Over,Prob Under,OVER L5,OVER L10,OVER L15,Avg Min L5,Spread,Total,Opp Def Rating,Opp Def Rank,Opp Pace,Opp Pace Rank
Dyson Daniels,REB+AST,11.5,Houston Rockets,-110,-105,0.524,0.512,43.75,-51.78,13.2,2.86,0.753,0.247,0.6,0.8,0.6,33.45,3.5,227.0,112.4,8,96.68,29
Sandro Mamukelashvili,PTS+REB+AST,12.5,Denver Nuggets,-120,-110,0.545,0.524,43.0,-58.0,17.4,5.18,0.78,0.22,1.0,0.7,0.67,20.92,7.0,238.5,115.8,21,99.36,20
Amen Thompson,PTS+REB,26.5,Atlanta Hawks,-118,-108,0.541,0.519,42.62,-56.09,30.0,6.56,0.772,0.228,0.6,0.8,0.6,38.35,-3.5,227.0,113.1,11,102.82,2
Donovan Clingan,BLK,1.5,Minnesota Timberwolves,-113,-102,0.531,0.505,42.5,-51.68,2.8,2.17,0.756,0.244,0.8,0.6,0.67,27.7,2.5,231.5,112.8,9,101.55,9
OG Anunoby,PTS,17.5,Brooklyn Nets,-105,-110,0.512,0.524,41.94,-47.88,21.8,4.71,0.727,0.273,0.8,0.5,0.47,32.19,-17.5,214.5,118.2,27,97.33,27
Ty Jerome,3PM,2.5,Boston Celtics,-112,-105,0.528,0.512,41.59,-50.8,3.2,1.3,0.748,0.252,0.6,0.6,0.54,24.41,15.0,229.0,111.6,4,95.43,30
Gui Santos,PTS+REB+AST,21.5,Detroit Pistons,-118,-105,0.541,0.512,41.52,-54.31,26.0,5.96,0.766,0.234,0.8,0.7,0.73,31.82,5.0,217.0,109.0,2,100.05,19
Jalen Johnson,AST,7.5,Houston Rockets,-120,-105,0.545,0.512,40.25,-54.12,10.2,2.17,0.765,0.235,1.0,0.7,0.73,36.55,3.5,227.0,112.4,8,96.68,29
Olivier-Maxence Prosper,PTS+REB+AST,15.5,Boston Celtics,100,-130,0.5,0.565,39.8,-46.75,18.2,1.64,0.699,0.301,1.0,0.8,0.8,23.27,15.0,229.0,111.6,4,95.43,30
Ty Jerome,PTS+REB,21.5,Boston Celtics,-115,-105,0.535,0.512,39.47,-50.41,24.6,4.77,0.746,0.254,0.8,0.7,0.69,24.41,15.0,229.0,111.6,4,95.43,30
Amen Thompson,PTS+REB+AST,32.5,Atlanta Hawks,-105,-110,0.512,0.524,39.2,-45.21,35.4,7.23,0.713,0.287,0.6,0.8,0.53,38.35,-3.5,227.0,113.1,11,102.82,2
Taylor Hendricks,PTS,9.5,Boston Celtics,-110,-110,0.524,0.524,39.17,-48.26,12.2,4.55,0.729,0.271,0.6,0.7,0.67,24.9,15.0,229.0,111.6,4,95.43,30
Amen Thompson,PTS+AST,24.5,Atlanta Hawks,-106,-114,0.515,0.533,38.37,-45.94,26.8,4.66,0.712,0.288,0.6,0.6,0.4,38.35,-3.5,227.0,113.1,11,102.82,2
Ty Jerome,PTS,18.5,Boston Celtics,-114,-107,0.533,0.517,37.6,-48.35,21.0,4.42,0.733,0.267,0.8,0.7,0.77,24.41,15.0,229.0,111.6,4,95.43,30
Karl-Anthony Towns,AST,2.5,Brooklyn Nets,-115,-108,0.535,0.519,35.54,-47.04,4.0,2.74,0.725,0.275,0.4,0.3,0.33,32.4,-17.5,214.5,118.2,27,97.33,27
Brandon Ingram,3PM,1.5,Denver Nuggets,-119,-105,0.543,0.512,34.9,-47.87,2.6,1.82,0.733,0.267,0.6,0.4,0.47,36.03,7.0,238.5,115.8,21,99.36,20
Gui Santos,PTS+REB,18.5,Detroit Pistons,-122,-105,0.55,0.512,34.84,-49.43,21.8,3.35,0.741,0.259,0.8,0.7,0.73,31.82,5.0,217.0,109.0,2,100.05,19
Jalen Brunson,PTS+REB,27.5,Brooklyn Nets,-118,-110,0.541,0.524,34.49,-48.07,31.8,1.48,0.728,0.272,1.0,0.8,0.6,37.11,-17.5,214.5,118.2,27,97.33,27
OG Anunoby,PTS+REB,22.5,Brooklyn Nets,-120,-104,0.545,0.51,33.1,-46.25,27.4,6.62,0.726,0.274,0.8,0.5,0.4,32.19,-17.5,214.5,118.2,27,97.33,27
Jalen Brunson,PTS,24.5,Brooklyn Nets,-111,-111,0.526,0.526,31.35,-41.26,27.8,2.28,0.691,0.309,0.8,0.6,0.47,37.11,-17.5,214.5,118.2,27,97.33,27
OG Anunoby,PTS+AST,19.5,Brooklyn Nets,-120,-110,0.545,0.524,30.35,-44.83,24.4,6.19,0.711,0.289,0.8,0.5,0.47,32.19,-17.5,214.5,118.2,27,97.33,27
Ty Jerome,PTS+REB+AST,27.5,Boston Celtics,-103,-125,0.507,0.556,29.88,-38.62,30.4,7.83,0.659,0.341,0.6,0.5,0.54,24.41,15.0,229.0,111.6,4,95.43,30
OG Anunoby,PTS+REB+AST,25.5,Brooklyn Nets,-110,-118,0.524,0.541,28.67,-39.77,30.0,8.28,0.674,0.326,0.6,0.4,0.33,32.19,-17.5,214.5,118.2,27,97.33,27
Karl-Anthony Towns,PTS+REB,31.5,Brooklyn Nets,-137,-137,0.578,0.578,27.84,-54.85,35.6,8.17,0.739,0.261,0.6,0.5,0.6,32.4,-17.5,214.5,118.2,27,97.33,27
De'Anthony Melton,PTS,14.5,Detroit Pistons,-106,-105,0.515,0.512,27.49,-32.84,17.8,9.04,0.656,0.344,0.6,0.6,0.53,25.51,5.0,217.0,109.0,2,100.05,19
Danny Wolf,REB+AST,8.5,New York Knicks,102,-110,0.495,0.524,26.86,-28.98,9.4,2.19,0.628,0.372,0.8,0.7,0.47,25.74,17.5,214.5,111.9,6,98.41,24
De'Anthony Melton,PTS+REB+AST,20.5,Detroit Pistons,-110,-106,0.524,0.515,26.19,-34.12,24.6,11.67,0.661,0.339,0.6,0.6,0.53,25.51,5.0,217.0,109.0,2,100.05,19
Ty Jerome,PTS+AST,24.5,Boston Celtics,-104,-120,0.51,0.545,26.13,-34.55,26.8,7.01,0.643,0.357,0.6,0.6,0.69,24.41,15.0,229.0,111.6,4,95.43,30
Brandin Podziemski,PTS+REB+AST,22.5,Detroit Pistons,-112,-103,0.528,0.507,26.06,-34.17,25.8,9.88,0.666,0.334,0.4,0.6,0.73,31.21,5.0,217.0,109.0,2,100.05,19
Neemias Queta,AST,1.5,Memphis Grizzlies,-137,-137,0.578,0.578,24.55,-51.56,2.6,2.3,0.72,0.28,0.6,0.4,0.33,27.69,-15.0,229.0,116.5,22,101.55,10
Tobias Harris,AST,2.5,Golden State Warriors,-128,105,0.561,0.488,24.51,-38.3,3.6,1.82,0.699,0.301,0.6,0.3,0.33,25.12,-5.0,217.0,113.5,14,100.24,16
Cedric Coward,PTS+REB+AST,19.5,Boston Celtics,-114,-112,0.533,0.528,24.27,-36.02,22.2,7.09,0.662,0.338,0.8,0.5,0.53,23.68,15.0,229.0,111.6,4,95.43,30
Brandin Podziemski,PTS,12.5,Detroit Pistons,-120,100,0.545,0.5,24.12,-35.4,15.8,8.41,0.677,0.323,0.4,0.6,0.67,31.21,5.0,217.0,109.0,2,100.05,19
Baylor Scheierman,PTS+REB+AST,14.5,Memphis Grizzlies,-106,-118,0.515,0.541,23.99,-33.12,16.2,3.83,0.638,0.362,0.6,0.7,0.6,28.79,-15.0,229.0,116.5,22,101.55,10
De'Anthony Melton,REB,3.5,Detroit Pistons,-108,-115,0.519,0.535,22.68,-32.13,4.2,2.59,0.637,0.363,0.6,0.6,0.47,25.51,5.0,217.0,109.0,2,100.05,19
Jalen Johnson,PTS+REB+AST,39.5,Houston Rockets,100,-125,0.5,0.556,20.8,-28.72,43.0,5.87,0.604,0.396,0.6,0.5,0.67,36.55,3.5,227.0,112.4,8,96.68,29
Jakob Poeltl,PTS+REB,20.5,Denver Nuggets,-104,-110,0.51,0.524,20.63,-26.5,23.0,11.07,0.615,0.385,0.6,0.5,0.33,27.68,7.0,238.5,115.8,21,99.36,20
Onyeka Okongwu,REB+AST,9.5,Houston Rockets,-106,100,0.515,0.5,19.91,-23.4,10.4,1.95,0.617,0.383,0.6,0.7,0.6,31.28,3.5,227.0,112.4,8,96.68,29
Amen Thompson,REB,7.5,Atlanta Hawks,-115,105,0.535,0.488,18.16,-24.56,8.6,4.28,0.632,0.368,0.6,0.6,0.47,38.35,-3.5,227.0,113.1,11,102.82,2
Kevin Huerter,PTS+REB+AST,12.5,Golden State Warriors,-125,-105,0.556,0.512,16.64,-31.28,15.0,6.82,0.648,0.352,0.6,0.5,0.4,22.01,-5.0,217.0,113.5,14,100.24,16
Derrick White,PTS+REB,21.5,Memphis Grizzlies,100,-118,0.5,0.541,15.0,-21.48,23.0,10.0,0.575,0.425,0.4,0.5,0.47,34.38,-15.0,229.0,116.5,22,101.55,10
OG Anunoby,REB+AST,7.5,Brooklyn Nets,100,-109,0.5,0.522,14.6,-18.13,8.2,4.32,0.573,0.427,0.6,0.5,0.4,32.19,-17.5,214.5,118.2,27,97.33,27
Scoot Henderson,PTS+REB+AST,19.5,Minnesota Timberwolves,-105,-110,0.512,0.524,12.26,-18.86,21.2,6.87,0.575,0.425,0.4,0.3,0.4,23.93,2.5,231.5,112.8,9,101.55,9
Brandon Ingram,PTS,21.5,Denver Nuggets,-114,-109,0.533,0.522,11.88,-22.54,23.8,11.28,0.596,0.404,0.6,0.5,0.47,36.03,7.0,238.5,115.8,21,99.36,20
Jalen Brunson,AST,7.5,Brooklyn Nets,-107,-112,0.517,0.528,11.63,-19.93,8.2,0.84,0.577,0.423,0.8,0.7,0.6,37.11,-17.5,214.5,118.2,27,97.33,27
Gui Santos,REB+AST,8.5,Detroit Pistons,100,-125,0.5,0.556,11.2,-20.08,9.0,3.67,0.556,0.444,0.6,0.7,0.67,31.82,5.0,217.0,109.0,2,100.05,19
Jakob Poeltl,REB+AST,10.5,Denver Nuggets,-118,-110,0.541,0.524,11.03,-23.83,11.8,7.12,0.601,0.399,0.4,0.4,0.33,27.68,7.0,238.5,115.8,21,99.36,20
Cameron Johnson,REB,3.5,Toronto Raptors,-104,-105,0.51,0.512,10.63,-14.88,3.8,1.79,0.564,0.436,0.6,0.6,0.67,31.05,-7.0,238.5,112.0,7,99.25,22
Kevin Durant,REB,5.5,Atlanta Hawks,-114,-110,0.533,0.524,10.57,-21.54,5.8,1.48,0.589,0.411,0.6,0.6,0.6,34.68,-3.5,227.0,113.1,11,102.82,2
Pat Spencer,AST,3.5,Detroit Pistons,-110,-108,0.524,0.519,10.54,-18.92,3.8,1.48,0.579,0.421,0.6,0.5,0.67,22.8,5.0,217.0,109.0,2,100.05,19
Jrue Holiday,REB+AST,9.5,Minnesota Timberwolves,-110,100,0.524,0.5,10.15,-15.4,10.2,3.56,0.577,0.423,0.6,0.6,0.6,29.5,2.5,231.5,112.8,9,101.55,9
Derrick White,PTS,16.5,Memphis Grizzlies,100,-110,0.5,0.524,8.6,-12.75,17.4,10.78,0.543,0.457,0.4,0.6,0.53,34.38,-15.0,229.0,116.5,22,101.55,10
Jalen Johnson,PTS+AST,30.5,Houston Rockets,-115,-118,0.535,0.541,7.87,-21.85,32.6,4.51,0.577,0.423,0.6,0.4,0.47,36.55,3.5,227.0,112.4,8,96.68,29
Scottie Barnes,REB,6.5,Denver Nuggets,-106,-105,0.515,0.512,7.66,-12.92,6.8,1.92,0.554,0.446,0.4,0.2,0.33,33.1,7.0,238.5,115.8,21,99.36,20
Kevin Huerter,PTS,7.5,Golden State Warriors,-137,-137,0.578,0.578,6.56,-33.57,8.8,4.97,0.616,0.384,0.6,0.4,0.47,22.01,-5.0,217.0,113.5,14,100.24,16
Derrick White,PTS+REB+AST,26.5,Memphis Grizzlies,-110,-108,0.524,0.519,5.19,-13.53,27.6,11.52,0.551,0.449,0.4,0.6,0.53,34.38,-15.0,229.0,116.5,22,101.55,10
Brandon Ingram,PTS+REB,26.5,Denver Nuggets,-125,100,0.556,0.5,4.76,-16.4,28.4,11.44,0.582,0.418,0.6,0.6,0.47,36.03,7.0,238.5,115.8,21,99.36,20
Jrue Holiday,AST,5.5,Minnesota Timberwolves,100,-108,0.5,0.519,2.6,-6.21,5.6,2.51,0.513,0.487,0.4,0.4,0.47,29.5,2.5,231.5,112.8,9,101.55,9
Mitchell Robinson,REB,10.0,Brooklyn Nets,-137,-137,0.578,0.578,2.41,-29.42,11.4,6.77,0.592,0.408,0.4,0.3,0.2,21.12,-17.5,214.5,118.2,27,97.33,27
Ayo Dosunmu,PTS+REB,21.5,Portland Trail Blazers,-120,100,0.545,0.5,2.3,-11.6,22.6,6.23,0.558,0.442,0.6,0.3,0.27,28.81,-2.5,231.5,114.7,18,101.95,7
Brandon Ingram,PTS+AST,25.5,Denver Nuggets,-120,-105,0.545,0.512,2.3,-13.7,26.8,10.52,0.558,0.442,0.6,0.5,0.47,36.03,7.0,238.5,115.8,21,99.36,20
Caris LeVert,PTS,8.5,Golden State Warriors,-108,-116,0.519,0.537,1.5,-11.92,8.8,3.7,0.527,0.473,0.6,0.4,0.33,20.01,-5.0,217.0,113.5,14,100.24,16
Payton Pritchard,REB+AST,8.5,Memphis Grizzlies,-106,-113,0.515,0.531,-0.5,-8.01,8.6,1.34,0.512,0.488,0.4,0.4,0.53,34.3,-15.0,229.0,116.5,22,101.55,10
Deni Avdija,PTS+REB+AST,35.5,Minnesota Timberwolves,-110,-106,0.524,0.515,-0.73,-6.72,36.2,7.79,0.52,0.48,0.4,0.4,0.33,33.99,2.5,231.5,112.8,9,101.55,9
Onyeka Okongwu,PTS+REB+AST,22.5,Houston Rockets,-109,-106,0.522,0.515,-1.06,-5.94,22.8,6.53,0.516,0.484,0.6,0.7,0.6,31.28,3.5,227.0,112.4,8,96.68,29
Tobias Harris,REB+AST,8.5,Golden State Warriors,-108,-110,0.519,0.524,-1.39,-6.84,8.6,3.21,0.512,0.488,0.4,0.3,0.47,25.12,-5.0,217.0,113.5,14,100.24,16
Derrick White,PTS+AST,21.5,Memphis Grizzlies,-113,-104,0.531,0.51,-1.61,-6.24,22.0,12.27,0.522,0.478,0.4,0.6,0.53,34.38,-15.0,229.0,116.5,22,101.55,10
Toumani Camara,PTS,11.5,Minnesota Timberwolves,-108,-116,0.519,0.537,-1.97,-8.57,11.6,5.81,0.509,0.491,0.4,0.4,0.47,30.29,2.5,231.5,112.8,9,101.55,9
Brandon Ingram,PTS+REB+AST,31.5,Denver Nuggets,-105,-118,0.512,0.541,-3.16,-6.89,31.4,11.01,0.496,0.504,0.6,0.6,0.47,36.03,7.0,238.5,115.8,21,99.36,20
