Player,Prop,Line,Opponent,Odds Over,Odds Under,Implied Over,Implied Under,EV Over,EV Under,Avg Stat L5,Std Stat L5,Prob Over,Prob Under,OVER L5,OVER L10,OVER L15,Avg Min L5,Spread,Total,Opp Def Rating,Opp Def Rank,Opp Pace,Opp Pace Rank
Jaden McDaniels,3PM,1.5,Portland Trail Blazers,-105,-109,0.512,0.522,-26.59,19.65,1.2,1.1,0.376,0.624,0.2,0.1,0.2,28.05,-2.5,231.5,114.7,18,101.95,7
Alperen Sengun,PTS+REB,27.5,Atlanta Hawks,-122,100,0.55,0.5,-27.21,20.0,25.0,8.6,0.4,0.6,0.4,0.4,0.33,28.9,-3.5,227.0,113.1,11,102.82,2
Julius Randle,PTS,23.5,Portland Trail Blazers,-114,100,0.533,0.5,-27.35,22.6,21.2,10.76,0.387,0.613,0.4,0.2,0.2,30.02,-2.5,231.5,114.7,18,101.95,7
Aaron Gordon,PTS+REB,21.5,Toronto Raptors,-110,-118,0.524,0.541,-28.41,15.47,18.4,13.79,0.375,0.625,0.4,0.4,0.53,25.22,-7.0,238.5,112.0,7,99.25,22
Immanuel Quickley,PTS,16.5,Denver Nuggets,-104,-111,0.51,0.526,-29.97,22.23,14.0,7.31,0.357,0.643,0.4,0.5,0.53,32.92,7.0,238.5,115.8,21,99.36,20
Rudy Gobert,PTS+REB+AST,26.5,Portland Trail Blazers,-118,-110,0.541,0.524,-30.54,19.13,24.0,9.17,0.376,0.624,0.6,0.4,0.4,31.17,-2.5,231.5,114.7,18,101.95,7
OG Anunoby,STL,1.5,Brooklyn Nets,-106,-120,0.515,0.545,-30.82,18.07,1.0,1.0,0.356,0.644,0.4,0.4,0.47,32.19,-17.5,214.5,118.2,27,97.33,27
Scottie Barnes,PTS+REB+AST,28.5,Denver Nuggets,-109,100,0.522,0.5,-31.16,28.2,26.8,5.36,0.359,0.641,0.4,0.2,0.27,33.1,7.0,238.5,115.8,21,99.36,20
Ayo Dosunmu,PTS+AST,22.5,Portland Trail Blazers,-109,-118,0.522,0.541,-31.55,18.79,20.2,5.54,0.357,0.643,0.2,0.1,0.13,28.81,-2.5,231.5,114.7,18,101.95,7
Will Richard,PTS+REB+AST,11.5,Detroit Pistons,-120,-110,0.545,0.524,-31.62,19.7,8.4,3.58,0.373,0.627,0.2,0.4,0.33,29.48,5.0,217.0,109.0,2,100.05,19
Jamal Shead,PTS,5.5,Denver Nuggets,-118,-108,0.541,0.519,-31.64,21.33,4.2,3.49,0.37,0.63,0.4,0.4,0.47,21.39,7.0,238.5,115.8,21,99.36,20
Tobias Harris,PTS+REB,19.5,Golden State Warriors,-110,-113,0.524,0.531,-32.23,21.58,16.4,8.17,0.355,0.645,0.4,0.5,0.47,25.12,-5.0,217.0,113.5,14,100.24,16
Immanuel Quickley,PTS+REB,20.5,Denver Nuggets,-104,-123,0.51,0.552,-32.52,18.93,17.4,9.18,0.344,0.656,0.4,0.5,0.4,32.92,7.0,238.5,115.8,21,99.36,20
Julius Randle,PTS+AST,28.5,Portland Trail Blazers,-118,-110,0.541,0.524,-32.57,21.23,25.4,11.84,0.365,0.635,0.6,0.3,0.27,30.02,-2.5,231.5,114.7,18,101.95,7
Kevin Durant,PTS,24.5,Atlanta Hawks,-102,-122,0.505,0.55,-32.67,20.1,21.6,8.68,0.34,0.66,0.4,0.4,0.47,34.68,-3.5,227.0,113.1,11,102.82,2
Kevin Durant,PTS+REB,30.5,Atlanta Hawks,-105,-120,0.512,0.545,-33.03,20.45,27.4,9.86,0.343,0.657,0.4,0.4,0.47,34.68,-3.5,227.0,113.1,11,102.82,2
Alperen Sengun,PTS+REB+AST,34.5,Atlanta Hawks,100,-117,0.5,0.539,-35.4,25.56,29.4,10.06,0.323,0.677,0.4,0.4,0.27,28.9,-3.5,227.0,113.1,11,102.82,2
Kevin Durant,PTS+REB+AST,34.5,Atlanta Hawks,-104,-110,0.51,0.524,-35.47,28.1,31.0,9.67,0.329,0.671,0.4,0.4,0.53,34.68,-3.5,227.0,113.1,11,102.82,2
Kevin Durant,PTS+AST,28.5,Atlanta Hawks,-108,-105,0.519,0.512,-36.64,31.0,25.2,8.58,0.329,0.671,0.4,0.4,0.53,34.68,-3.5,227.0,113.1,11,102.82,2
Will Richard,PTS,7.5,Detroit Pistons,-104,-110,0.51,0.524,-38.21,30.77,4.0,3.81,0.315,0.685,0.2,0.4,0.27,29.48,5.0,217.0,109.0,2,100.05,19
Julius Randle,PTS+REB,30.5,Portland Trail Blazers,-110,-105,0.524,0.512,-40.63,34.52,26.2,12.03,0.311,0.689,0.4,0.3,0.27,30.02,-2.5,231.5,114.7,18,101.95,7
Mikal Bridges,AST,3.5,Brooklyn Nets,-115,102,0.535,0.495,-41.11,38.37,2.6,1.95,0.315,0.685,0.4,0.5,0.53,27.45,-17.5,214.5,118.2,27,97.33,27
Immanuel Quickley,PTS+AST,22.5,Denver Nuggets,-110,-110,0.524,0.524,-41.96,32.87,18.8,5.54,0.304,0.696,0.2,0.4,0.4,32.92,7.0,238.5,115.8,21,99.36,20
Caris LeVert,AST,3.5,Golden State Warriors,-102,-120,0.505,0.545,-42.77,30.35,2.6,2.07,0.289,0.711,0.2,0.1,0.07,20.01,-5.0,217.0,113.5,14,100.24,16
Jaden McDaniels,PTS,15.5,Portland Trail Blazers,-114,-104,0.533,0.51,-43.5,37.11,12.2,6.14,0.301,0.699,0.4,0.4,0.47,28.05,-2.5,231.5,114.7,18,101.95,7
Julius Randle,PTS+REB+AST,35.5,Portland Trail Blazers,-110,-110,0.524,0.524,-43.87,34.78,30.4,12.76,0.294,0.706,0.4,0.3,0.27,30.02,-2.5,231.5,114.7,18,101.95,7
Daniss Jenkins,PTS+REB+AST,22.5,Golden State Warriors,-105,-113,0.512,0.531,-44.55,34.96,17.8,5.54,0.284,0.716,0.4,0.2,0.13,23.48,-5.0,217.0,113.5,14,100.24,16
Daniss Jenkins,PTS+AST,19.5,Golden State Warriors,-110,-118,0.524,0.541,-45.21,31.72,15.2,5.63,0.287,0.713,0.4,0.3,0.2,23.48,-5.0,217.0,113.5,14,100.24,16
Julius Randle,REB,6.5,Portland Trail Blazers,-120,-103,0.545,0.507,-45.55,38.55,5.0,2.55,0.297,0.703,0.4,0.7,0.6,30.02,-2.5,231.5,114.7,18,101.95,7
Scottie Barnes,PTS+AST,22.5,Denver Nuggets,-105,-121,0.512,0.548,-49.43,35.34,20.0,4.85,0.259,0.741,0.2,0.1,0.13,33.1,7.0,238.5,115.8,21,99.36,20
Alperen Sengun,REB,8.5,Atlanta Hawks,-107,-105,0.517,0.512,-50.09,44.87,6.0,3.74,0.258,0.742,0.2,0.3,0.33,28.9,-3.5,227.0,113.1,11,102.82,2
Mikal Bridges,PTS,12.5,Brooklyn Nets,-109,-106,0.522,0.515,-52.26,45.95,8.0,2.45,0.249,0.751,0.0,0.2,0.2,27.45,-17.5,214.5,118.2,27,97.33,27
Jaden McDaniels,PTS+REB+AST,22.5,Portland Trail Blazers,-119,-104,0.543,0.51,-52.89,45.94,17.4,8.59,0.256,0.744,0.2,0.3,0.4,28.05,-2.5,231.5,114.7,18,101.95,7
Jaden McDaniels,PTS+REB,19.5,Portland Trail Blazers,-120,-105,0.545,0.512,-53.07,45.26,14.8,7.56,0.256,0.744,0.2,0.3,0.4,28.05,-2.5,231.5,114.7,18,101.95,7
Julius Randle,REB+AST,11.5,Portland Trail Blazers,-110,-114,0.524,0.533,-54.18,42.67,9.2,2.86,0.24,0.76,0.2,0.4,0.33,30.02,-2.5,231.5,114.7,18,101.95,7
Donte DiVincenzo,PTS+REB+AST,20.5,Portland Trail Blazers,-112,-103,0.528,0.507,-56.28,51.56,15.0,8.19,0.231,0.769,0.2,0.3,0.4,27.13,-2.5,231.5,114.7,18,101.95,7
Tari Eason,PTS+REB+AST,19.0,Atlanta Hawks,-137,-137,0.578,0.578,-62.81,35.8,15.2,2.95,0.215,0.785,0.0,0.1,0.2,27.29,-3.5,227.0,113.1,11,102.82,2
Naz Reid,REB,5.5,Portland Trail Blazers,-110,-104,0.524,0.51,-66.78,62.02,3.8,1.3,0.174,0.826,0.2,0.6,0.67,24.68,-2.5,231.5,114.7,18,101.95,7
Landry Shamet,PTS,10.5,Brooklyn Nets,-106,-114,0.515,0.533,-67.16,55.99,7.4,3.21,0.169,0.831,0.0,0.2,0.4,26.52,-17.5,214.5,118.2,27,97.33,27
Naz Reid,PTS+REB+AST,22.5,Portland Trail Blazers,-109,-114,0.522,0.533,-74.5,62.75,17.8,4.44,0.133,0.867,0.0,0.0,0.07,24.68,-2.5,231.5,114.7,18,101.95,7
Landry Shamet,PTS+REB+AST,15.5,Brooklyn Nets,-109,-115,0.522,0.535,-81.4,68.82,10.6,4.1,0.097,0.903,0.0,0.1,0.33,26.52,-17.5,214.5,118.2,27,97.33,27
Jayson Tatum,REB,7.5,Memphis Grizzlies,-125,100,0.556,0.5,,,7.8,4.32,,,0.4,0.5,0.5,29.86,-15.0,229.0,116.5,22,101.55,10
Jayson Tatum,PTS+REB+AST,34.5,Memphis Grizzlies,-116,100,0.537,0.5,,,33.0,5.96,,,0.4,0.33,0.33,29.86,-15.0,229.0,116.5,22,101.55,10
Jayson Tatum,PTS+REB,30.5,Memphis Grizzlies,-106,-113,0.515,0.531,,,29.6,4.62,,,0.4,0.33,0.33,29.86,-15.0,229.0,116.5,22,101.55,10
Jayson Tatum,PTS+AST,26.5,Memphis Grizzlies,-120,105,0.545,0.488,,,25.2,1.92,,,0.2,0.17,0.17,29.86,-15.0,229.0,116.5,22,101.55,10
