,PLAYER 1,CATEGORY 1,STAT TYPE 1,PLAYER 1 LINE,PLAYER 1 PREDICTION,PLAYER 2,CATEGORY 2,STAT TYPE 2,PLAYER 2 LINE,PLAYER 2 PREDICTION,TYPE,EV,PROBABILITY,KELLY CRITERION
0,Goga Bitadze,player_points,PTS,12.5,6,Bobby Portis,player_points,PTS,21.5,14,UNDER/UNDER,176.36,0.9212,0.9208
1,Ben Simmons,player_points,PTS,8.0,3,Bobby Portis,player_points,PTS,21.5,14,UNDER/UNDER,175.24,0.9175,0.917
2,Goga Bitadze,player_points,PTS,12.5,6,Ben Simmons,player_points,PTS,8.0,3,UNDER/UNDER,174.29,0.9143,0.9139
3,Shake Milton,player_points,PTS,10.5,4,Bobby Portis,player_points,PTS,21.5,14,UNDER/UNDER,169.49,0.8983,0.8978
4,Goga Bitadze,player_points,PTS,12.5,6,Shake Milton,player_points,PTS,10.5,4,UNDER/UNDER,168.81,0.896,0.8955
