,PLAYER 1,CATEGORY 1,STAT TYPE 1,PLAYER 1 LINE,PLAYER 1 PREDICTION,PLAYER 2,CATEGORY 2,STAT TYPE 2,PLAYER 2 LINE,PLAYER 2 PREDICTION,TYPE,EV,PROBABILITY,KELLY CRITERION
0,Gradey Dick,player_points,PTS,19.5,12,Ivica Zubac,player_rebounds,REB,11.5,15,UNDER/OVER,154.73,0.8491,0.8484
1,Andre Drummond,player_points,PTS,10.0,6,Gradey Dick,player_points,PTS,19.5,12,UNDER/UNDER,153.38,0.8446,0.8438
2,Andre Drummond,player_points,PTS,10.0,6,Ivica Zubac,player_rebounds,REB,11.5,15,UNDER/OVER,147.2,0.824,0.8231
3,Paul George,player_points,PTS,20.5,14,Gradey Dick,player_points,PTS,19.5,12,UNDER/UNDER,146.15,0.8205,0.8196
4,Paul George,player_points,PTS,20.5,14,Ivica Zubac,player_rebounds,REB,11.5,15,UNDER/OVER,143.91,0.813,0.8121
