,PLAYER 1,CATEGORY 1,STAT TYPE 1,PLAYER 1 LINE,PLAYER 1 PREDICTION,PLAYER 2,CATEGORY 2,STAT TYPE 2,PLAYER 2 LINE,PLAYER 2 PREDICTION,TYPE,EV,PROBABILITY,KELLY CRITERION
0,Mike Conley,player_points,PTS,9.5,6,Franz Wagner,player_assists,AST,6.0,4,UNDER/UNDER,131.45,0.7715,0.7703
1,Clint Capela,player_rebounds,REB,10.5,8,Franz Wagner,player_assists,AST,6.0,4,UNDER/UNDER,129.54,0.7651,0.764
2,Ayo Dosunmu,player_points,PTS,15.0,11,Franz Wagner,player_assists,AST,6.0,4,UNDER/UNDER,126.31,0.7544,0.7532
3,Bennedict Mathurin,player_points,PTS,20.0,15,Franz Wagner,player_assists,AST,6.0,4,UNDER/UNDER,125.46,0.7515,0.7503
4,Dalton Knecht,player_rebounds,REB,4.5,3,Franz Wagner,player_assists,AST,6.0,4,UNDER/UNDER,125.4,0.7513,0.7501
