,PLAYER 1,CATEGORY 1,STAT TYPE 1,PLAYER 1 LINE,PLAYER 1 PREDICTION,PLAYER 2,CATEGORY 2,STAT TYPE 2,PLAYER 2 LINE,PLAYER 2 PREDICTION,TYPE,EV,PROBABILITY,KELLY CRITERION
0,Patrick Williams,player_points,PTS,12.0,8,Spencer Dinwiddie,player_points,PTS,17.5,10,UNDER/UNDER,143.64,0.8121,0.8112
1,Patrick Williams,player_points,PTS,12.0,8,Klay Thompson,player_points,PTS,20.0,14,UNDER/UNDER,140.01,0.8,0.799
2,Seth Curry,player_points,PTS,9.5,5,Spencer Dinwiddie,player_points,PTS,17.5,10,UNDER/UNDER,137.51,0.7917,0.7907
3,Spencer Dinwiddie,player_points,PTS,17.5,10,Joel Embiid,player_points,PTS,28.5,22,UNDER/UNDER,137.2,0.7907,0.7896
4,Josh Green,player_points,PTS,10.0,6,Spencer Dinwiddie,player_points,PTS,17.5,10,UNDER/UNDER,137.18,0.7906,0.7895
