BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE
PrizePicks,player_points,Jaylen Brown,Over,25.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Jaylen Brown,Under,25.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Paolo Banchero,Over,24.0,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Paolo Banchero,Under,24.0,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Franz Wagner,Over,20.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Franz Wagner,Under,20.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Derrick White,Over,16.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Derrick White,Under,16.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Desmond Bane,Over,15.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Desmond Bane,Under,15.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Payton Pritchard,Over,15.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Payton Pritchard,Under,15.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Anfernee Simons,Over,13.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Anfernee Simons,Under,13.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Wendell Carter Jr,Over,10.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Wendell Carter Jr,Under,10.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Anthony Black,Over,9.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Anthony Black,Under,9.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Jalen Suggs,Over,9.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Jalen Suggs,Under,9.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Josh Minott,Over,8.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Josh Minott,Under,8.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Neemias Queta,Over,8.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Neemias Queta,Under,8.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Sam Hauser,Over,7.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Sam Hauser,Under,7.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Tristan da Silva,Over,7.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Tristan da Silva,Under,7.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Goga Bitadze,Over,4.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Goga Bitadze,Under,4.5,-137,2025-11-08,2025-11-07T23:20:11Z
PrizePicks,player_points,Donovan Mitchell,Over,26.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,Donovan Mitchell,Under,26.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,Evan Mobley,Over,19.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,Evan Mobley,Under,19.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,De'Andre Hunter,Over,16.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,De'Andre Hunter,Under,16.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,C.J. McCollum,Over,15.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,C.J. McCollum,Under,15.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,Darius Garland,Over,15.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,Darius Garland,Under,15.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,Jarrett Allen,Over,13.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,Jarrett Allen,Under,13.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,Khris Middleton,Over,11.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,Khris Middleton,Under,11.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,Sam Merrill,Over,9.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,Sam Merrill,Under,9.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,Jaylon Tyson,Over,7.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,Jaylon Tyson,Under,7.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,Craig Porter Jr,Over,5.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,Craig Porter Jr,Under,5.5,-137,2025-11-08,2025-11-07T23:19:23Z
PrizePicks,player_points,Jalen Johnson,Over,20.5,-137,2025-11-08,2025-11-07T23:19:25Z
PrizePicks,player_points,Jalen Johnson,Under,20.5,-137,2025-11-08,2025-11-07T23:19:25Z
PrizePicks,player_points,Brandon Ingram,Over,19.5,-137,2025-11-08,2025-11-07T23:19:25Z
PrizePicks,player_points,Brandon Ingram,Under,19.5,-137,2025-11-08,2025-11-07T23:19:25Z
PrizePicks,player_points,Kristaps Porzingis,Over,18.5,-137,2025-11-08,2025-11-07T23:19:25Z
PrizePicks,player_points,Kristaps Porzingis,Under,18.5,-137,2025-11-08,2025-11-07T23:19:25Z
PrizePicks,player_points,R.J. Barrett,Over,18.5,-137,2025-11-08,2025-11-07T23:19:25Z
