BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE
DraftKings,player_points,Jaylen Brown,Over,34.5,-120,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Jaylen Brown,Under,34.5,-110,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Cade Cunningham,Over,31.5,-125,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Cade Cunningham,Under,31.5,-105,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Payton Pritchard,Over,20.5,-105,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Payton Pritchard,Under,20.5,-125,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Jalen Duren,Over,19.5,-120,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Jalen Duren,Under,19.5,-110,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Ausar Thompson,Over,10.5,-125,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Ausar Thompson,Under,10.5,-105,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Duncan Robinson,Over,10.5,-125,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Duncan Robinson,Under,10.5,-105,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Derrick White,Over,10.5,-105,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Derrick White,Under,10.5,-125,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Tobias Harris,Over,9.5,-135,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Tobias Harris,Under,9.5,105,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Caris LeVert,Over,8.5,-110,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Caris LeVert,Under,8.5,-120,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Anfernee Simons,Over,5.5,105,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Anfernee Simons,Under,5.5,-135,2025-11-26,2025-11-26T23:27:12Z
DraftKings,player_points,Jalen Brunson,Over,28.5,-116,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Jalen Brunson,Under,28.5,-110,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Karl-Anthony Towns,Over,24.5,-114,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Karl-Anthony Towns,Under,24.5,-112,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,LaMelo Ball,Over,21.5,-104,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,LaMelo Ball,Under,21.5,-122,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Miles Bridges,Over,18.5,-117,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Miles Bridges,Under,18.5,-109,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Brandon Miller,Over,18.5,-105,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Brandon Miller,Under,18.5,-121,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Kon Knueppel,Over,17.5,-106,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Kon Knueppel,Under,17.5,-120,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Mikal Bridges,Over,15.5,-120,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Mikal Bridges,Under,15.5,-106,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Collin Sexton,Over,12.5,-115,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Collin Sexton,Under,12.5,-111,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Jordan Clarkson,Over,12.5,-108,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Jordan Clarkson,Under,12.5,-118,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Josh Hart,Over,12.5,-108,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Josh Hart,Under,12.5,-118,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Miles McBride,Over,10.5,-123,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Miles McBride,Under,10.5,-104,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Ryan Kalkbrenner,Over,7.5,-113,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Ryan Kalkbrenner,Under,7.5,-113,2025-11-27,2025-11-26T23:27:45Z
DraftKings,player_points,Moussa Diabate,Over,7.5,-110,2025-11-27,2025-11-26T23:27:45Z
