BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE
DraftKings,player_points,Pascal Siakam,Under,23.5,-106,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,Bennedict Mathurin,Over,21.5,-122,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,Bennedict Mathurin,Under,21.5,-105,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,Evan Mobley,Over,20.5,-101,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,Evan Mobley,Under,20.5,-126,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,De'Andre Hunter,Over,17.5,-121,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,De'Andre Hunter,Under,17.5,-105,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,Andrew Nembhard,Over,16.5,-105,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,Andrew Nembhard,Under,16.5,-121,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,Jaylon Tyson,Over,11.5,-114,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,Jaylon Tyson,Under,11.5,-112,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,T.J. McConnell,Over,10.5,-112,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,T.J. McConnell,Under,10.5,-114,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,Jay Huff,Over,10.5,-107,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,Jay Huff,Under,10.5,-119,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,Jarace Walker,Over,8.5,102,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,Jarace Walker,Under,8.5,-130,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,Ben Sheppard,Over,6.5,107,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,Ben Sheppard,Under,6.5,-137,2025-12-02,2025-12-01T18:43:16Z
DraftKings,player_points,James Harden,Over,26.5,-117,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,James Harden,Under,26.5,-109,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Kawhi Leonard,Over,22.5,-119,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Kawhi Leonard,Under,22.5,-107,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Tyler Herro,Over,22.5,-114,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Tyler Herro,Under,22.5,-112,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Norman Powell,Over,21.5,-103,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Norman Powell,Under,21.5,-124,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Ivica Zubac,Over,17.5,-109,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Ivica Zubac,Under,17.5,-117,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Bam Adebayo,Over,17.5,-101,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Bam Adebayo,Under,17.5,-126,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Andrew Wiggins,Over,15.5,-101,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Andrew Wiggins,Under,15.5,-127,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,John Collins,Over,14.5,-107,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,John Collins,Under,14.5,-119,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Jaime Jaquez Jr,Over,11.5,-109,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Jaime Jaquez Jr,Under,11.5,-116,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Kel'el Ware,Over,11.5,-109,2025-12-02,2025-12-01T18:43:20Z
