,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,OFF_RATING,DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,PACE_PER40,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,STARTING,USG_PCT_LAST_3,USG_PCT_LAST_5,USG_PCT_LAST_7,PTS_LAST_3,PTS_LAST_5,PTS_LAST_7,STD_PTS_LAST_3,STD_PTS_LAST_5,STD_PTS_LAST_7,PLAYER_HOME_AVG_PTS,PLAYER_AWAY_AVG_PTS,GUARD,FORWARD,CENTER
121,LeBron James,2544,LAL @ MEM,LAL,1610612747,MEM,0,42200151,2023-04-16,W,34,21,5,11,8,16,0.5,3,8,0.375,2,4,0.5,2,9,2,3,5,1,7,51.7,1.182,1.182,F,129.2,119.4,9.7,0.069,0.29,0.183,0.185,1.0,0.265,0.591,103.98,101.63,0.139,84.69,"APR 16, 2023",240,49,92,0.533,16,37,0.432,14,16,0.875,10,35,45,25,7,11,14,18,128,124.22360248447204,6.0,2.0,34.0,0.4719101123595505,1610612763,124.22360248447204,103.04,102.54,102.04,1,0.26,0.26,0.26,21.0,21.0,21.0,,,,,21.0,0,1,0
278,LeBron James,2544,LAL @ MEM,LAL,1610612747,MEM,0,42200152,2023-04-19,L,39,28,3,12,12,23,0.522,1,8,0.125,3,4,0.75,2,10,1,1,1,1,-17,51.9,1.131,1.131,F,84.6,105.1,-20.4,0.044,0.238,0.138,0.231,3.0,0.292,0.565,95.9,96.94,0.23,80.78,"APR 19, 2023",240,35,85,0.412,7,26,0.269,16,21,0.762,11,36,47,21,5,7,12,19,93,97.64804703905922,4.0,6.0,49.0,0.4269662921348314,1610612763,97.64804703905922,95.24,96.24,97.24,1,0.28,0.28,0.28,24.5,24.5,24.5,4.95,4.95,4.95,,24.5,0,1,0
469,LeBron James,2544,LAL vs. MEM,LAL,1610612747,MEM,1,42200153,2023-04-22,W,36,25,5,9,10,20,0.5,0,4,0.0,5,7,0.714,2,7,1,1,3,3,-6,46.3,1.083,1.083,F,102.6,112.0,-9.4,0.049,0.2,0.118,0.25,1.67,0.281,0.542,102.72,100.67,0.162,83.89,"APR 22, 2023",240,41,90,0.456,7,28,0.25,22,27,0.815,11,37,48,19,11,8,13,18,111,106.85406237966886,7.0,2.0,50.0,0.3763440860215054,1610612763,106.85406237966886,103.88,102.84,101.8,1,0.28,0.28,0.28,24.67,24.67,24.67,3.51,3.51,3.51,25.0,,0,1,0
637,LeBron James,2544,LAL vs. MEM,LAL,1610612747,MEM,1,42200154,2023-04-24,W,45,22,7,20,8,18,0.444,1,7,0.143,5,7,0.714,5,15,0,2,1,3,8,61.5,1.044,1.044,F,107.4,97.9,9.5,0.102,0.278,0.194,0.233,7.0,0.198,0.522,100.15,100.82,0.189,84.02,"APR 24, 2023",265,41,94,0.436,10,36,0.278,25,31,0.806,13,39,52,22,5,11,15,17,117,106.71287851149216,7.0,7.0,49.0,0.3962264150943396,1610612763,106.71287851149216,109.64,110.94,112.24,1,0.26,0.26,0.26,25.0,24.0,24.0,3.0,3.16,3.16,23.5,,0,1,0
737,LeBron James,2544,LAL @ MEM,LAL,1610612747,MEM,0,42200155,2023-04-26,L,37,15,5,10,5,17,0.294,1,9,0.111,4,6,0.667,2,8,1,1,5,1,-1,35.5,0.764,0.764,F,101.2,105.0,-3.8,0.05,0.17,0.115,0.192,1.0,0.266,0.382,105.28,105.22,0.071,87.69,"APR 26, 2023",240,37,92,0.402,10,39,0.256,15,20,0.75,14,40,54,28,8,3,13,17,99,99.19839679358718,6.0,2.0,52.0,0.4444444444444444,1610612763,99.19839679358718,99.8,101.64,103.48,1,0.25,0.26,0.26,20.67,22.2,22.2,5.13,4.87,4.87,,21.33,0,1,0
860,LeBron James,2544,LAL vs. MEM,LAL,1610612747,MEM,1,42200156,2023-04-28,W,31,22,6,5,9,13,0.692,2,5,0.4,2,3,0.667,1,4,1,0,3,2,32,37.0,1.536,1.536,F,124.3,82.1,42.2,0.038,0.095,0.074,0.231,2.0,0.213,0.768,106.84,105.22,0.186,87.68,"APR 28, 2023",240,49,91,0.538,15,44,0.341,12,15,0.8,9,43,52,33,6,15,13,16,125,123.03149606299212,10.0,2.0,45.0,0.3020833333333333,1610612763,123.03149606299212,101.59999999999998,103.2,104.8,1,0.23,0.25,0.25,19.67,22.4,22.17,4.04,4.83,4.36,23.0,,0,1,0
983,LeBron James,2544,LAL @ GSW,LAL,1610612747,GSW,0,42200231,2023-05-02,W,40,22,4,11,9,24,0.375,1,8,0.125,3,4,0.75,2,9,0,3,4,0,1,46.2,0.854,0.854,F,109.3,105.7,3.6,0.047,0.173,0.116,0.143,1.0,0.303,0.427,102.96,104.16,0.097,86.8,"MAY 02, 2023",240,43,92,0.467,6,25,0.24,25,29,0.862,13,40,53,24,4,10,8,12,117,117.2814755412991,5.0,3.0,49.0,0.4056603773584906,1610612744,117.2814755412991,99.76,101.2,102.64,1,0.26,0.25,0.26,19.67,21.2,22.14,4.04,3.7,3.98,,21.5,0,1,0
1054,LeBron James,2544,LAL @ GSW,LAL,1610612747,GSW,0,42200232,2023-05-04,L,28,23,3,7,10,18,0.556,3,8,0.375,0,0,,0,7,1,0,0,3,-27,38.9,1.278,1.278,F,103.3,145.2,-41.9,0.0,0.259,0.121,0.2,0.0,0.269,0.639,103.49,104.99,0.151,87.49,"MAY 04, 2023",240,40,94,0.426,10,34,0.294,10,17,0.588,9,31,40,27,9,3,9,15,100,98.54158454867954,2.0,3.0,55.0,0.5052631578947369,1610612744,98.54158454867954,101.48,102.76,104.04,1,0.26,0.25,0.26,22.33,20.8,22.43,0.58,3.27,3.95,,21.8,0,1,0
1139,LeBron James,2544,LAL vs. GSW,LAL,1610612747,GSW,1,42200233,2023-05-06,W,32,21,8,8,6,11,0.545,2,4,0.5,7,8,0.875,1,7,0,1,0,0,26,45.6,1.446,1.446,F,124.6,87.0,37.7,0.034,0.171,0.114,0.4,0.0,0.2,0.723,104.29,102.27,0.255,85.23,"MAY 06, 2023",240,42,80,0.525,15,31,0.484,28,37,0.757,6,38,44,27,10,6,12,21,127,124.168947985921,5.0,6.0,42.0,0.3956043956043956,1610612744,124.168947985921,102.28000000000002,102.88,103.48,1,0.26,0.25,0.25,22.0,20.6,21.43,1.0,3.21,3.1,22.5,,0,1,0
1183,LeBron James,2544,LAL vs. GSW,LAL,1610612747,GSW,1,42200234,2023-05-08,W,43,27,6,9,10,25,0.4,2,9,0.222,5,5,1.0,2,7,0,1,3,3,-8,46.8,0.993,0.993,F,102.3,111.4,-9.1,0.049,0.171,0.11,0.25,2.0,0.297,0.496,98.77,98.35,0.121,81.96,"MAY 08, 2023",240,39,86,0.453,6,25,0.24,20,20,1.0,8,34,42,21,8,1,14,15,104,103.1746031746032,9.0,2.0,40.0,0.4651162790697674,1610612744,103.1746031746032,100.8,99.54,98.28000000000002,1,0.26,0.26,0.25,23.67,23.0,21.71,3.06,2.35,3.55,23.4,,0,1,0
1285,LeBron James,2544,LAL @ GSW,LAL,1610612747,GSW,0,42200235,2023-05-10,L,39,25,3,9,9,17,0.529,3,7,0.429,4,4,1.0,1,8,2,1,4,3,-16,45.3,1.333,1.333,F,101.2,117.9,-16.6,0.028,0.211,0.122,0.125,0.75,0.264,0.666,102.33,101.72,0.143,84.77,"MAY 10, 2023",240,42,87,0.483,10,27,0.37,12,15,0.8,7,31,38,24,6,4,14,17,106,105.36779324055668,8.0,5.0,48.0,0.5108695652173914,1610612744,105.36779324055668,100.59999999999998,102.09999999999998,103.59999999999998,1,0.25,0.27,0.26,24.33,23.6,22.14,3.06,2.41,3.76,,22.33,0,1,0
1360,LeBron James,2544,LAL vs. GSW,LAL,1610612747,GSW,1,42200236,2023-05-12,W,43,30,9,9,10,14,0.714,2,3,0.667,8,11,0.727,0,9,2,1,2,2,21,61.3,1.592,1.592,F,130.2,104.6,25.6,0.0,0.155,0.096,0.346,4.5,0.228,0.796,97.93,96.26,0.227,80.22,"MAY 12, 2023",240,39,75,0.52,13,26,0.5,31,42,0.738,6,40,46,25,6,6,6,17,122,130.5091998288404,3.0,2.0,53.0,0.3786407766990291,1610612744,130.5091998288404,93.48,96.32,99.16,1,0.26,0.25,0.25,27.33,25.2,24.29,2.52,3.49,3.25,24.5,,0,1,0
1421,LeBron James,2544,LAL @ DEN,LAL,1610612747,DEN,0,42200311,2023-05-16,L,40,26,9,12,9,16,0.563,0,4,0.0,8,11,0.727,3,9,0,1,3,1,-6,53.9,1.248,1.248,F,130.0,137.5,-7.5,0.097,0.237,0.174,0.31,3.0,0.282,0.624,93.48,96.32,0.15,80.27,"MAY 16, 2023",240,46,84,0.548,11,24,0.458,23,26,0.885,5,25,30,30,6,4,7,21,126,129.31034482758622,5.0,7.0,47.0,0.5494505494505495,1610612743,129.31034482758622,97.44,97.06,96.68,1,0.26,0.25,0.26,27.0,25.8,24.86,2.65,3.27,3.13,,22.86,0,1,0
1455,LeBron James,2544,LAL @ DEN,LAL,1610612747,DEN,0,42200312,2023-05-18,L,40,22,10,9,9,19,0.474,0,6,0.0,4,4,1.0,0,9,4,2,3,2,4,62.8,1.06,1.06,F,100.0,98.8,1.2,0.0,0.2,0.107,0.476,3.33,0.258,0.53,103.62,104.65,0.189,87.21,"MAY 18, 2023",240,36,82,0.439,8,30,0.267,23,26,0.885,4,36,40,26,10,7,12,19,103,101.53785488958992,8.0,2.0,49.0,0.4382022471910112,1610612743,101.53785488958992,101.44,101.18,100.92,1,0.26,0.27,0.26,26.0,26.0,24.86,4.0,2.92,3.13,,22.75,0,1,0
1491,LeBron James,2544,LAL vs. DEN,LAL,1610612747,DEN,1,42200313,2023-05-20,L,43,23,12,7,8,19,0.421,3,9,0.333,4,7,0.571,0,7,0,0,2,2,-4,47.4,1.042,1.042,F,113.5,119.3,-5.8,0.0,0.167,0.081,0.429,6.0,0.24,0.521,99.07,98.94,0.123,82.45,"MAY 20, 2023",240,38,84,0.452,10,32,0.313,22,29,0.759,11,34,45,27,3,2,12,18,108,110.47463175122748,7.0,1.0,39.0,0.5,1610612743,110.47463175122748,97.76,97.06,96.36,1,0.26,0.25,0.25,23.67,25.2,24.86,2.08,3.11,3.13,24.29,,0,1,0
1531,LeBron James,2544,LAL vs. DEN,LAL,1610612747,DEN,1,42200314,2023-05-22,L,48,40,9,10,15,25,0.6,4,7,0.571,6,7,0.857,2,8,2,0,1,1,-2,70.5,1.425,1.425,F,123.3,128.4,-5.1,0.043,0.174,0.108,0.36,9.0,0.274,0.712,94.7,89.13,0.234,74.28,"MAY 22, 2023",240,40,86,0.465,8,20,0.4,23,26,0.885,8,30,38,20,5,4,6,19,111,116.30343671416595,3.0,9.0,40.0,0.4823529411764706,1610612743,116.30343671416595,95.44,93.56,91.68,1,0.26,0.26,0.26,28.33,28.2,27.57,10.12,7.29,6.08,26.25,,0,1,0
534,Udonis Haslem,2617,MIA vs. MIL,MIA,1610612748,MIL,1,42200103,2023-04-22,W,2,0,0,1,0,2,0.0,0,1,0.0,0,0,,0,1,0,0,0,0,-5,1.2,0.0,0.0,,33.3,116.7,-83.3,0.0,0.5,0.2,0.0,0.0,0.333,0.0,107.03,116.76,-0.1,97.3,"APR 22, 2023",240,45,84,0.536,16,33,0.485,15,17,0.882,8,36,44,22,13,4,13,18,121,125.41459369817578,7.0,3.0,37.0,0.4470588235294118,1610612749,125.41459369817578,96.48,98.38,100.28000000000002,0,0.33,0.33,0.33,0.0,0.0,0.0,,,,0.0,,0,1,0
1667,Udonis Haslem,2617,MIA vs. DEN,MIA,1610612748,DEN,1,42200403,2023-06-07,L,0,0,0,0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,48.32,96.64,2.0,80.54,"JUN 07, 2023",240,34,92,0.37,11,35,0.314,15,19,0.789,10,23,33,20,7,3,4,22,94,99.61848240779992,3.0,5.0,58.0,0.5125,1610612743,99.61848240779992,94.36,93.12,91.88,0,0.42,0.42,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,1,0
92,Chris Paul,101108,PHX vs. LAC,PHX,1610612756,LAC,1,42200171,2023-04-16,L,39,7,10,11,2,8,0.25,1,2,0.5,2,2,1.0,1,10,2,0,1,4,6,40.2,0.788,0.788,G,110.8,106.2,4.7,0.029,0.222,0.138,0.313,10.0,0.112,0.394,102.12,101.75,0.111,84.79,"APR 16, 2023",240,39,82,0.476,6,19,0.316,26,33,0.788,6,36,42,27,8,9,10,25,110,109.43095901313173,6.0,4.0,49.0,0.4408602150537634,1610612746,109.43095901313173,100.52,102.14,103.76,1,0.11,0.11,0.11,7.0,7.0,7.0,,,,7.0,,1,0,0
213,Chris Paul,101108,PHX vs. LAC,PHX,1610612756,LAC,1,42200172,2023-04-18,W,38,16,8,4,8,14,0.571,0,1,0.0,0,0,,0,4,1,1,1,3,14,37.8,1.143,1.143,G,125.0,106.6,18.4,0.0,0.103,0.061,0.25,8.0,0.181,0.571,95.74,96.88,0.122,80.74,"APR 18, 2023",240,50,85,0.588,10,24,0.417,13,14,0.929,7,28,35,30,6,6,11,22,123,129.25598991172762,7.0,4.0,32.0,0.4375,1610612746,129.25598991172762,95.16,95.90000000000002,96.64,1,0.15,0.15,0.15,11.5,11.5,11.5,6.36,6.36,6.36,11.5,,1,0,0
389,Chris Paul,101108,PHX @ LAC,PHX,1610612756,LAC,0,42200173,2023-04-20,W,41,11,7,6,5,18,0.278,1,8,0.125,0,2,0.0,2,4,3,1,3,4,1,37.7,0.583,0.583,G,122.1,119.5,2.6,0.045,0.125,0.079,0.25,2.33,0.214,0.291,104.12,102.04,0.025,85.03,"APR 20, 2023",240,42,88,0.477,10,27,0.37,35,46,0.761,15,30,45,20,12,4,13,18,129,121.42319277108436,9.0,7.0,40.0,0.5421686746987951,1610612746,121.42319277108436,106.24,106.12,106.0,1,0.17,0.17,0.17,11.33,11.33,11.33,4.51,4.51,4.51,,11.0,1,0,0
500,Chris Paul,101108,PHX @ LAC,PHX,1610612756,LAC,0,42200174,2023-04-22,W,38,19,9,4,8,17,0.471,3,6,0.5,0,0,,1,3,3,3,0,0,22,55.3,1.118,1.118,G,124.7,97.4,27.3,0.029,0.075,0.054,0.31,0.0,0.183,0.559,99.62,96.54,0.179,80.45,"APR 22, 2023",240,41,84,0.488,9,22,0.409,21,27,0.778,14,35,49,25,10,8,13,14,112,118.04384485666108,7.0,5.0,33.0,0.4347826086956521,1610612746,118.04384485666108,94.88,97.64,100.40000000000002,1,0.19,0.17,0.17,15.33,13.25,13.25,4.04,5.32,5.32,,15.0,1,0,0
675,Chris Paul,101108,PHX vs. LAC,PHX,1610612756,LAC,1,42200175,2023-04-25,W,37,15,7,5,6,13,0.462,3,6,0.5,0,0,,0,5,2,0,1,2,0,36.5,1.154,1.154,G,128.2,129.9,-1.7,0.0,0.119,0.062,0.226,7.0,0.156,0.577,102.84,99.33,0.107,82.78,"APR 25, 2023",240,51,94,0.543,13,26,0.5,21,24,0.875,11,32,43,31,7,4,7,27,136,135.2426412092283,4.0,1.0,46.0,0.4526315789473684,1610612746,135.2426412092283,100.56,102.42,104.28000000000002,1,0.18,0.17,0.17,15.0,13.6,13.6,4.0,4.67,4.67,12.67,,1,0,0
872,Chris Paul,101108,PHX @ DEN,PHX,1610612756,DEN,0,42200221,2023-04-29,L,32,11,5,0,5,11,0.455,1,5,0.2,0,0,,0,0,1,0,1,3,-12,20.5,1.0,1.0,G,116.1,129.2,-13.1,0.0,0.0,0.0,0.208,5.0,0.185,0.5,95.92,94.17,0.049,78.48,"APR 29, 2023",240,43,84,0.512,7,23,0.304,14,17,0.824,8,30,38,20,4,5,16,19,107,107.55930840369923,14.0,1.0,49.0,0.4752475247524752,1610612743,107.55930840369923,99.48,100.04,100.59999999999998,1,0.17,0.18,0.17,15.0,14.4,13.17,4.0,3.44,4.31,,13.67,1,0,0
959,Chris Paul,101108,PHX @ DEN,PHX,1610612756,DEN,0,42200222,2023-05-01,L,25,8,6,5,4,10,0.4,0,0,,0,0,,1,4,0,0,0,0,8,23.0,0.8,0.8,G,110.2,92.0,18.2,0.038,0.16,0.098,0.3,0.0,0.179,0.4,94.51,93.6,0.133,78.0,"MAY 01, 2023",240,38,95,0.4,6,31,0.194,5,5,1.0,11,28,39,23,2,4,9,25,87,91.38655462184872,5.0,6.0,41.0,0.4736842105263157,1610612743,91.38655462184872,95.2,92.71999999999998,90.24,1,0.17,0.18,0.17,11.33,12.8,12.43,3.51,4.27,4.39,,12.25,1,0,0
82,Kyle Lowry,200768,MIA @ MIL,MIA,1610612748,MIL,0,42200101,2023-04-16,W,19,2,3,1,1,1,1.0,0,0,,0,0,,0,1,1,0,1,2,-2,9.7,2.0,2.0,,130.8,126.2,4.6,0.0,0.053,0.031,0.176,3.0,0.049,1.0,110.11,105.08,0.049,87.57,"APR 16, 2023",240,50,84,0.595,15,25,0.6,15,21,0.714,4,32,36,32,6,1,15,24,130,124.71220260936302,3.0,4.0,38.0,0.4945054945054945,1610612749,124.71220260936302,104.24,104.96,105.68,0,0.05,0.05,0.05,2.0,2.0,2.0,,,,,2.0,1,0,0
311,Kyle Lowry,200768,MIA @ MIL,MIA,1610612748,MIL,0,42200102,2023-04-19,L,18,5,3,4,2,5,0.4,1,3,0.333,0,0,,0,4,1,0,4,1,-22,13.3,1.0,1.0,,97.5,148.8,-51.3,0.0,0.235,0.114,0.273,0.75,0.209,0.5,107.68,105.75,0.051,88.12,"APR 19, 2023",240,45,84,0.536,16,36,0.444,16,23,0.696,7,34,41,26,10,2,17,9,122,117.17249327698808,9.0,4.0,45.0,0.5353535353535354,1610612749,117.17249327698808,104.12,104.32,104.52,0,0.13,0.13,0.13,3.5,3.5,3.5,2.12,2.12,2.12,,3.5,1,0,0
509,Kyle Lowry,200768,MIA vs. MIL,MIA,1610612748,MIL,1,42200103,2023-04-22,W,28,15,3,1,5,10,0.5,2,5,0.4,3,3,1.0,0,1,1,1,1,2,27,25.7,1.325,1.325,,138.9,87.3,51.6,0.0,0.03,0.02,0.143,3.0,0.214,0.663,95.99,94.91,0.114,79.1,"APR 22, 2023",240,45,84,0.536,16,33,0.485,15,17,0.882,8,36,44,22,13,4,13,18,121,125.41459369817578,7.0,3.0,37.0,0.4470588235294118,1610612749,125.41459369817578,96.48,98.38,100.28000000000002,0,0.16,0.16,0.16,7.33,7.33,7.33,6.81,6.81,6.81,15.0,,1,0,0
627,Kyle Lowry,200768,MIA vs. MIL,MIA,1610612748,MIL,1,42200104,2023-04-24,W,24,6,5,4,3,7,0.429,0,2,0.0,0,0,,1,3,1,1,3,1,18,21.3,0.857,0.857,,129.4,94.1,35.3,0.056,0.094,0.08,0.25,1.67,0.185,0.429,101.39,103.29,0.081,86.08,"APR 24, 2023",240,43,87,0.494,13,32,0.406,20,25,0.8,9,38,47,21,9,5,15,20,119,114.42307692307692,10.0,6.0,46.0,0.4329896907216495,1610612749,114.42307692307692,104.0,103.90000000000002,103.8,0,0.2,0.16,0.16,8.67,7.0,7.0,5.51,5.6,5.6,10.5,,1,0,0
792,Kyle Lowry,200768,MIA @ MIL,MIA,1610612748,MIL,0,42200105,2023-04-26,W,18,10,2,1,4,10,0.4,2,4,0.5,0,0,,0,1,0,0,1,6,1,13.2,1.0,1.0,,107.1,107.3,-0.2,0.0,0.077,0.027,0.143,2.0,0.229,0.5,111.03,109.4,0.0,91.17,"APR 26, 2023",265,50,110,0.455,17,45,0.378,11,17,0.647,9,36,45,25,6,5,11,31,128,107.1309005691329,4.0,1.0,56.0,0.4615384615384615,1610612749,107.1309005691329,119.48,117.64,115.8,0,0.21,0.18,0.18,10.33,7.6,7.6,4.51,5.03,5.03,,5.67,1,0,0
921,Kyle Lowry,200768,MIA @ NYK,MIA,1610612748,NYK,0,42200201,2023-04-30,W,30,18,6,5,5,12,0.417,3,6,0.5,5,6,0.833,0,5,1,4,2,3,2,46.0,1.23,1.23,,108.3,105.0,3.3,0.0,0.172,0.081,0.429,3.0,0.243,0.615,96.53,96.05,0.19,80.04,"APR 30, 2023",240,36,85,0.424,13,39,0.333,23,29,0.793,10,29,39,26,8,5,8,14,108,112.78195488721803,6.0,4.0,48.0,0.4767441860465116,1610612752,112.78195488721803,95.76,95.78000000000002,95.8,0,0.22,0.22,0.19,11.33,10.8,9.33,6.11,5.63,6.19,,8.75,1,0,0
976,Kyle Lowry,200768,MIA @ NYK,MIA,1610612748,NYK,0,42200202,2023-05-02,L,31,6,6,4,3,9,0.333,0,4,0.0,0,0,,0,4,1,1,1,2,-7,24.8,0.667,0.667,,108.5,116.4,-7.9,0.0,0.125,0.062,0.273,6.0,0.156,0.333,95.21,92.55,0.084,77.13,"MAY 02, 2023",240,38,85,0.447,17,49,0.347,12,17,0.706,8,26,34,24,1,2,6,24,105,116.04774535809015,4.0,2.0,50.0,0.4512195121951219,1610612752,116.04774535809015,90.48,92.34,94.2,0,0.21,0.21,0.18,11.33,11.0,8.86,6.11,5.39,5.79,,8.2,1,0,0
1112,Kyle Lowry,200768,MIA vs. NYK,MIA,1610612748,NYK,1,42200203,2023-05-06,W,25,14,4,3,4,9,0.444,2,4,0.5,4,4,1.0,0,3,0,1,0,0,8,26.6,1.301,1.301,,105.9,90.2,15.7,0.0,0.091,0.048,0.308,0.0,0.175,0.651,105.47,98.73,0.308,82.27,"MAY 06, 2023",240,35,90,0.389,7,32,0.219,28,31,0.903,13,37,50,17,3,5,13,25,105,101.31223465843304,4.0,3.0,48.0,0.3406593406593406,1610612752,101.31223465843304,103.64,101.66,99.68,0,0.19,0.2,0.2,12.67,10.8,10.57,6.11,5.22,5.16,11.67,,1,0,0
1192,Kyle Lowry,200768,MIA vs. NYK,MIA,1610612748,NYK,1,42200204,2023-05-08,W,26,15,4,5,4,6,0.667,2,4,0.5,5,6,0.833,2,3,1,0,0,1,5,30.0,1.736,1.736,,102.1,91.7,10.4,0.077,0.103,0.091,0.286,0.0,0.15,0.868,92.04,89.07,0.354,74.23,"MAY 08, 2023",240,40,85,0.471,13,39,0.333,16,22,0.727,13,31,44,28,7,4,12,21,109,116.35354397950468,5.0,4.0,35.0,0.4868421052631579,1610612752,116.35354397950468,93.68,94.12,94.56,0,0.16,0.19,0.19,11.67,12.6,12.0,4.93,4.67,4.73,12.5,,1,0,0
1293,Kyle Lowry,200768,MIA @ NYK,MIA,1610612748,NYK,0,42200205,2023-05-10,L,31,9,5,1,3,11,0.273,2,8,0.25,1,1,1.0,0,1,2,1,2,5,-5,24.7,0.787,0.787,,113.1,121.3,-8.2,0.0,0.038,0.017,0.25,2.5,0.188,0.393,95.84,94.6,0.019,78.84,"MAY 10, 2023",240,37,88,0.42,13,43,0.302,16,19,0.842,11,23,34,27,11,4,12,30,103,105.79293344289236,6.0,4.0,50.0,0.4929577464788732,1610612752,105.79293344289236,97.36,94.97999999999998,92.59999999999998,0,0.17,0.18,0.19,12.67,12.4,11.14,3.21,4.83,4.63,,8.33,1,0,0
1381,Kyle Lowry,200768,MIA vs. NYK,MIA,1610612748,NYK,1,42200206,2023-05-12,W,31,11,9,4,4,6,0.667,1,2,0.5,2,2,1.0,2,2,3,1,1,4,0,40.3,1.599,1.599,,106.7,110.3,-3.7,0.059,0.067,0.063,0.474,9.0,0.11,0.799,93.93,90.64,0.195,75.54,"MAY 12, 2023",240,33,82,0.402,7,27,0.259,23,25,0.92,7,33,40,25,8,2,7,22,96,103.2258064516129,2.0,9.0,41.0,0.380281690140845,1610612752,103.2258064516129,93.0,91.04,89.08,0,0.15,0.16,0.18,11.67,11.0,11.86,3.06,3.67,4.06,12.2,,1,0,0
1439,Kyle Lowry,200768,MIA @ BOS,MIA,1610612748,BOS,0,42200301,2023-05-17,W,28,15,3,3,6,12,0.5,3,5,0.6,0,0,,0,3,1,1,1,2,-11,28.1,1.25,1.25,,114.5,134.5,-20.0,0.0,0.158,0.067,0.167,3.0,0.203,0.625,99.62,95.02,0.113,79.18,"MAY 17, 2023",240,46,85,0.541,16,31,0.516,15,19,0.789,7,28,35,20,12,3,12,22,123,125.0508336722245,6.0,3.0,34.0,0.5185185185185185,1610612738,125.0508336722245,98.36,99.06,99.76,0,0.17,0.17,0.18,11.67,12.8,12.57,3.06,2.68,4.12,,9.29,1,0,0
1471,Kyle Lowry,200768,MIA @ BOS,MIA,1610612748,BOS,0,42200302,2023-05-19,W,17,0,5,1,0,5,0.0,0,3,0.0,0,0,,0,1,1,1,2,1,-21,12.7,0.0,0.0,,100.0,166.7,-66.7,0.0,0.083,0.03,0.357,2.5,0.171,0.0,100.79,94.31,-0.006,78.59,"MAY 19, 2023",240,42,92,0.457,9,26,0.346,18,19,0.947,11,34,45,23,9,5,10,17,111,111.71497584541063,2.0,9.0,35.0,0.4683544303797468,1610612738,111.71497584541063,99.36,98.96,98.56,0,0.16,0.16,0.16,8.67,10.0,10.0,7.77,6.16,5.54,,8.12,1,0,0
1515,Kyle Lowry,200768,MIA vs. BOS,MIA,1610612748,BOS,1,42200303,2023-05-21,W,28,7,4,5,3,6,0.5,1,2,0.5,0,0,,0,5,1,0,1,5,11,21.0,1.167,1.167,,129.8,108.6,21.2,0.0,0.128,0.082,0.167,4.0,0.121,0.583,97.54,98.4,0.065,82.0,"MAY 21, 2023",240,46,81,0.568,19,35,0.543,17,21,0.81,1,34,35,25,7,4,9,16,128,130.29315960912052,3.0,3.0,57.0,0.3979591836734694,1610612738,130.29315960912052,98.24,98.86,99.48,0,0.16,0.16,0.16,7.33,8.4,10.14,7.51,5.55,5.43,11.33,,1,0,0
1553,Kyle Lowry,200768,MIA vs. BOS,MIA,1610612748,BOS,1,42200304,2023-05-23,L,28,5,6,8,2,8,0.25,1,5,0.2,0,0,,3,5,2,0,4,4,0,25.6,0.625,0.625,,109.1,111.1,-2.0,0.115,0.2,0.157,0.316,1.5,0.19,0.313,92.49,94.33,0.05,78.61,"MAY 23, 2023",240,34,78,0.436,8,32,0.25,23,28,0.821,12,32,44,18,5,2,15,18,99,106.0865837976854,8.0,8.0,39.0,0.5119047619047619,1610612738,106.0865837976854,93.32,94.12,94.92,0,0.16,0.16,0.16,4.0,7.6,8.86,3.61,5.73,5.43,10.43,,1,0,0
