,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ID,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,OFF_RATING,DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,PACE_PER40,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,STARTING,USG_PCT_LAST_3,USG_PCT_LAST_5,USG_PCT_LAST_7,PTS_LAST_3,PTS_LAST_5,PTS_LAST_7,STD_PTS_LAST_3,STD_PTS_LAST_5,STD_PTS_LAST_7,PLAYER_HOME_AVG_PTS,PLAYER_AWAY_AVG_PTS,GUARD,FORWARD,CENTER,TEAM_ATL,TEAM_BKN,TEAM_BOS,TEAM_DAL,TEAM_DEN,TEAM_LAC,TEAM_LAL,TEAM_MEM,TEAM_MIA,TEAM_MIL,TEAM_NYK,TEAM_PHI,TEAM_PHX,TEAM_POR,TEAM_UTA,TEAM_WAS,OPP_ATL,OPP_BKN,OPP_BOS,OPP_DAL,OPP_DEN,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_NYK,OPP_PHI,OPP_PHX,OPP_POR,OPP_UTA,OPP_WAS
488,Ish Smith,202397,WAS vs. PHI,1610612764,1,42000103,2021-05-29,L,20,7,4,6,3,7,0.429,1,3,0.333,0,0,,1,5,1,0,1,1,-2,22.2,1.0,1.0,,104.3,116.3,-11.9,0.04,0.25,0.133,0.286,4.0,0.145,0.5,106.29,105.48,0.144,87.9,"MAY 29, 2021",240,38,96,0.396,8,35,0.229,19,25,0.76,13,28,41,18,5,3,8,18,103,100.98039215686272,7.0,5.0,51.0,0.5862068965517241,1610612755,100.98039215686272,102.0,102.90000000000002,103.8,0,0.18,0.18,0.18,7.67,7.67,7.67,2.08,2.08,2.08,7.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
667,Ish Smith,202397,WAS vs. PHI,1610612764,1,42000104,2021-05-31,W,20,2,3,3,1,5,0.2,0,0,,0,0,,0,3,2,1,1,3,2,18.1,0.4,0.4,,120.0,102.3,17.7,0.0,0.125,0.064,0.158,3.0,0.115,0.2,110.45,109.37,0.029,91.14,"MAY 31, 2021",240,40,88,0.455,9,24,0.375,33,42,0.786,13,44,57,24,8,12,13,27,122,114.5755071374906,7.0,6.0,48.0,0.4166666666666667,1610612755,114.5755071374906,106.48,108.21999999999998,109.96,0,0.17,0.17,0.17,6.33,6.25,6.25,4.04,3.3,3.3,4.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
791,Ish Smith,202397,WAS @ PHI,1610612764,0,42000105,2021-06-02,L,26,9,2,4,4,8,0.5,1,2,0.5,0,0,,0,4,1,0,2,4,-14,17.8,1.125,1.125,,94.5,117.9,-23.3,0.0,0.154,0.083,0.143,1.0,0.169,0.563,100.23,103.94,0.071,86.62,"JUN 02, 2021",240,39,79,0.494,8,20,0.4,26,33,0.788,7,31,38,22,4,3,15,30,112,110.32308904649332,9.0,6.0,40.0,0.5119047619047619,1610612755,110.32308904649332,101.52,102.21999999999998,102.92,0,0.14,0.17,0.17,6.0,6.8,6.8,3.61,3.11,3.11,,8.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,Kyrie Irving,202681,BKN vs. BOS,1610612751,1,42000111,2021-05-22,W,37,29,1,6,11,20,0.55,2,8,0.25,5,5,1.0,3,3,0,1,2,3,16,38.7,1.306,1.306,G,120.0,98.7,21.3,0.079,0.07,0.074,0.053,0.5,0.273,0.653,99.32,96.24,0.157,80.2,"MAY 22, 2021",240,35,84,0.417,8,34,0.235,26,29,0.897,14,36,50,18,7,7,11,22,104,110.92150170648463,6.0,12.0,40.0,0.369047619047619,1610612738,110.92150170648463,93.76,95.09999999999998,96.44,1,0.27,0.27,0.27,29.0,29.0,29.0,,,,29.0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
268,Kyrie Irving,202681,BKN vs. BOS,1610612751,1,42000112,2021-05-25,W,28,15,6,6,6,12,0.5,1,3,0.333,2,2,1.0,2,4,0,1,3,2,19,31.2,1.165,1.165,G,151.7,120.0,31.7,0.111,0.125,0.12,0.231,2.0,0.239,0.582,105.02,103.23,0.099,86.02,"MAY 25, 2021",240,46,88,0.523,17,38,0.447,21,22,0.955,12,34,46,31,7,7,14,23,130,130.41733547351524,10.0,4.0,43.0,0.4239130434782608,1610612738,130.41733547351524,99.68,100.90000000000002,102.12,1,0.26,0.26,0.26,22.0,22.0,22.0,9.9,9.9,9.9,22.0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
441,Kyrie Irving,202681,BKN @ BOS,1610612751,0,42000113,2021-05-28,L,41,16,2,6,6,17,0.353,2,6,0.333,2,2,1.0,2,4,1,0,1,4,1,28.2,0.895,0.895,G,125.0,122.4,2.6,0.049,0.1,0.074,0.074,2.0,0.2,0.447,103.16,99.37,0.048,82.81,"MAY 28, 2021",240,38,84,0.452,16,38,0.421,27,31,0.871,10,27,37,16,8,3,9,23,119,123.13741721854304,5.0,3.0,46.0,0.5056179775280899,1610612738,123.13741721854304,96.64,97.88,99.12,1,0.24,0.24,0.24,20.0,20.0,20.0,7.81,7.81,7.81,,16.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
612,Kyrie Irving,202681,BKN @ BOS,1610612751,0,42000114,2021-05-30,W,41,39,2,11,11,24,0.458,6,12,0.5,11,11,1.0,3,8,2,0,1,4,15,60.2,1.352,1.352,G,147.1,131.0,16.1,0.094,0.19,0.149,0.067,2.0,0.302,0.676,101.62,100.08,0.159,83.4,"MAY 30, 2021",240,48,83,0.578,16,27,0.593,29,30,0.967,9,27,36,29,8,9,9,28,141,146.56964656964658,8.0,4.0,34.0,0.4404761904761904,1610612738,146.56964656964658,96.2,98.84,101.48,1,0.25,0.25,0.25,23.33,24.75,24.75,13.58,11.44,11.44,,27.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
718,Kyrie Irving,202681,BKN vs. BOS,1610612751,1,42000115,2021-06-01,W,38,25,3,3,9,14,0.643,3,7,0.429,4,6,0.667,0,3,0,1,0,1,23,36.1,1.502,1.502,G,135.1,102.7,32.5,0.0,0.063,0.038,0.115,0.0,0.205,0.751,97.86,94.31,0.163,78.59,"JUN 01, 2021",240,43,84,0.512,15,32,0.469,22,25,0.88,7,32,39,26,6,7,8,21,123,128.125,3.0,12.0,44.0,0.4347826086956521,1610612738,128.125,96.0,98.06,100.12,1,0.24,0.24,0.24,26.67,24.8,24.8,11.59,9.91,9.91,23.0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
943,Kyrie Irving,202681,BKN vs. MIL,1610612751,1,42000211,2021-06-05,W,45,25,8,5,11,26,0.423,3,11,0.273,0,0,,2,3,1,1,1,1,14,48.0,0.962,0.962,G,111.3,95.9,15.4,0.04,0.052,0.046,0.242,8.0,0.26,0.481,106.39,105.01,0.116,87.51,"JUN 05, 2021",240,46,98,0.469,15,39,0.385,8,9,0.889,6,41,47,25,7,6,8,21,115,110.61946902654869,4.0,3.0,58.0,0.4455445544554455,1610612749,110.61946902654869,103.96,106.16,108.36,1,0.26,0.24,0.25,29.67,24.0,24.83,8.08,9.64,8.86,23.5,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1019,Kyrie Irving,202681,BKN vs. MIL,1610612751,1,42000212,2021-06-07,W,34,22,6,5,9,17,0.529,4,8,0.5,0,0,,0,5,1,0,1,1,23,39.0,1.294,1.294,G,130.3,92.6,37.7,0.0,0.143,0.075,0.24,6.0,0.247,0.647,93.88,95.02,0.176,79.18,"JUN 07, 2021",240,49,94,0.521,21,42,0.5,6,7,0.857,9,33,42,27,8,3,8,17,125,130.0999167360533,2.0,3.0,44.0,0.4404761904761904,1610612749,130.0999167360533,96.08,94.52,92.96,1,0.24,0.24,0.25,24.0,25.4,24.43,1.73,8.44,8.16,23.2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
