,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ID,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,OFF_RATING,DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,PACE_PER40,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,STARTING,USG_PCT_LAST_3,USG_PCT_LAST_5,USG_PCT_LAST_7,PTS_LAST_3,PTS_LAST_5,PTS_LAST_7,STD_PTS_LAST_3,STD_PTS_LAST_5,STD_PTS_LAST_7,PLAYER_HOME_AVG_PTS,PLAYER_AWAY_AVG_PTS,GUARD,FORWARD,CENTER,TEAM_ATL,TEAM_BKN,TEAM_BOS,TEAM_CHI,TEAM_DAL,TEAM_DEN,TEAM_GSW,TEAM_MEM,TEAM_MIA,TEAM_MIL,TEAM_MIN,TEAM_NOP,TEAM_PHI,TEAM_PHX,TEAM_TOR,TEAM_UTA,OPP_ATL,OPP_BKN,OPP_BOS,OPP_CHI,OPP_DAL,OPP_DEN,OPP_GSW,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_PHI,OPP_PHX,OPP_TOR,OPP_UTA
578,Chris Paul,101108,PHX @ NOP,1610612756,0,42100144,2022-04-24,L,35,4,11,3,2,8,0.25,0,3,0.0,0,0,,1,2,2,0,3,4,-14,27.1,0.5,0.5,G,107.7,129.2,-21.5,0.033,0.057,0.046,0.407,3.67,0.153,0.25,91.35,89.19,0.047,74.32,"APR 24, 2022",240,43,85,0.506,7,27,0.259,10,15,0.667,12,27,39,33,6,3,12,28,103,112.44541484716156,8.0,3.0,48.0,0.4705882352941176,1610612740,112.44541484716156,91.59999999999998,92.04,92.48,1,0.21,0.23,0.23,16.33,19.75,19.75,12.01,11.95,11.95,,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
723,Chris Paul,101108,PHX vs. NOP,1610612756,1,42100145,2022-04-26,W,39,22,11,6,8,18,0.444,0,4,0.0,6,6,1.0,0,6,3,0,1,2,10,53.7,1.066,1.066,G,116.3,103.8,12.5,0.0,0.13,0.074,0.393,11.0,0.253,0.533,100.44,98.64,0.185,82.2,"APR 26, 2022",240,43,86,0.5,10,27,0.37,16,20,0.8,6,34,40,28,10,4,9,25,112,114.519427402863,6.0,5.0,47.0,0.4,1610612740,114.519427402863,97.8,97.59999999999998,97.40000000000002,1,0.22,0.23,0.23,18.0,20.2,20.2,12.49,10.4,10.4,23.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
858,Chris Paul,101108,PHX @ NOP,1610612756,0,42100146,2022-04-28,W,36,33,8,5,14,14,1.0,1,1,1.0,4,4,1.0,1,4,1,0,3,2,17,51.0,2.094,2.094,G,138.8,113.4,25.4,0.056,0.133,0.104,0.333,2.67,0.268,1.047,90.53,89.86,0.273,74.88,"APR 28, 2022",240,45,75,0.6,8,20,0.4,17,18,0.944,5,27,32,23,8,2,14,21,115,125.1087902523934,9.0,0.0,36.0,0.5060240963855421,1610612740,125.1087902523934,91.92,93.64,95.36,1,0.22,0.23,0.24,19.67,20.8,22.33,14.64,11.17,10.67,,21.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
990,Chris Paul,101108,PHX vs. DAL,1610612756,1,42100221,2022-05-02,W,29,19,3,5,7,13,0.538,2,5,0.4,3,3,1.0,0,5,1,1,1,3,14,34.5,1.327,1.327,G,135.2,105.4,29.8,0.0,0.152,0.079,0.158,3.0,0.224,0.663,96.9,91.83,0.187,76.52,"MAY 02, 2022",240,46,91,0.505,11,28,0.393,18,18,1.0,13,38,51,27,3,6,9,21,121,127.47576906868944,6.0,2.0,36.0,0.4705882352941176,1610612742,127.47576906868944,94.92,95.96,97.0,1,0.25,0.23,0.24,24.67,21.2,21.86,7.37,11.03,9.82,22.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1064,Chris Paul,101108,PHX vs. DAL,1610612756,1,42100222,2022-05-04,W,36,28,8,6,11,16,0.688,1,2,0.5,5,5,1.0,0,6,1,0,3,2,19,47.2,1.538,1.538,G,134.7,106.8,27.9,0.0,0.194,0.115,0.296,2.67,0.269,0.769,98.58,96.09,0.233,80.07,"MAY 04, 2022",240,49,76,0.645,13,25,0.52,18,21,0.857,4,30,34,28,6,6,16,28,129,132.66145619086797,7.0,1.0,25.0,0.4556962025316455,1610612742,132.66145619086797,97.24,96.90000000000002,96.56,1,0.25,0.23,0.24,26.67,21.2,21.57,7.09,11.03,9.57,23.2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1120,Chris Paul,101108,PHX @ DAL,1610612756,0,42100223,2022-05-06,L,37,12,4,7,5,9,0.556,2,4,0.5,0,0,,2,5,1,0,7,4,-8,22.4,1.333,1.333,G,107.5,117.6,-10.2,0.063,0.122,0.096,0.19,0.57,0.211,0.667,92.12,87.7,0.056,73.08,"MAY 06, 2022",240,34,76,0.447,13,28,0.464,13,15,0.867,9,36,45,23,5,1,17,14,94,103.75275938189846,12.0,4.0,36.0,0.4444444444444444,1610612742,103.75275938189846,90.59999999999998,93.16,95.71999999999998,1,0.23,0.25,0.23,19.67,22.8,20.86,8.02,8.11,10.14,,19.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1219,Chris Paul,101108,PHX @ DAL,1610612756,0,42100224,2022-05-08,L,23,5,7,5,2,4,0.5,1,1,1.0,0,0,,0,5,1,0,2,6,-3,22.5,1.25,1.25,G,113.0,117.0,-4.0,0.0,0.238,0.128,0.412,3.5,0.115,0.625,96.59,96.92,0.105,80.77,"MAY 08, 2022",240,39,84,0.464,9,25,0.36,14,18,0.778,12,32,44,27,4,4,17,25,101,104.20965744944284,5.0,1.0,37.0,0.4470588235294118,1610612742,104.20965744944284,96.92,95.64,94.36,1,0.2,0.22,0.21,15.0,19.4,17.57,11.79,11.41,11.12,,16.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1277,Chris Paul,101108,PHX vs. DAL,1610612756,1,42100225,2022-05-10,W,35,7,10,2,3,8,0.375,1,3,0.333,0,0,,0,2,1,0,4,2,7,23.4,0.875,0.875,G,109.2,97.0,12.3,0.0,0.061,0.031,0.37,2.5,0.164,0.438,91.56,90.56,0.085,75.47,"MAY 10, 2022",240,43,87,0.494,12,32,0.375,12,16,0.75,12,38,50,28,10,2,12,23,110,116.9715014887282,7.0,0.0,38.0,0.380281690140845,1610612742,116.9715014887282,94.04,93.46,92.88,1,0.16,0.2,0.21,8.0,14.2,18.0,3.61,9.42,10.55,20.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1364,Chris Paul,101108,PHX @ DAL,1610612756,0,42100226,2022-05-12,L,36,13,4,2,4,7,0.571,3,5,0.6,2,2,1.0,1,1,2,0,5,5,-14,22.4,1.65,1.65,G,97.0,117.9,-20.9,0.033,0.031,0.032,0.211,0.8,0.176,0.825,91.24,90.29,0.068,75.25,"MAY 12, 2022",240,31,78,0.397,6,18,0.333,18,21,0.857,13,32,45,18,3,2,22,27,86,89.35993349958437,16.0,4.0,39.0,0.4545454545454545,1610612742,89.35993349958437,96.24,94.04,91.84,1,0.15,0.19,0.2,8.33,13.0,16.71,4.16,9.03,10.53,,15.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1464,Chris Paul,101108,PHX vs. DAL,1610612756,1,42100227,2022-05-15,L,31,10,4,1,4,8,0.5,1,3,0.333,1,2,0.5,0,1,1,0,0,3,-39,20.2,1.126,1.126,G,67.2,133.3,-66.1,0.0,0.04,0.016,0.364,0.0,0.134,0.563,91.72,92.73,0.082,77.28,"MAY 15, 2022",240,33,87,0.379,12,34,0.353,12,18,0.667,15,24,39,22,8,4,12,18,90,97.911227154047,9.0,6.0,43.0,0.5679012345679012,1610612742,97.911227154047,91.92,91.59999999999998,91.28000000000002,1,0.16,0.16,0.18,10.0,9.4,13.43,3.0,3.36,7.85,19.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
