,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ID,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,OFF_RATING,DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,PACE_PER40,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,STARTING,USG_PCT_LAST_3,USG_PCT_LAST_5,USG_PCT_LAST_7,PTS_LAST_3,PTS_LAST_5,PTS_LAST_7,STD_PTS_LAST_3,STD_PTS_LAST_5,STD_PTS_LAST_7,PLAYER_HOME_AVG_PTS,PLAYER_AWAY_AVG_PTS,GUARD,FORWARD,CENTER,TEAM_ATL,TEAM_BKN,TEAM_BOS,TEAM_CHI,TEAM_DAL,TEAM_DEN,TEAM_GSW,TEAM_MEM,TEAM_MIA,TEAM_MIL,TEAM_MIN,TEAM_NOP,TEAM_PHI,TEAM_PHX,TEAM_TOR,TEAM_UTA,OPP_ATL,OPP_BKN,OPP_BOS,OPP_CHI,OPP_DAL,OPP_DEN,OPP_GSW,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_PHI,OPP_PHX,OPP_TOR,OPP_UTA
355,Klay Thompson,202691,GSW @ DEN,1610612744,0,42100163,2022-04-21,W,37,26,1,1,10,18,0.556,6,13,0.462,0,0,,0,1,0,2,1,0,2,33.7,1.444,1.444,G,116.0,116.5,-0.4,0.0,0.03,0.016,0.045,1.0,0.226,0.722,101.09,102.5,0.125,85.41,"APR 21, 2022",240,41,74,0.554,18,40,0.45,18,28,0.643,4,26,30,29,7,6,16,25,118,120.01627339300244,9.0,3.0,44.0,0.5,1610612743,120.01627339300244,98.32,98.09999999999998,97.88,1,0.25,0.25,0.25,22.0,22.0,22.0,3.61,3.61,3.61,,26.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
636,Klay Thompson,202691,GSW @ DEN,1610612744,0,42100164,2022-04-24,L,31,32,0,4,12,20,0.6,7,11,0.636,1,2,0.5,1,3,2,0,2,5,9,40.8,1.533,1.533,G,137.5,125.4,12.1,0.04,0.143,0.087,0.0,0.0,0.324,0.766,99.77,99.3,0.155,82.75,"APR 24, 2022",240,43,86,0.5,12,34,0.353,23,32,0.719,9,27,36,26,15,3,15,27,121,114.06485671191552,9.0,2.0,33.0,0.5616438356164384,1610612743,114.06485671191552,106.08,104.96,103.84,1,0.26,0.26,0.26,26.33,24.5,24.5,5.51,5.8,5.8,,29.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
803,Klay Thompson,202691,GSW vs. DEN,1610612744,1,42100165,2022-04-27,W,40,15,3,9,5,13,0.385,1,6,0.167,4,4,1.0,1,8,4,1,0,2,6,45.3,1.016,1.016,F,108.8,103.8,4.9,0.026,0.222,0.122,0.111,0.0,0.172,0.508,94.67,95.86,0.137,79.88,"APR 27, 2022",240,37,82,0.451,13,31,0.419,15,21,0.714,6,31,37,28,10,6,9,22,102,108.23429541595924,5.0,5.0,50.0,0.4444444444444444,1610612743,108.23429541595924,94.24,94.0,93.76,1,0.24,0.25,0.25,24.33,22.6,22.6,8.62,6.58,6.58,18.33,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
940,Klay Thompson,202691,GSW @ MEM,1610612744,0,42100231,2022-05-01,W,31,15,3,1,6,19,0.316,3,10,0.3,0,2,0.0,0,1,2,1,0,3,0,29.7,0.755,0.755,F,107.5,104.3,3.1,0.0,0.026,0.013,0.13,0.0,0.256,0.377,108.01,106.78,0.028,88.99,"MAY 01, 2022",240,45,93,0.484,14,38,0.368,13,20,0.65,16,36,52,31,10,6,18,25,117,112.71676300578036,11.0,6.0,46.0,0.431578947368421,1610612763,112.71676300578036,103.8,103.68,103.56,1,0.25,0.24,0.25,20.67,21.8,21.33,9.81,7.33,6.65,,24.33,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1041,Klay Thompson,202691,GSW @ MEM,1610612744,0,42100232,2022-05-03,L,41,12,3,2,5,19,0.263,2,12,0.167,0,0,,0,2,3,0,1,2,-9,26.9,0.632,0.632,F,89.2,102.2,-13.0,0.0,0.04,0.02,0.111,3.0,0.182,0.316,107.95,106.69,0.021,88.91,"MAY 03, 2022",240,40,95,0.421,7,38,0.184,14,18,0.778,14,38,52,27,6,2,18,20,101,94.46315001870558,13.0,6.0,49.0,0.3956043956043956,1610612763,94.46315001870558,106.92,104.08,101.24,1,0.2,0.23,0.24,14.0,20.0,20.0,1.73,8.57,7.02,,21.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1149,Klay Thompson,202691,GSW vs. MEM,1610612744,1,42100233,2022-05-07,W,35,21,4,9,8,14,0.571,4,6,0.667,1,1,1.0,0,9,0,0,2,1,22,35.8,1.454,1.454,G,132.1,106.6,25.5,0.0,0.225,0.141,0.129,2.0,0.188,0.727,104.93,105.4,0.149,87.83,"MAY 07, 2022",240,53,85,0.624,17,32,0.531,19,21,0.905,4,34,38,34,5,4,16,24,142,133.65963855421688,7.0,4.0,30.0,0.4347826086956521,1610612763,133.65963855421688,106.24,105.24,104.24,1,0.21,0.22,0.23,16.0,19.0,20.29,4.58,7.97,7.02,19.0,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1259,Klay Thompson,202691,GSW vs. MEM,1610612744,1,42100234,2022-05-09,W,38,14,2,7,6,20,0.3,0,7,0.0,2,2,1.0,1,6,1,2,3,0,-3,31.4,0.67,0.67,G,91.8,95.3,-3.5,0.022,0.125,0.074,0.095,0.67,0.247,0.335,104.65,106.2,0.051,88.5,"MAY 09, 2022",240,36,90,0.4,9,37,0.243,20,22,0.909,10,44,54,25,6,7,16,15,101,95.57153671461012,10.0,10.0,48.0,0.4166666666666667,1610612763,95.57153671461012,105.68,105.14,104.59999999999998,1,0.21,0.21,0.23,15.67,15.4,19.29,4.73,3.36,7.39,18.0,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1337,Klay Thompson,202691,GSW @ MEM,1610612744,0,42100235,2022-05-11,L,25,19,1,3,7,12,0.583,3,6,0.5,2,2,1.0,0,3,1,0,2,3,-45,25.1,1.475,1.475,G,78.9,163.6,-84.7,0.0,0.115,0.058,0.111,0.5,0.254,0.738,107.17,106.04,0.111,88.36,"MAY 11, 2022",240,36,80,0.45,14,39,0.359,9,13,0.692,4,33,37,22,3,5,22,23,95,91.59274971075972,12.0,4.0,55.0,0.4747474747474747,1610612763,91.59274971075972,103.71999999999998,103.46,103.2,1,0.23,0.23,0.23,18.0,16.2,18.29,3.61,3.7,6.78,,20.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1418,Klay Thompson,202691,GSW vs. MEM,1610612744,1,42100236,2022-05-13,W,42,30,2,8,11,22,0.5,8,14,0.571,0,0,,1,7,0,3,3,2,14,48.6,1.364,1.364,G,107.8,94.3,13.5,0.018,0.121,0.07,0.08,0.67,0.217,0.682,102.79,101.46,0.161,84.55,"MAY 13, 2022",240,41,104,0.394,20,53,0.377,8,11,0.727,25,45,70,24,3,10,17,17,110,109.08369694565648,8.0,6.0,44.0,0.3541666666666667,1610612763,109.08369694565648,100.84,100.82,100.8,1,0.24,0.22,0.22,21.0,19.2,18.0,8.19,7.05,6.11,20.0,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1508,Klay Thompson,202691,GSW vs. DAL,1610612744,1,42100311,2022-05-18,W,35,15,4,5,7,13,0.538,1,4,0.25,0,0,,0,5,0,2,3,0,20,30.0,1.154,1.154,G,121.7,94.1,27.6,0.0,0.125,0.074,0.138,1.33,0.205,0.577,96.73,95.12,0.134,79.27,"MAY 18, 2022",240,46,82,0.561,10,29,0.345,10,16,0.625,7,44,51,24,8,7,15,22,112,115.41632316570484,7.0,1.0,35.0,0.3604651162790697,1610612742,115.41632316570484,97.04,98.14,99.24,1,0.23,0.22,0.22,21.33,19.8,18.0,7.77,6.38,6.11,19.29,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1570,Klay Thompson,202691,GSW vs. DAL,1610612744,1,42100312,2022-05-20,W,37,15,5,4,6,10,0.6,1,4,0.25,2,2,1.0,0,4,0,0,0,4,-9,27.3,1.379,1.379,G,122.1,133.8,-11.7,0.0,0.133,0.069,0.179,0.0,0.133,0.689,99.0,99.13,0.092,82.61,"MAY 20, 2022",240,46,82,0.561,14,28,0.5,20,25,0.8,8,35,43,33,4,2,13,26,126,128.57142857142858,7.0,5.0,30.0,0.4743589743589743,1610612742,128.57142857142858,98.0,98.38,98.76,1,0.18,0.21,0.2,20.0,18.6,18.0,8.66,6.66,6.11,18.75,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1601,Klay Thompson,202691,GSW @ DAL,1610612744,0,42100313,2022-05-22,W,39,19,3,7,6,18,0.333,3,10,0.3,4,4,1.0,0,7,0,0,0,2,13,31.9,0.962,0.962,G,123.4,110.8,12.6,0.0,0.189,0.096,0.115,0.0,0.222,0.481,91.54,92.84,0.098,77.37,"MAY 22, 2022",240,38,81,0.469,11,32,0.344,22,25,0.88,14,33,47,28,5,1,10,23,109,123.86363636363636,4.0,2.0,33.0,0.4,1610612742,123.86363636363636,88.0,88.98,89.96,1,0.19,0.21,0.21,16.33,19.6,19.0,2.31,6.15,5.51,,20.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1661,Klay Thompson,202691,GSW @ DAL,1610612744,0,42100314,2022-05-24,L,28,12,1,1,5,10,0.5,2,6,0.333,0,1,0.0,0,1,2,0,0,2,-22,20.7,1.149,1.149,G,103.6,138.6,-35.0,0.0,0.045,0.018,0.053,0.0,0.167,0.575,96.22,95.47,0.058,79.55,"MAY 24, 2022",240,41,84,0.488,10,28,0.357,17,26,0.654,6,36,42,26,5,4,8,18,109,111.86371100164205,4.0,6.0,45.0,0.5,1610612742,111.86371100164205,97.44,96.56,95.68,1,0.17,0.19,0.21,15.33,18.2,17.71,3.51,7.05,5.99,,19.29,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1698,Klay Thompson,202691,GSW vs. DAL,1610612744,1,42100315,2022-05-26,W,37,32,3,2,12,25,0.48,8,16,0.5,0,0,,1,1,1,0,1,3,18,40.9,1.28,1.28,G,140.8,115.5,25.4,0.029,0.027,0.028,0.115,3.0,0.31,0.64,93.91,91.29,0.114,76.07,"MAY 26, 2022",240,45,88,0.511,14,36,0.389,16,16,1.0,14,37,51,36,6,3,10,20,120,131.81019332161685,6.0,4.0,34.0,0.4512195121951219,1610612742,131.81019332161685,91.04,92.52000000000002,94.0,1,0.23,0.21,0.22,21.0,18.6,20.29,10.15,7.89,7.74,20.22,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1758,Klay Thompson,202691,GSW vs. BOS,1610612744,1,42100401,2022-06-02,L,39,15,3,2,6,14,0.429,3,7,0.429,0,0,,1,1,0,0,0,0,-9,21.9,1.071,1.071,G,118.7,134.2,-15.6,0.026,0.029,0.027,0.107,0.0,0.157,0.536,94.62,91.19,0.064,75.99,"JUN 02, 2022",240,39,88,0.443,19,45,0.422,11,15,0.733,12,27,39,24,8,6,14,16,108,111.80124223602486,7.0,6.0,39.0,0.5058823529411764,1610612738,111.80124223602486,96.59999999999998,96.82,97.04,1,0.21,0.2,0.2,19.67,18.6,19.71,10.79,7.89,7.99,19.7,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1780,Klay Thompson,202691,GSW vs. BOS,1610612744,1,42100402,2022-06-05,W,30,11,1,3,4,19,0.211,1,8,0.125,2,2,1.0,0,3,2,0,2,1,0,20.1,0.553,0.553,G,84.4,85.7,-1.3,0.0,0.079,0.04,0.059,0.5,0.297,0.277,104.13,100.1,-0.012,83.42,"JUN 05, 2022",240,39,86,0.453,15,37,0.405,14,20,0.7,6,36,42,25,15,2,12,17,107,106.15079365079364,5.0,7.0,43.0,0.375,1610612738,106.15079365079364,100.8,100.14,99.48,1,0.25,0.23,0.21,19.33,17.8,17.0,11.15,8.53,7.09,18.91,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1815,Klay Thompson,202691,GSW @ BOS,1610612744,0,42100403,2022-06-08,L,39,25,3,3,7,17,0.412,5,13,0.385,6,6,1.0,0,3,1,1,0,1,-3,39.1,1.273,1.273,G,121.6,122.4,-0.7,0.0,0.079,0.041,0.12,0.0,0.247,0.636,94.47,92.23,0.136,76.86,"JUN 08, 2022",240,36,78,0.462,15,40,0.375,13,15,0.867,6,25,31,22,7,5,16,23,100,105.70824524312896,7.0,7.0,47.0,0.4831460674157303,1610612738,105.70824524312896,94.59999999999998,95.58,96.56,1,0.23,0.24,0.22,17.0,19.0,18.43,7.21,9.14,7.61,,20.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1833,Klay Thompson,202691,GSW @ BOS,1610612744,0,42100404,2022-06-10,W,41,18,1,2,7,17,0.412,4,10,0.4,0,0,,1,1,1,2,1,4,2,29.9,1.059,1.059,G,108.5,106.1,2.4,0.022,0.023,0.022,0.038,1.0,0.182,0.529,97.05,96.42,0.05,80.35,"JUN 10, 2022",240,40,91,0.44,15,43,0.349,12,15,0.8,16,39,55,20,10,5,16,21,107,109.63114754098362,8.0,6.0,42.0,0.4,1610612738,109.63114754098362,97.59999999999998,97.47999999999998,97.36,1,0.24,0.24,0.23,18.0,20.2,18.86,7.0,8.35,7.47,,19.78,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1855,Klay Thompson,202691,GSW vs. BOS,1610612744,1,42100405,2022-06-13,W,40,21,2,3,7,14,0.5,5,11,0.455,2,2,1.0,0,3,2,0,1,4,13,32.6,1.411,1.411,G,100.0,82.9,17.1,0.0,0.071,0.038,0.08,2.0,0.193,0.706,98.63,98.73,0.142,82.27,"JUN 13, 2022",240,41,88,0.466,9,40,0.225,13,15,0.867,4,35,39,23,9,2,6,28,104,107.66045548654245,2.0,2.0,47.0,0.4133333333333333,1610612738,107.66045548654245,96.59999999999998,97.62,98.64,1,0.21,0.22,0.22,21.33,18.0,19.14,3.51,5.39,7.52,19.08,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,Klay Thompson,202691,GSW @ BOS,1610612744,0,42100406,2022-06-16,W,41,12,2,5,5,20,0.25,2,8,0.25,0,0,,0,5,2,0,3,3,4,24.0,0.6,0.6,G,107.5,101.2,6.3,0.0,0.132,0.06,0.074,0.67,0.237,0.3,97.65,93.56,0.0,77.96,"JUN 16, 2022",240,38,92,0.413,19,46,0.413,8,8,1.0,15,29,44,27,13,7,15,20,103,107.83082077051928,8.0,8.0,41.0,0.425,1610612738,107.83082077051928,95.52,95.90000000000002,96.28000000000002,1,0.2,0.23,0.23,17.0,17.4,19.14,4.58,5.94,7.52,,19.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
766,Markieff Morris,202693,MIA vs. ATL,1610612748,1,42100105,2022-04-26,W,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,"APR 26, 2022",240,37,82,0.451,7,31,0.226,16,21,0.762,7,26,33,19,12,2,14,25,97,98.73778501628664,8.0,2.0,42.0,0.4189189189189189,1610612737,98.73778501628664,98.24,95.78000000000002,93.32,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,Markieff Morris,202693,MIA @ PHI,1610612748,0,42100204,2022-05-08,L,3,0,0,1,0,1,0.0,0,0,,0,0,,0,1,0,0,1,2,2,0.2,0.0,0.0,,87.5,71.4,16.1,0.0,0.25,0.111,0.0,0.0,0.2,0.0,105.23,103.85,-0.333,86.54,"MAY 08, 2022",240,38,82,0.463,7,35,0.2,25,28,0.893,5,28,33,24,9,5,13,26,108,105.5512118842846,5.0,2.0,32.0,0.5441176470588235,1610612755,105.5512118842846,102.32,98.64,94.96,0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
158,Nikola Vučević,202696,CHI @ MIL,1610612741,0,42100121,2022-04-17,L,39,24,3,17,9,27,0.333,2,10,0.2,4,5,0.8,8,9,1,2,3,3,-5,54.9,0.822,0.822,C,86.3,91.4,-5.1,0.148,0.214,0.177,0.214,1.0,0.337,0.411,98.95,100.02,0.157,83.35,"APR 17, 2022",240,31,96,0.323,7,37,0.189,17,19,0.895,16,37,53,17,10,3,11,22,86,86.55394524959742,4.0,6.0,58.0,0.4047619047619047,1610612749,86.55394524959742,99.36,101.74,104.12,1,0.34,0.34,0.34,24.0,24.0,24.0,,,,,24.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
310,Nikola Vučević,202696,CHI @ MIL,1610612741,0,42100122,2022-04-20,W,36,24,2,13,10,18,0.556,4,8,0.5,0,0,,3,10,1,0,2,5,13,43.6,1.333,1.333,C,116.3,101.3,15.0,0.094,0.263,0.186,0.074,1.0,0.23,0.667,103.49,104.6,0.14,87.16,"APR 20, 2022",240,44,89,0.494,12,25,0.48,14,15,0.933,6,37,43,25,7,5,12,20,114,112.2047244094488,4.0,6.0,44.0,0.4634146341463415,1610612749,112.2047244094488,101.59999999999998,101.62,101.64,1,0.28,0.28,0.28,24.0,24.0,24.0,0.0,0.0,0.0,,24.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
420,Nikola Vučević,202696,CHI vs. MIL,1610612741,1,42100123,2022-04-22,L,30,19,3,6,8,17,0.471,3,9,0.333,0,0,,0,6,0,1,0,0,-19,33.7,1.118,1.118,C,81.4,113.6,-32.2,0.0,0.207,0.094,0.273,0.0,0.279,0.559,92.84,93.31,0.17,77.76,"APR 22, 2022",240,33,84,0.393,9,34,0.265,6,10,0.6,5,38,43,22,5,2,13,15,81,84.02489626556016,8.0,6.0,55.0,0.4725274725274725,1610612749,84.02489626556016,96.40000000000002,96.78000000000002,97.16,1,0.28,0.28,0.28,22.33,22.33,22.33,2.89,2.89,2.89,19.0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
651,Nikola Vučević,202696,CHI vs. MIL,1610612741,1,42100124,2022-04-24,L,38,11,2,10,5,14,0.357,1,6,0.167,0,0,,1,9,0,1,0,1,-10,29.0,0.786,0.786,C,102.5,116.3,-13.8,0.022,0.237,0.12,0.08,0.0,0.157,0.393,103.21,100.78,0.077,83.99,"APR 24, 2022",240,35,90,0.389,9,36,0.25,16,17,0.941,8,36,44,27,5,3,11,18,95,94.54617834394904,6.0,4.0,51.0,0.5232558139534884,1610612749,94.54617834394904,100.48,101.7,102.92,1,0.22,0.25,0.25,18.0,19.5,19.5,6.56,6.14,6.14,15.0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
815,Nikola Vučević,202696,CHI @ MIL,1610612741,0,42100125,2022-04-27,L,37,19,6,16,8,15,0.533,3,9,0.333,0,0,,2,14,0,2,3,5,-18,50.2,1.267,1.267,C,92.7,114.6,-22.0,0.05,0.467,0.229,0.273,2.0,0.209,0.633,105.96,106.46,0.165,88.71,"APR 27, 2022",240,39,92,0.424,15,52,0.288,7,11,0.636,6,31,37,24,12,3,16,18,100,93.59790340696368,10.0,2.0,51.0,0.4942528735632184,1610612749,93.59790340696368,106.84,105.82,104.8,1,0.22,0.24,0.24,16.33,19.4,19.4,4.62,5.32,5.32,,22.33,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Tobias Harris,202699,PHI vs. TOR,1610612755,1,42100131,2022-04-16,W,37,26,6,6,9,14,0.643,3,5,0.6,5,6,0.833,1,5,1,1,1,2,17,47.2,1.562,1.562,F,145.6,118.8,26.7,0.029,0.172,0.094,0.25,6.0,0.225,0.781,90.96,88.71,0.176,73.92,"APR 16, 2022",240,43,84,0.512,16,32,0.5,29,34,0.853,10,29,39,29,6,4,3,18,131,142.4532405393649,1.0,8.0,35.0,0.4878048780487805,1610612761,142.4532405393649,91.96,92.54,93.12,1,0.22,0.22,0.22,26.0,26.0,26.0,,,,26.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,Tobias Harris,202699,PHI vs. TOR,1610612755,1,42100132,2022-04-18,W,39,20,1,10,7,11,0.636,3,3,1.0,3,4,0.75,1,9,0,3,2,3,23,40.5,1.567,1.567,F,120.8,88.9,31.9,0.034,0.191,0.132,0.048,0.5,0.188,0.784,90.32,88.69,0.184,73.91,"APR 18, 2022",240,36,69,0.522,14,30,0.467,26,30,0.867,7,34,41,20,5,12,14,18,112,125.56053811659191,7.0,4.0,35.0,0.4269662921348314,1610612761,125.56053811659191,89.2,89.74000000000001,90.28000000000002,1,0.21,0.21,0.21,23.0,23.0,23.0,4.24,4.24,4.24,23.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
298,Tobias Harris,202699,PHI @ TOR,1610612755,0,42100133,2022-04-20,W,47,11,2,12,4,9,0.444,1,3,0.333,2,2,1.0,2,10,1,1,3,1,7,31.4,1.113,1.113,F,109.8,97.6,12.1,0.059,0.217,0.15,0.067,0.67,0.138,0.557,86.67,85.76,0.118,71.47,"APR 20, 2022",265,38,74,0.514,13,31,0.419,15,20,0.75,9,37,46,18,5,3,22,21,104,108.55949895615866,9.0,4.0,32.0,0.4418604651162791,1610612761,108.55949895615866,95.8,95.36,94.92,1,0.18,0.18,0.18,19.0,19.0,19.0,7.55,7.55,7.55,,11.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
489,Tobias Harris,202699,PHI @ TOR,1610612755,0,42100134,2022-04-23,L,41,15,2,11,7,12,0.583,1,4,0.25,0,0,,0,11,1,2,3,5,-6,37.2,1.25,1.25,F,103.6,109.5,-5.9,0.0,0.234,0.129,0.091,0.67,0.169,0.625,99.7,98.2,0.119,81.83,"APR 23, 2022",240,34,80,0.425,13,31,0.419,21,25,0.84,6,35,41,24,4,5,15,26,102,102.0,9.0,6.0,46.0,0.4204545454545454,1610612761,102.0,100.0,100.7,101.40000000000002,1,0.16,0.18,0.18,15.33,18.0,18.0,4.51,6.48,6.48,,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
719,Tobias Harris,202699,PHI vs. TOR,1610612755,1,42100135,2022-04-25,L,44,16,4,7,6,16,0.375,2,7,0.286,2,2,1.0,0,7,0,0,1,2,-16,29.4,0.948,0.948,F,91.8,110.6,-18.8,0.0,0.194,0.085,0.19,4.0,0.191,0.474,94.28,92.41,0.089,77.01,"APR 25, 2022",240,31,81,0.383,10,37,0.27,16,20,0.8,8,29,37,21,7,1,15,17,88,90.90909090909092,8.0,6.0,40.0,0.5121951219512195,1610612761,90.90909090909092,96.8,94.76,92.71999999999998,1,0.17,0.18,0.18,14.0,17.6,17.6,2.65,5.68,5.68,20.67,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
876,Tobias Harris,202699,PHI @ TOR,1610612755,0,42100136,2022-04-28,W,38,19,2,11,7,15,0.467,3,8,0.375,2,2,1.0,1,10,1,0,0,4,29,38.2,1.196,1.196,F,148.6,106.8,41.8,0.04,0.263,0.175,0.065,0.0,0.2,0.598,93.68,92.23,0.123,76.86,"APR 28, 2022",240,47,81,0.58,16,40,0.4,22,23,0.957,10,37,47,32,4,4,11,22,132,143.2913590968302,6.0,1.0,37.0,0.3932584269662921,1610612761,143.2913590968302,92.12,93.06,94.0,1,0.19,0.18,0.19,16.67,16.2,17.83,2.08,3.56,5.12,,15.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
971,Tobias Harris,202699,PHI @ MIA,1610612755,0,42100201,2022-05-02,L,37,27,1,6,11,18,0.611,1,4,0.25,4,5,0.8,1,5,0,1,3,1,-25,35.7,1.337,1.337,F,93.0,128.2,-35.2,0.027,0.135,0.081,0.071,0.33,0.284,0.668,93.52,92.58,0.168,77.15,"MAY 02, 2022",240,34,79,0.43,6,34,0.176,18,20,0.9,9,28,37,18,4,6,14,17,92,99.13793103448276,5.0,2.0,47.0,0.4347826086956521,1610612748,99.13793103448276,92.8,94.36,95.92,1,0.22,0.2,0.2,20.67,17.6,19.14,5.69,5.98,5.81,,18.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
