,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ID,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,OFF_RATING,DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,PACE_PER40,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,STARTING,USG_PCT_LAST_3,USG_PCT_LAST_5,USG_PCT_LAST_7,PTS_LAST_3,PTS_LAST_5,PTS_LAST_7,STD_PTS_LAST_3,STD_PTS_LAST_5,STD_PTS_LAST_7,PLAYER_HOME_AVG_PTS,PLAYER_AWAY_AVG_PTS,GUARD,FORWARD,CENTER,TEAM_BOS,TEAM_CLE,TEAM_DAL,TEAM_DEN,TEAM_IND,TEAM_LAC,TEAM_LAL,TEAM_MIA,TEAM_MIL,TEAM_MIN,TEAM_NOP,TEAM_NYK,TEAM_OKC,TEAM_ORL,TEAM_PHI,TEAM_PHX,OPP_BOS,OPP_CLE,OPP_DAL,OPP_DEN,OPP_IND,OPP_LAC,OPP_LAL,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHX
786,Kyle Lowry,200768,PHI vs. NYK,1610612755,1,42300116,2024-05-02,L,13,0,3,2,0,2,0.0,0,2,0.0,0,0,,0,2,0,1,1,2,-9,8.9,0.0,0.0,G,112.0,154.2,-42.2,0.0,0.167,0.077,0.3,3.0,0.097,0.0,97.04,91.93,0.008,76.61,"MAY 02, 2024",240.0,38.0,87.0,0.437,17.0,40.0,0.425,22.0,23.0,0.957,16.0,30.0,46.0,20.0,6.0,5.0,11.0,22.0,115.0,124.83716891011724,6.0,8.0,48.0,0.4623655913978494,1610612752,124.83716891011724,92.12,92.34,92.56,1,0.09,0.1,0.11,2.33,4.8,7.0,4.04,4.44,6.69,5.33,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
768,P.J. Tucker,200782,LAC vs. DAL,1610612746,1,42300175,2024-05-01,L,10,3,0,1,1,1,1.0,1,1,1.0,0,0,,1,0,0,0,0,1,-10,4.2,3.0,3.0,,100.0,134.8,-34.8,0.077,0.0,0.05,0.0,0.0,0.038,1.5,104.43,101.21,0.062,84.35,"MAY 01, 2024",240.0,33.0,87.0,0.379,9.0,35.0,0.257,18.0,21.0,0.857,14.0,31.0,45.0,18.0,4.0,0.0,13.0,19.0,93.0,97.64804703905922,5.0,6.0,40.0,0.5402298850574713,1610612742,97.64804703905922,95.24,95.02,94.8,0,0.04,0.04,0.04,3.0,3.0,3.0,,,,3.0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
836,P.J. Tucker,200782,LAC @ DAL,1610612746,0,42300176,2024-05-03,L,20,8,0,2,3,5,0.6,2,3,0.667,0,0,,2,0,0,0,3,5,-14,7.4,1.6,1.6,F,108.6,152.9,-44.4,0.1,0.0,0.05,0.0,0.0,0.182,0.8,82.62,82.05,-0.014,68.37,"MAY 03, 2024",240.0,34.0,82.0,0.415,8.0,31.0,0.258,25.0,32.0,0.781,16.0,29.0,45.0,23.0,4.0,2.0,9.0,26.0,101.0,113.38123035473733,6.0,4.0,45.0,0.4819277108433735,1610612742,113.38123035473733,89.08,88.8,88.52,1,0.11,0.11,0.11,5.5,5.5,5.5,3.54,3.54,3.54,,8.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Kevin Durant,201142,PHX @ MIN,1610612756,0,42300161,2024-04-20,L,39,31,1,7,11,17,0.647,2,2,1.0,7,9,0.778,0,7,1,1,5,1,-20,41.9,1.479,1.479,F,101.3,125.3,-24.0,0.0,0.179,0.092,0.067,0.2,0.31,0.74,99.66,97.36,0.172,81.13,"APR 20, 2024",240.0,33.0,75.0,0.44,9.0,28.0,0.321,20.0,25.0,0.8,3.0,25.0,28.0,16.0,9.0,6.0,15.0,19.0,95.0,96.93877551020408,8.0,2.0,52.0,0.5,1610612750,96.93877551020408,98.0,98.34,98.68,1,0.31,0.31,0.31,31.0,31.0,31.0,,,,,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
272,Kevin Durant,201142,PHX @ MIN,1610612756,0,42300162,2024-04-23,L,41,18,2,6,6,15,0.4,0,2,0.0,6,7,0.857,0,6,1,1,2,3,-24,32.2,0.996,0.996,F,97.4,126.6,-29.1,0.0,0.162,0.083,0.083,1.0,0.233,0.498,94.18,91.68,0.081,76.4,"APR 23, 2024",240.0,35.0,78.0,0.449,8.0,22.0,0.364,15.0,19.0,0.789,11.0,30.0,41.0,19.0,7.0,1.0,19.0,22.0,93.0,98.55871131835524,11.0,2.0,39.0,0.4487179487179487,1610612750,98.55871131835524,94.36,94.28000000000002,94.2,1,0.27,0.27,0.27,24.5,24.5,24.5,9.19,9.19,9.19,,24.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
439,Kevin Durant,201142,PHX vs. MIN,1610612756,1,42300163,2024-04-26,L,42,25,5,4,8,18,0.444,1,5,0.2,8,9,0.889,0,4,0,0,2,2,-20,35.3,1.138,1.138,F,112.9,130.3,-17.4,0.0,0.105,0.053,0.208,2.5,0.27,0.569,98.78,99.17,0.104,82.64,"APR 26, 2024",240.0,35.0,76.0,0.461,11.0,28.0,0.393,28.0,32.0,0.875,5.0,23.0,28.0,24.0,8.0,3.0,9.0,26.0,109.0,115.85884353741496,5.0,1.0,50.0,0.4942528735632184,1610612750,115.85884353741496,94.08,96.36,98.64,1,0.27,0.27,0.27,24.67,24.67,24.67,6.51,6.51,6.51,25.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
541,Kevin Durant,201142,PHX vs. MIN,1610612756,1,42300164,2024-04-28,L,46,33,5,9,12,17,0.706,2,3,0.667,7,9,0.778,1,8,0,4,1,2,-7,62.3,1.574,1.574,F,128.1,134.4,-6.4,0.027,0.167,0.106,0.192,5.0,0.22,0.787,95.74,92.78,0.2,77.32,"APR 28, 2024",240.0,38.0,74.0,0.514,10.0,26.0,0.385,30.0,36.0,0.833,10.0,23.0,33.0,20.0,6.0,7.0,11.0,26.0,116.0,127.69704975781592,6.0,6.0,44.0,0.4606741573033708,1610612750,127.69704975781592,90.84,92.74,94.64,1,0.24,0.26,0.26,25.33,26.75,26.75,7.51,6.75,6.75,29.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101,Al Horford,201143,BOS vs. MIA,1610612738,1,42300101,2024-04-21,W,26,10,0,7,4,8,0.5,2,5,0.4,0,0,,2,5,0,0,0,0,2,18.4,1.25,1.25,,122.4,123.4,-1.0,0.083,0.278,0.167,0.0,0.0,0.143,0.625,90.2,89.71,0.099,74.76,"APR 21, 2024",240.0,39.0,82.0,0.476,22.0,49.0,0.449,14.0,16.0,0.875,10.0,34.0,44.0,27.0,6.0,6.0,10.0,10.0,114.0,128.03234501347708,4.0,1.0,34.0,0.4691358024691358,1610612748,128.03234501347708,89.04,88.33999999999999,87.64,0,0.14,0.14,0.14,10.0,10.0,10.0,,,,10.0,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
306,Al Horford,201143,BOS vs. MIA,1610612738,1,42300102,2024-04-24,L,23,6,3,8,2,3,0.667,1,1,1.0,1,2,0.5,1,7,1,1,1,0,8,25.1,1.546,1.546,,114.3,98.0,16.3,0.045,0.318,0.182,0.158,3.0,0.096,0.773,97.77,100.23,0.147,83.52,"APR 24, 2024",240.0,37.0,80.0,0.463,12.0,32.0,0.375,15.0,21.0,0.714,6.0,33.0,39.0,21.0,9.0,8.0,12.0,17.0,101.0,106.04787904241914,9.0,1.0,40.0,0.4933333333333333,1610612748,106.04787904241914,95.24,93.08,90.92,0,0.12,0.12,0.12,8.0,8.0,8.0,2.83,2.83,2.83,8.0,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
509,Al Horford,201143,BOS @ MIA,1610612738,0,42300103,2024-04-27,W,22,9,1,6,4,7,0.571,1,4,0.25,0,0,,2,4,0,0,0,0,15,17.7,1.286,1.286,,115.0,77.5,37.5,0.091,0.182,0.136,0.083,0.0,0.156,0.643,87.48,86.36,0.209,71.96,"APR 27, 2024",240.0,39.0,82.0,0.476,11.0,37.0,0.297,15.0,21.0,0.714,10.0,33.0,43.0,22.0,4.0,6.0,5.0,16.0,104.0,120.59369202226348,2.0,2.0,36.0,0.4155844155844156,1610612748,120.59369202226348,86.24,86.19999999999999,86.16000000000001,0,0.13,0.13,0.13,8.33,8.33,8.33,2.08,2.08,2.08,,9.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
