,Unnamed: 0,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,STARTING,MIN_ROLL_AVG_2,AST_ROLL_AVG_2,AST_STD_AVG_2,TOV_ROLL_AVG_2,AST_TOV_ROLL_AVG_2,USG_PCT_ROLL_AVG_2,AST_PCT_ROLL_AVG_2,PACE_ROLL_AVG_2,POSS_ROLL_AVG_2,OFF_RATING_ROLL_AVG_2,MIN_ROLL_AVG_4,AST_ROLL_AVG_4,AST_STD_AVG_4,TOV_ROLL_AVG_4,AST_TOV_ROLL_AVG_4,USG_PCT_ROLL_AVG_4,AST_PCT_ROLL_AVG_4,PACE_ROLL_AVG_4,POSS_ROLL_AVG_4,OFF_RATING_ROLL_AVG_4,MIN_ROLL_AVG_6,AST_ROLL_AVG_6,AST_STD_AVG_6,TOV_ROLL_AVG_6,AST_TOV_ROLL_AVG_6,USG_PCT_ROLL_AVG_6,AST_PCT_ROLL_AVG_6,PACE_ROLL_AVG_6,POSS_ROLL_AVG_6,OFF_RATING_ROLL_AVG_6,PLAYER_HOME_AVG_AST,PLAYER_AWAY_AVG_AST,DAYS_OF_REST,DAYS_AGO,AST_LAG_1,AST_LAG_2,AST_LAG_3,AST_LAG_4,OPP_ROLL_OPP_DEF_RATING_5,OPP_ROLL_OPP_STL_5,OPP_ROLL_OPP_BLK_5,NORMALIZED_DEF_RATING,OPP_DEF_STRENGTH,DEF_CATEGORY,AST_VS_DEF,AST_PCT_VS_DEF,AST_TOV_VS_DEF,USG_PCT_VS_DEF,PACE_VS_DEF,POSS_VS_DEF,OFF_RATING_VS_DEF,GUARD,FORWARD,CENTER
16,16,Brook Lopez,201572,MIL vs. MIA,MIL,1610612749,MIA,1,42000121,2021-05-22,W,36,18,0,8,5,10,0.5,1,4,0.25,7,8,0.875,3,5,1,0,1,5,6,29.6,1.331,0.55,C,,98.7,98.9,92.1,90.7,6.6,0.075,0.111,0.094,0.0,0.55,0.0,0.17,0.666,102.36,101.67,0.126,77,84.73,0.173,"MAY 22, 2021",265,42,96,0.438,5,31,0.161,20,33,0.606,15,49,64,19,11,1,17,18,109,96.87166725915392,8.0,3.0,51.0,0.3636363636363636,1610612748.0,96.87166725915392,112.52,112.44,112.36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1493,,,,,96.87,8.0,3.0,1.2523905269895552,1.0412032262028699,1,-1.0,-1.0,-1.0,0.063,0.016,0.33,0.056,0,0,1
34,34,Enes Freedom,202683,POR @ DEN,POR,1610612757,DEN,0,42000161,2021-05-22,W,15,2,0,4,1,2,0.5,0,0,,0,0,,3,1,0,0,2,2,2,4.8,1.0,0.5,,,146.4,142.6,134.5,130.0,11.9,0.231,0.091,0.167,0.0,0.5,0.0,0.121,0.5,93.7,90.9,-0.007,28,75.75,0.122,"MAY 22, 2021",240,43,91,0.473,19,40,0.475,18,19,0.947,10,29,39,29,3,2,6,14,123,128.98489932885906,3.0,7.0,48.0,0.5053763440860215,1610612743.0,128.98489932885906,95.36,94.44,93.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1493,,,,,128.98,3.0,7.0,-1.359294431640783,0.2238058681950982,0,,,,1.017,-0.034,0.556,0.45,0,0,1
51,51,Tyler Herro,1629639,MIA @ MIL,MIA,1610612748,MIL,0,42000121,2021-05-22,L,19,10,3,2,2,10,0.2,2,5,0.4,4,4,1.0,0,2,0,1,1,0,1,18.9,0.85,0.3,,,100.0,100.1,94.9,93.6,5.1,0.0,0.1,0.041,0.3,0.3,3.0,0.271,0.425,97.02,96.42,0.108,38,80.35,0.277,"MAY 22, 2021",265,36,99,0.364,20,50,0.4,15,19,0.789,12,39,51,22,8,3,17,23,107,95.22961908152368,11.0,1.0,64.0,0.4375,1610612749.0,95.22961908152368,112.36,112.44,112.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1493,,,,,95.23,11.0,1.0,1.3857808518775576,1.083929903208534,1,0.714,1.143,1.0,0.355,-0.051,-0.232,0.002,1,0,0
69,69,Dewayne Dedmon,203473,MIA @ MIL,MIA,1610612748,MIL,0,42000121,2021-05-22,L,12,2,0,2,1,2,0.5,0,0,,0,1,0.0,1,1,0,0,0,2,-7,4.4,0.82,0.5,,,100.0,94.8,116.0,115.1,-16.0,0.053,0.083,0.065,0.0,0.5,0.0,0.069,0.41,93.68,90.97,-0.012,22,75.81,0.068,"MAY 22, 2021",265,36,99,0.364,20,50,0.4,15,19,0.789,12,39,51,22,8,3,17,23,107,95.22961908152368,11.0,1.0,64.0,0.4375,1610612749.0,95.22961908152368,112.36,112.44,112.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1493,,,,,95.23,11.0,1.0,1.3857808518775576,1.083929903208534,1,-1.0,-1.0,-1.0,-0.594,-0.085,-0.228,-0.025,0,0,1
9,9,Damian Lillard,203081,POR @ DEN,POR,1610612757,DEN,0,42000161,2021-05-22,W,40,34,13,2,10,25,0.4,5,12,0.417,9,9,1.0,0,2,0,0,2,2,25,53.9,1.174,0.5,G,,142.9,136.9,109.0,111.1,33.9,0.0,0.049,0.025,0.464,0.5,6.5,0.365,0.587,94.4,93.27,0.157,77,77.73,0.355,"MAY 22, 2021",240,43,91,0.473,19,40,0.475,18,19,0.947,10,29,39,29,3,2,6,14,123,128.98489932885906,3.0,7.0,48.0,0.5053763440860215,1610612743.0,128.98489932885906,95.36,94.44,93.52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,1493,,,,,128.98,3.0,7.0,-1.359294431640783,0.2238058681950982,0,0.278,0.19,0.042,0.217,-0.033,-0.07,0.124,1,0,0
47,47,Payton Pritchard,1630202,BOS @ BKN,BOS,1610612738,BKN,0,42000111,2021-05-22,L,7,0,1,0,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,1,0,1.5,0.0,0.0,,,130.8,134.5,121.4,133.2,9.3,0.0,0.0,0.0,0.2,0.0,0.0,0.067,0.0,91.67,97.44,-0.026,13,81.2,0.073,"MAY 22, 2021",240,31,84,0.369,11,30,0.367,20,26,0.769,11,29,40,19,6,12,12,18,93,96.43301534632931,7.0,7.0,50.0,0.4166666666666667,1610612751.0,96.43301534632931,96.44,95.1,93.76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1493,,,,,96.43,7.0,7.0,1.2881781751302386,1.305059799605443,1,-0.667,-0.355,-1.0,-0.485,-0.001,-0.587,0.176,1,0,0
55,55,Maxi Kleber,1628467,DAL @ LAC,DAL,1610612742,LAC,0,42000171,2021-05-22,W,36,6,4,9,1,3,0.333,1,2,0.5,3,4,0.75,3,6,0,0,0,4,9,22.8,1.261,0.5,C,,135.8,133.1,118.8,123.6,17.0,0.107,0.171,0.143,0.129,0.5,0.0,0.068,0.63,89.76,90.62,0.065,67,75.51,0.068,"MAY 22, 2021",240,38,76,0.5,17,36,0.472,20,26,0.769,10,32,42,22,2,3,12,21,113,126.3416815742397,7.0,7.0,39.0,0.4404761904761904,1610612746.0,126.3416815742397,89.44,88.0,86.56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1493,,,,,126.34,7.0,7.0,-1.1445685427966825,0.4941442269631358,0,1.0,0.843,-1.0,-0.244,-0.034,0.218,0.186,0,1,0
52,52,Robert Covington,203496,POR @ DEN,POR,1610612757,DEN,0,42000161,2021-05-22,W,34,8,1,5,3,5,0.6,2,4,0.5,0,0,,1,4,0,1,1,1,21,17.5,1.6,0.8,F,,142.4,136.4,107.4,109.7,35.1,0.029,0.105,0.068,0.034,0.8,1.0,0.081,0.8,95.14,94.13,0.062,66,78.44,0.079,"MAY 22, 2021",240,43,91,0.473,19,40,0.475,18,19,0.947,10,29,39,29,3,2,6,14,123,128.98489932885906,3.0,7.0,48.0,0.5053763440860215,1610612743.0,128.98489932885906,95.36,94.44,93.52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1493,,,,,128.98,3.0,7.0,-1.359294431640783,0.2238058681950982,0,-0.167,-0.15,0.0,-0.19,-0.015,-0.127,0.11,0,1,0
49,49,Markus Howard,1630210,DEN vs. POR,DEN,1610612743,POR,1,42000161,2021-05-22,L,20,7,0,2,3,5,0.6,1,3,0.333,0,0,,0,2,0,0,0,0,-4,9.4,1.4,0.7,,,137.8,134.6,152.8,146.1,-14.9,0.0,0.125,0.069,0.0,0.7,0.0,0.125,0.7,90.78,87.75,0.067,37,73.12,0.129,"MAY 22, 2021",240,47,93,0.505,11,36,0.306,4,8,0.5,11,37,48,22,3,7,8,18,109,116.55260906757914,3.0,2.0,39.0,0.4725274725274725,1610612757.0,116.55260906757914,93.52,94.44,95.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1493,,,,,116.55,3.0,2.0,-0.34829337166647273,0.18378356779818547,0,-1.0,-1.0,,0.786,-0.09,0.51,0.081,1,0,0
14,14,Tristan Thompson,202684,BOS @ BKN,BOS,1610612738,BKN,0,42000111,2021-05-22,L,25,4,2,10,2,4,0.5,0,0,,0,1,0.0,5,5,2,1,1,0,-16,27.0,0.901,0.5,C,,95.9,92.2,131.3,129.0,-35.3,0.167,0.313,0.217,0.133,0.5,2.0,0.085,0.45,96.45,93.74,0.121,49,78.12,0.088,"MAY 22, 2021",240,31,84,0.369,11,30,0.367,20,26,0.769,11,29,40,19,6,12,12,18,93,96.43301534632931,7.0,7.0,50.0,0.4166666666666667,1610612751.0,96.43301534632931,96.44,95.1,93.76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1493,,,,,96.43,7.0,7.0,1.2881781751302386,1.305059799605443,1,1.0,1.217,3.0,-0.292,-0.036,-0.049,-0.103,0,1,1
