Game,Tipoff,Season,Score,Over_Under,Home_Line
PHI @ BOS,Oct 18 7:30 PM,2022,117-126,216.5,-3.0
LAL @ GSW,Oct 18 10:00 PM,2022,109-123,223.5,-7.5
ORL @ DET,Oct 19 7:00 PM,2022,109-113,216.0,-4.0
WAS @ IND,Oct 19 7:00 PM,2022,114-107,229.0,2.5
HOU @ ATL,Oct 19 7:30 PM,2022,107-117,235.0,-10.5
NOP @ BKN,Oct 19 7:30 PM,2022,130-108,232.0,-3.0
NYK @ MEM,Oct 19 7:30 PM,2022,112-115,227.0,-4.5
CHI @ MIA,Oct 19 7:30 PM,2022,116-108,216.0,-7.5
CLE @ TOR,Oct 19 7:30 PM,2022,105-108,216.0,-2.5
OKC @ MIN,Oct 19 8:00 PM,2022,108-115,226.0,-11.0
CHA @ SAS,Oct 19 8:00 PM,2022,129-102,221.5,1.0
DEN @ UTA,Oct 19 9:00 PM,2022,102-123,225.5,7.0
DAL @ PHX,Oct 19 10:00 PM,2022,105-107,218.0,-4.0
POR @ SAC,Oct 19 10:00 PM,2022,115-108,230.0,-3.5
MIL @ PHI,Oct 20 7:30 PM,2022,90-88,224.5,-4.0
LAC @ LAL,Oct 20 10:00 PM,2022,103-97,227.0,5.0
NOP @ CHA,Oct 21 7:00 PM,2022,124-112,226.0,7.0
SAS @ IND,Oct 21 7:00 PM,2022,137-134,232.5,-1.5
CHI @ WAS,Oct 21 7:00 PM,2022,100-102,221.0,1.0
ORL @ ATL,Oct 21 7:30 PM,2022,98-108,225.5,-9.0
TOR @ BKN,Oct 21 7:30 PM,2022,105-109,226.5,-2.5
BOS @ MIA,Oct 21 7:30 PM,2022,111-104,221.0,2.0
DET @ NYK,Oct 21 7:30 PM,2022,106-130,221.0,-7.0
MEM @ HOU,Oct 21 8:00 PM,2022,129-122,230.5,7.0
UTA @ MIN,Oct 21 8:00 PM,2022,132-126,227.0,-8.0
DEN @ GSW,Oct 21 10:00 PM,2022,128-123,229.5,-5.5
PHX @ POR,Oct 21 10:00 PM,2022,111-113,224.0,5.0
SAS @ PHI,Oct 22 6:00 PM,2022,114-105,224.5,-13.5
DET @ IND,Oct 22 7:00 PM,2022,115-124,232.0,1.0
BOS @ ORL,Oct 22 7:00 PM,2022,126-120,215.5,8.5
CLE @ CHI,Oct 22 8:00 PM,2022,128-96,221.0,1.5
TOR @ MIA,Oct 22 8:00 PM,2022,109-112,216.5,-3.5
HOU @ MIL,Oct 22 8:00 PM,2022,105-125,227.5,-13.5
MEM @ DAL,Oct 22 8:30 PM,2022,96-137,220.0,-5.5
OKC @ DEN,Oct 22 9:00 PM,2022,117-122,227.0,-9.0
LAC @ SAC,Oct 22 10:00 PM,2022,111-109,225.5,2.5
POR @ LAL,Oct 23 3:30 PM,2022,106-104,226.5,-4.0
CHA @ ATL,Oct 23 5:00 PM,2022,126-109,227.5,-10.0
WAS @ CLE,Oct 23 7:00 PM,2022,107-117,216.5,-4.0
UTA @ NOP,Oct 23 7:00 PM,2022,122-121,231.5,-8.0
MIN @ OKC,Oct 23 8:00 PM,2022,116-106,225.5,9.5
SAC @ GSW,Oct 23 8:30 PM,2022,125-130,232.5,-10.0
PHX @ LAC,Oct 23 10:00 PM,2022,112-95,219.0,1.5
IND @ PHI,Oct 24 7:00 PM,2022,106-120,228.5,-12.5
TOR @ MIA,Oct 24 7:30 PM,2022,98-90,214.0,-3.5
ORL @ NYK,Oct 24 7:30 PM,2022,102-115,223.0,-7.5
BOS @ CHI,Oct 24 8:00 PM,2022,102-120,226.0,5.5
UTA @ HOU,Oct 24 8:00 PM,2022,108-114,233.5,2.5
BKN @ MEM,Oct 24 8:00 PM,2022,124-134,235.5,-1.5
SAS @ MIN,Oct 24 8:00 PM,2022,115-106,234.5,-8.5
DEN @ POR,Oct 24 10:00 PM,2022,110-135,227.5,5.0
DET @ WAS,Oct 25 7:00 PM,2022,99-120,221.0,-5.5
DAL @ NOP,Oct 25 7:30 PM,2022,111-113,218.0,5.0
LAC @ OKC,Oct 25 8:00 PM,2022,94-108,217.5,5.5
GSW @ PHX,Oct 25 10:00 PM,2022,105-134,227.5,-1.5
ORL @ CLE,Oct 26 7:00 PM,2022,92-103,215.5,-9.0
ATL @ DET,Oct 26 7:00 PM,2022,118-113,229.0,7.5
BKN @ MIL,Oct 26 7:30 PM,2022,99-110,230.0,-3.0
CHA @ NYK,Oct 26 7:30 PM,2022,131-134,224.5,-7.5
PHI @ TOR,Oct 26 7:30 PM,2022,109-119,211.5,-1.0
IND @ CHI,Oct 26 8:00 PM,2022,109-124,233.5,-7.0
SAS @ MIN,Oct 26 8:00 PM,2022,122-134,235.0,-9.5
HOU @ UTA,Oct 26 9:00 PM,2022,101-109,232.5,-8.5
LAL @ DEN,Oct 26 10:00 PM,2022,99-110,230.5,-5.0
MIA @ POR,Oct 26 10:00 PM,2022,119-98,220.5,2.5
DAL @ BKN,Oct 27 7:30 PM,2022,129-125,225.5,2.5
LAC @ OKC,Oct 27 8:00 PM,2022,110-118,218.5,7.0
MIA @ GSW,Oct 27 10:00 PM,2022,110-123,227.5,-5.5
MEM @ SAC,Oct 27 10:00 PM,2022,125-110,236.5,2.5
ATL @ DET,Oct 28 7:00 PM,2022,136-112,229.5,6.0
CHA @ ORL,Oct 28 7:00 PM,2022,93-113,220.5,1.5
CLE @ BOS,Oct 28 7:30 PM,2022,132-123,218.5,-7.0
PHI @ TOR,Oct 28 7:30 PM,2022,112-90,214.5,1.0
IND @ WAS,Oct 28 7:30 PM,2022,127-117,228.5,-4.5
