Game,Tipoff,Season,Score,Over_Under,Home_Line
SAS @ MIL,Oct 30 8:00 PM,2021,102-93,223.5,-7.0
OKC @ GSW,Oct 30 8:30 PM,2021,82-103,217.0,-12.5
DEN @ MIN,Oct 30 9:00 PM,2021,93-91,219.5,-1.5
CLE @ PHX,Oct 30 10:00 PM,2021,92-101,216.0,-10.0
SAC @ DAL,Oct 31 3:30 PM,2021,99-105,218.5,-4.5
POR @ CHA,Oct 31 7:00 PM,2021,113-125,231.0,2.0
UTA @ MIL,Oct 31 7:00 PM,2021,107-95,222.0,4.5
DET @ BKN,Oct 31 7:30 PM,2021,91-117,211.0,-12.0
HOU @ LAL,Oct 31 10:30 PM,2021,85-95,224.5,-11.0
CLE @ CHA,Nov 1 7:00 PM,2021,113-110,220.0,-5.0
SAS @ IND,Nov 1 7:00 PM,2021,118-131,215.5,-2.5
POR @ PHI,Nov 1 7:00 PM,2021,103-113,221.5,2.0
WAS @ ATL,Nov 1 7:30 PM,2021,111-118,222.0,-5.5
CHI @ BOS,Nov 1 7:30 PM,2021,128-114,215.5,-3.0
TOR @ NYK,Nov 1 7:30 PM,2021,113-104,209.0,-7.5
DEN @ MEM,Nov 1 8:00 PM,2021,97-106,215.5,1.0
ORL @ MIN,Nov 1 8:00 PM,2021,115-97,217.0,-8.5
OKC @ LAC,Nov 1 10:30 PM,2021,94-99,210.0,-12.5
MIL @ DET,Nov 2 7:00 PM,2021,117-89,212.0,4.5
MIA @ DAL,Nov 2 7:30 PM,2021,125-110,209.5,2.5
SAC @ UTA,Nov 2 9:00 PM,2021,113-119,223.0,-9.5
NOP @ PHX,Nov 2 10:00 PM,2021,100-112,215.0,-10.0
HOU @ LAL,Nov 2 10:30 PM,2021,117-119,219.5,-10.5
POR @ CLE,Nov 3 7:00 PM,2021,104-107,217.0,5.5
NYK @ IND,Nov 3 7:00 PM,2021,98-111,216.0,-1.0
BOS @ ORL,Nov 3 7:00 PM,2021,92-79,212.5,7.0
CHI @ PHI,Nov 3 7:00 PM,2021,98-103,215.5,-2.5
TOR @ WAS,Nov 3 7:00 PM,2021,109-100,212.0,-3.5
ATL @ BKN,Nov 3 7:30 PM,2021,108-117,221.0,-4.5
DEN @ MEM,Nov 3 8:00 PM,2021,106-108,215.5,1.0
LAC @ MIN,Nov 3 8:00 PM,2021,126-115,212.5,2.5
DAL @ SAS,Nov 3 8:30 PM,2021,109-108,217.0,2.0
CHA @ GSW,Nov 3 10:00 PM,2021,92-114,226.5,-6.0
NOP @ SAC,Nov 3 10:00 PM,2021,99-112,219.0,-6.0
PHI @ DET,Nov 4 7:00 PM,2021,109-98,207.0,4.5
UTA @ ATL,Nov 4 7:30 PM,2021,116-98,218.5,1.5
BOS @ MIA,Nov 4 7:30 PM,2021,95-78,213.5,-6.5
HOU @ PHX,Nov 4 10:00 PM,2021,111-123,220.5,-11.5
OKC @ LAL,Nov 4 10:30 PM,2021,107-104,214.0,-10.5
BKN @ DET,Nov 5 7:00 PM,2021,96-90,210.5,9.5
SAS @ ORL,Nov 5 7:00 PM,2021,102-89,213.0,4.0
MEM @ WAS,Nov 5 7:00 PM,2021,87-115,220.5,-2.5
NYK @ MIL,Nov 5 7:30 PM,2021,113-98,217.0,-3.5
CLE @ TOR,Nov 5 7:30 PM,2021,102-101,204.0,-6.0
