Game,Tipoff,Season,Score,Over_Under,Home_Line
LAL @ DEN,Oct 24 7:30 PM,2023,107-119,229.0,-4.5
PHX @ GSW,Oct 24 10:00 PM,2023,108-104,235.0,-2.5
ATL @ CHA,Oct 25 7:00 PM,2023,110-116,236.0,4.0
WAS @ IND,Oct 25 7:00 PM,2023,120-143,235.5,-4.5
BOS @ NYK,Oct 25 7:00 PM,2023,108-104,223.0,4.0
HOU @ ORL,Oct 25 7:00 PM,2023,86-116,220.0,-4.5
CLE @ BKN,Oct 25 7:30 PM,2023,114-113,219.0,2.0
DET @ MIA,Oct 25 7:30 PM,2023,102-103,218.5,-9.5
MIN @ TOR,Oct 25 7:30 PM,2023,94-97,221.5,-1.0
OKC @ CHI,Oct 25 8:00 PM,2023,124-104,224.0,-2.5
NOP @ MEM,Oct 25 8:00 PM,2023,111-104,224.5,-1.0
SAC @ UTA,Oct 25 9:00 PM,2023,130-114,233.5,1.5
DAL @ SAS,Oct 25 9:30 PM,2023,126-119,231.5,4.5
POR @ LAC,Oct 25 10:30 PM,2023,111-123,225.0,-9.5
PHI @ MIL,Oct 26 7:30 PM,2023,117-118,228.0,-6.0
PHX @ LAL,Oct 26 10:00 PM,2023,95-100,227.0,-6.5
DET @ CHA,Oct 27 7:00 PM,2023,111-99,227.0,-4.5
DEN @ MEM,Oct 27 7:00 PM,2023,108-104,221.5,6.0
NYK @ ATL,Oct 27 7:30 PM,2023,126-120,229.5,1.0
MIA @ BOS,Oct 27 7:30 PM,2023,111-119,218.0,-8.5
OKC @ CLE,Oct 27 7:30 PM,2023,108-105,226.0,-2.5
TOR @ CHI,Oct 27 8:00 PM,2023,103-104,216.5,-2.5
HOU @ SAS,Oct 27 8:00 PM,2023,122-126,224.5,-3.0
BKN @ DAL,Oct 27 8:30 PM,2023,120-125,230.0,-6.0
LAC @ UTA,Oct 27 9:30 PM,2023,118-120,227.5,4.0
ORL @ POR,Oct 27 10:00 PM,2023,102-97,220.5,4.5
GSW @ SAC,Oct 27 10:00 PM,2023,122-114,237.0,-3.5
CHI @ DET,Oct 28 7:00 PM,2023,102-118,213.5,2.5
NYK @ NOP,Oct 28 7:00 PM,2023,87-96,223.5,-3.0
MEM @ WAS,Oct 28 7:00 PM,2023,106-113,229.5,0.0
IND @ CLE,Oct 28 7:30 PM,2023,125-113,220.5,3.5
PHI @ TOR,Oct 28 7:30 PM,2023,114-107,214.0,5.0
MIA @ MIN,Oct 28 8:00 PM,2023,90-106,215.0,-8.0
UTA @ PHX,Oct 28 10:00 PM,2023,104-126,223.0,-5.5
DEN @ OKC,Oct 29 3:30 PM,2023,128-95,229.5,3.5
GSW @ HOU,Oct 29 7:00 PM,2023,106-95,223.0,7.0
ATL @ MIL,Oct 29 7:00 PM,2023,127-110,239.5,-6.0
POR @ PHI,Oct 29 7:30 PM,2023,98-126,216.5,-9.5
SAS @ LAC,Oct 29 9:00 PM,2023,83-123,229.5,-9.5
LAL @ SAC,Oct 29 9:00 PM,2023,127-132,236.0,-2.5
BKN @ CHA,Oct 30 7:00 PM,2023,133-121,227.5,1.5
CHI @ IND,Oct 30 7:00 PM,2023,112-105,230.0,-3.5
BOS @ WAS,Oct 30 7:00 PM,2023,126-107,232.0,10.5
MIN @ ATL,Oct 30 7:30 PM,2023,113-127,227.5,2.0
POR @ TOR,Oct 30 7:30 PM,2023,99-91,216.5,-10.0
DAL @ MEM,Oct 30 8:00 PM,2023,125-110,223.0,1.0
MIA @ MIL,Oct 30 8:00 PM,2023,114-122,225.5,-7.5
GSW @ NOP,Oct 30 8:00 PM,2023,130-102,220.5,-2.5
DET @ OKC,Oct 30 8:00 PM,2023,112-124,224.5,-6.5
UTA @ DEN,Oct 30 9:00 PM,2023,102-110,225.5,-8.5
ORL @ LAL,Oct 30 10:30 PM,2023,103-106,220.0,-4.0
NYK @ CLE,Oct 31 7:30 PM,2023,109-91,213.5,2.0
SAS @ PHX,Oct 31 10:00 PM,2023,115-114,225.5,-7.0
ORL @ LAC,Oct 31 10:30 PM,2023,102-118,220.0,-6.5
POR @ DET,Nov 1 7:00 PM,2023,110-101,216.0,-3.5
MIL @ TOR,Nov 1 7:00 PM,2023,111-130,223.5,4.0
WAS @ ATL,Nov 1 7:30 PM,2023,121-130,240.5,-9.5
IND @ BOS,Nov 1 7:30 PM,2023,104-155,233.5,-13.0
BKN @ MIA,Nov 1 7:30 PM,2023,109-105,223.0,-7.0
CLE @ NYK,Nov 1 7:30 PM,2023,95-89,210.5,-5.5
