NAME,LINE,L-5,L-10,L-15,OVER%,UNDER%,IMPLIED_ODDS
Scottie Barnes,1.5,0.4,0.6,0.47,0.61,0.39,1.64
Alex Sarr,1.5,0.6,0.8,0.67,0.652,0.348,1.533
Donovan Clingan,1.5,0.8,0.6,0.53,0.485,0.515,2.063
