player1,player2,line1,line2,pred1,pred2,model_side1,model_side2,prob1,prob2,prob_both,edge1,edge2,combined_edge,ev_percent,kelly_full,recommendation,confidence_interval1,confidence_interval2,interval_width1,interval_width2,sigma1,sigma2,sigma_flag1,sigma_flag2,simulation_method
Giannis Antetokounmpo,Zach LaVine,31.5,23.5,34.06,26.67,over,over,0.661,0.673,0.4001,0.083,0.095,0.089,0.2,0.1,0,"(19.8, 48.3)","(10.3, 43.0)",28.53,32.68,7.28,8.34,High,High,Monte Carlo
Giannis Antetokounmpo,DeMar DeRozan,31.5,19.5,34.06,20.93,over,over,0.661,0.582,0.3461,0.083,0.004,0.043,0.04,0.019,0,"(19.8, 48.3)","(6.0, 35.9)",28.53,29.87,7.28,7.62,High,High,Monte Carlo
Giannis Antetokounmpo,Domantas Sabonis,31.5,16.5,34.06,17.43,over,over,0.661,0.551,0.3277,0.083,-0.027,0.028,-0.02,0.0,0,"(19.8, 48.3)","(2.2, 32.6)",28.53,30.42,7.28,7.76,High,High,Monte Carlo
Giannis Antetokounmpo,Russell Westbrook,31.5,12.5,34.06,14.59,over,over,0.661,0.637,0.379,0.083,0.059,0.071,0.14,0.069,0,"(19.8, 48.3)","(0.9, 28.2)",28.53,27.29,7.28,6.96,High,High,Monte Carlo
Giannis Antetokounmpo,Keon Ellis,31.5,7.5,34.06,9.85,over,over,0.661,0.65,0.3865,0.083,0.072,0.077,0.16,0.08,0,"(19.8, 48.3)","(0.0, 23.9)",28.53,23.93,7.28,7.18,High,High,Monte Carlo
Giannis Antetokounmpo,LaMelo Ball,31.5,25.5,34.06,28.11,over,over,0.661,0.637,0.3788,0.083,0.059,0.071,0.14,0.068,0,"(19.8, 48.3)","(11.0, 45.2)",28.53,34.2,7.28,8.72,High,High,Monte Carlo
Giannis Antetokounmpo,Julius Randle,31.5,24.5,34.06,23.72,over,under,0.661,0.56,0.3329,0.083,-0.018,0.032,-0.0,0.0,0,"(19.8, 48.3)","(9.7, 37.8)",28.53,28.11,7.28,7.17,High,High,Monte Carlo
Giannis Antetokounmpo,Miles Bridges,31.5,19.5,34.06,22.16,over,over,0.661,0.651,0.3872,0.083,0.073,0.078,0.16,0.081,0,"(19.8, 48.3)","(6.3, 38.0)",28.53,31.65,7.28,8.07,High,High,Monte Carlo
Giannis Antetokounmpo,Jaden McDaniels,31.5,18.5,34.06,22.08,over,over,0.661,0.707,0.4206,0.083,0.129,0.106,0.26,0.131,0,"(19.8, 48.3)","(7.1, 37.1)",28.53,30.0,7.28,7.65,High,High,Monte Carlo
Giannis Antetokounmpo,Collin Sexton,31.5,18.5,34.06,22.19,over,over,0.661,0.716,0.4261,0.083,0.138,0.111,0.28,0.139,0,"(19.8, 48.3)","(7.3, 37.1)",28.53,29.82,7.28,7.61,High,High,Monte Carlo
