player1,player2,player3,line1,line2,line3,pred1,pred2,pred3,model_side1,model_side2,model_side3,prob1,prob2,prob3,prob_all_three,edge1,edge2,edge3,combined_edge,ev_percent,kelly_full,recommendation,confidence_interval1,confidence_interval2,confidence_interval3,interval_width1,interval_width2,interval_width3,sigma1,sigma2,sigma3,sigma_flag1,sigma_flag2,sigma_flag3,simulation_method
Keaton Wallace,Quenton Jackson,Andre Drummond,4.5,6.5,3.5,8.36,11.93,9.3,over,over,over,0.807,0.866,0.876,0.4961,0.229,0.288,0.298,0.272,1.98,0.395,0,"(0.0, 18.6)","(0.9, 23.0)","(0.0, 20.5)",18.57,22.06,20.51,5.21,5.63,5.72,Med,Med,Med,Monte Carlo
Quenton Jackson,Andre Drummond,Aaron Gordon,6.5,3.5,17.5,11.93,9.3,15.86,over,over,under,0.866,0.876,0.678,0.4168,0.288,0.298,0.1,0.229,1.5,0.3,0,"(0.9, 23.0)","(0.0, 20.5)","(7.2, 24.5)",22.06,20.51,17.33,5.63,5.72,4.42,Med,Med,Low,Monte Carlo
Keaton Wallace,Andre Drummond,Aaron Gordon,4.5,3.5,17.5,8.36,9.3,15.86,over,over,under,0.807,0.876,0.678,0.3885,0.229,0.298,0.1,0.209,1.33,0.266,0,"(0.0, 18.6)","(0.0, 20.5)","(7.2, 24.5)",18.57,20.51,17.33,5.21,5.72,4.42,Med,Med,Low,Monte Carlo
Keaton Wallace,Quenton Jackson,Aaron Gordon,4.5,6.5,17.5,8.36,11.93,15.86,over,over,under,0.807,0.866,0.678,0.3838,0.229,0.288,0.1,0.206,1.3,0.261,0,"(0.0, 18.6)","(0.9, 23.0)","(7.2, 24.5)",18.57,22.06,17.33,5.21,5.63,4.42,Med,Med,Low,Monte Carlo
