player1,player2,player3,line1,line2,line3,pred1,pred2,pred3,model_side1,model_side2,model_side3,prob1,prob2,prob3,prob_all_three,edge1,edge2,edge3,combined_edge,ev_percent,kelly_full,recommendation,confidence_interval1,confidence_interval2,confidence_interval3,interval_width1,interval_width2,interval_width3,sigma1,sigma2,sigma3,sigma_flag1,sigma_flag2,sigma_flag3,simulation_method
Quenton Jackson,Keaton Wallace,John Konchar,6.5,4.5,3.5,11.93,8.36,8.52,over,over,over,0.83,0.776,0.852,0.4443,0.252,0.198,0.274,0.241,1.67,0.333,0,"(0.9, 23.0)","(0.0, 18.6)","(0.0, 17.7)",22.06,18.57,17.72,5.63,5.21,4.69,Med,Med,Low,Monte Carlo
Quenton Jackson,John Konchar,Blake Wesley,6.5,3.5,6.0,11.93,8.52,9.92,over,over,over,0.83,0.863,0.756,0.4388,0.252,0.285,0.178,0.238,1.63,0.327,0,"(0.9, 23.0)","(0.0, 17.7)","(0.0, 20.6)",22.06,17.72,20.56,5.63,4.69,5.43,Med,Low,Med,Monte Carlo
Quenton Jackson,Collin Murray-Boyles,John Konchar,6.5,10.5,3.5,11.93,13.41,8.52,over,over,over,0.83,0.71,0.852,0.4064,0.252,0.132,0.274,0.219,1.44,0.288,0,"(0.9, 23.0)","(3.0, 23.9)","(0.0, 17.7)",22.06,20.89,17.72,5.63,5.33,4.69,Med,Med,Low,Monte Carlo
Keaton Wallace,John Konchar,Blake Wesley,4.5,3.5,6.0,8.36,8.52,9.92,over,over,over,0.768,0.863,0.756,0.4064,0.19,0.285,0.178,0.218,1.44,0.288,0,"(0.0, 18.6)","(0.0, 17.7)","(0.0, 20.6)",18.57,17.72,20.56,5.21,4.69,5.43,Med,Low,Med,Monte Carlo
Quenton Jackson,Keaton Wallace,Blake Wesley,6.5,4.5,6.0,11.93,8.36,9.92,over,over,over,0.83,0.776,0.756,0.3945,0.252,0.198,0.178,0.209,1.37,0.273,0,"(0.9, 23.0)","(0.0, 18.6)","(0.0, 20.6)",22.06,18.57,20.56,5.63,5.21,5.43,Med,Med,Med,Monte Carlo
Quenton Jackson,John Konchar,Aaron Gordon,6.5,3.5,17.5,11.93,8.52,15.86,over,over,under,0.83,0.863,0.65,0.377,0.252,0.285,0.072,0.203,1.26,0.252,0,"(0.9, 23.0)","(0.0, 17.7)","(7.2, 24.5)",22.06,17.72,17.33,5.63,4.69,4.42,Med,Low,Low,Monte Carlo
Keaton Wallace,Collin Murray-Boyles,John Konchar,4.5,10.5,3.5,8.36,13.41,8.52,over,over,over,0.768,0.71,0.852,0.3763,0.19,0.132,0.274,0.199,1.26,0.252,0,"(0.0, 18.6)","(3.0, 23.9)","(0.0, 17.7)",18.57,20.89,17.72,5.21,5.33,4.69,Med,Med,Low,Monte Carlo
Collin Murray-Boyles,John Konchar,Blake Wesley,10.5,3.5,6.0,13.41,8.52,9.92,over,over,over,0.706,0.863,0.756,0.3734,0.128,0.285,0.178,0.197,1.24,0.248,0,"(3.0, 23.9)","(0.0, 17.7)","(0.0, 20.6)",20.89,17.72,20.56,5.33,4.69,5.43,Med,Low,Med,Monte Carlo
Quenton Jackson,Keaton Wallace,Collin Murray-Boyles,6.5,4.5,10.5,11.93,8.36,13.41,over,over,over,0.83,0.776,0.703,0.3668,0.252,0.198,0.125,0.192,1.2,0.24,0,"(0.9, 23.0)","(0.0, 18.6)","(3.0, 23.9)",22.06,18.57,20.89,5.63,5.21,5.33,Med,Med,Med,Monte Carlo
Quenton Jackson,Collin Murray-Boyles,Blake Wesley,6.5,10.5,6.0,11.93,13.41,9.92,over,over,over,0.83,0.71,0.756,0.3608,0.252,0.132,0.178,0.187,1.16,0.233,0,"(0.9, 23.0)","(3.0, 23.9)","(0.0, 20.6)",22.06,20.89,20.56,5.63,5.33,5.43,Med,Med,Med,Monte Carlo
