player1,player2,line1,line2,pred1,pred2,model_side1,model_side2,prob1,prob2,prob_both,edge1,edge2,combined_edge,ev_percent,kelly_full,recommendation,confidence_interval1,confidence_interval2,interval_width1,interval_width2,sigma1,sigma2,sigma_flag1,sigma_flag2,simulation_method
Quenton Jackson,John Konchar,6.5,3.5,11.93,8.52,over,over,0.866,0.887,0.6912,0.288,0.309,0.298,1.07,0.537,0,"(0.9, 23.0)","(0.0, 17.7)",22.06,17.72,5.63,4.69,Med,Med,Monte Carlo
Keaton Wallace,John Konchar,4.5,3.5,8.36,8.52,over,over,0.807,0.887,0.6442,0.229,0.309,0.269,0.93,0.466,0,"(0.0, 18.6)","(0.0, 17.7)",18.57,17.72,5.21,4.69,Med,Med,Monte Carlo
John Konchar,Blake Wesley,3.5,6.0,8.52,9.92,over,over,0.887,0.802,0.6406,0.309,0.224,0.267,0.92,0.461,0,"(0.0, 17.7)","(0.0, 20.6)",17.72,20.56,4.69,5.43,Med,Med,Monte Carlo
Quenton Jackson,Keaton Wallace,6.5,4.5,11.93,8.36,over,over,0.866,0.807,0.6289,0.288,0.229,0.258,0.89,0.443,0,"(0.9, 23.0)","(0.0, 18.6)",22.06,18.57,5.63,5.21,Med,Med,Monte Carlo
Quenton Jackson,Blake Wesley,6.5,6.0,11.93,9.92,over,over,0.866,0.802,0.6254,0.288,0.224,0.256,0.88,0.438,0,"(0.9, 23.0)","(0.0, 20.6)",22.06,20.56,5.63,5.43,Med,Med,Monte Carlo
Collin Murray-Boyles,John Konchar,10.5,3.5,13.41,8.52,over,over,0.74,0.887,0.5906,0.162,0.309,0.235,0.77,0.386,0,"(3.0, 23.9)","(0.0, 17.7)",20.89,17.72,5.33,4.69,Med,Med,Monte Carlo
Keaton Wallace,Blake Wesley,4.5,6.0,8.36,9.92,over,over,0.807,0.802,0.5829,0.229,0.224,0.227,0.75,0.374,0,"(0.0, 18.6)","(0.0, 20.6)",18.57,20.56,5.21,5.43,Med,Med,Monte Carlo
Quenton Jackson,Collin Murray-Boyles,6.5,10.5,11.93,13.41,over,over,0.866,0.74,0.5765,0.288,0.162,0.225,0.73,0.365,0,"(0.9, 23.0)","(3.0, 23.9)",22.06,20.89,5.63,5.33,Med,Med,Monte Carlo
John Konchar,Aaron Gordon,3.5,17.5,8.52,15.86,over,under,0.887,0.678,0.5413,0.309,0.1,0.204,0.62,0.312,0,"(0.0, 17.7)","(7.2, 24.5)",17.72,17.33,4.69,4.42,Med,Med,Monte Carlo
Keaton Wallace,Collin Murray-Boyles,4.5,10.5,8.36,13.41,over,over,0.807,0.74,0.5373,0.229,0.162,0.195,0.61,0.306,0,"(0.0, 18.6)","(3.0, 23.9)",18.57,20.89,5.21,5.33,Med,Med,Monte Carlo
Collin Murray-Boyles,Blake Wesley,10.5,6.0,13.41,9.92,over,over,0.74,0.802,0.5343,0.162,0.224,0.193,0.6,0.301,0,"(3.0, 23.9)","(0.0, 20.6)",20.89,20.56,5.33,5.43,Med,Med,Monte Carlo
Quenton Jackson,Aaron Gordon,6.5,17.5,11.93,15.86,over,under,0.866,0.678,0.5285,0.288,0.1,0.194,0.59,0.293,0,"(0.9, 23.0)","(7.2, 24.5)",22.06,17.33,5.63,4.42,Med,Med,Monte Carlo
Mouhamed Gueye,John Konchar,5.5,3.5,7.2,8.52,over,over,0.632,0.887,0.5047,0.054,0.309,0.182,0.51,0.257,0,"(0.0, 18.8)","(0.0, 17.7)",18.75,17.72,5.89,4.69,Med,Med,Monte Carlo
Quenton Jackson,Mouhamed Gueye,6.5,5.5,11.93,7.2,over,over,0.866,0.632,0.4927,0.288,0.054,0.171,0.48,0.239,0,"(0.9, 23.0)","(0.0, 18.8)",22.06,18.75,5.63,5.89,Med,Med,Monte Carlo
Keaton Wallace,Aaron Gordon,4.5,17.5,8.36,15.86,over,under,0.807,0.678,0.4925,0.229,0.1,0.164,0.48,0.239,0,"(0.0, 18.6)","(7.2, 24.5)",18.57,17.33,5.21,4.42,Med,Med,Monte Carlo
Aaron Gordon,Blake Wesley,17.5,6.0,15.86,9.92,under,over,0.678,0.802,0.4898,0.1,0.224,0.162,0.47,0.235,0,"(7.2, 24.5)","(0.0, 20.6)",17.33,20.56,4.42,5.43,Med,Med,Monte Carlo
Mouhamed Gueye,Blake Wesley,5.5,6.0,7.2,9.92,over,over,0.632,0.802,0.4566,0.054,0.224,0.139,0.37,0.185,0,"(0.0, 18.8)","(0.0, 20.6)",18.75,20.56,5.89,5.43,Med,Med,Monte Carlo
Collin Murray-Boyles,Aaron Gordon,10.5,17.5,13.41,15.86,over,under,0.74,0.678,0.4515,0.162,0.1,0.131,0.35,0.177,0,"(3.0, 23.9)","(7.2, 24.5)",20.89,17.33,5.33,4.42,Med,Med,Monte Carlo
Mouhamed Gueye,Collin Murray-Boyles,5.5,10.5,7.2,13.41,over,over,0.632,0.74,0.4209,0.054,0.162,0.108,0.26,0.131,0,"(0.0, 18.8)","(3.0, 23.9)",18.75,20.89,5.89,5.33,Med,Med,Monte Carlo
Mouhamed Gueye,Aaron Gordon,5.5,17.5,7.2,15.86,over,under,0.632,0.678,0.3858,0.054,0.1,0.077,0.16,0.079,0,"(0.0, 18.8)","(7.2, 24.5)",18.75,17.33,5.89,4.42,Med,Med,Monte Carlo
