NAME,BOOKMAKER,CATEGORY,LINE,ODDS,SIDE,PREDICTION,RECOMMENDATION,OVER%,UNDER%,IMPLIED PROB,MODEL PROB,EDGE,EV%,KELLY_FRACTION,KELLY_DOLLARS,CONFIDENCE INTERVAL,INTERVAL WIDTH,SIGMA,SIGMA FLAG,EXPECTED ROI,SIMULATION_METHOD
Keldon Johnson,Bovada,player_points,13.5,180,Over,14.12,0,0.545,0.455,0.357,0.545,0.188,5.25,0.292,4.5,"(2.4, 25.9)",23.51,6.0,Med,0.53,Monte Carlo
Goga Bitadze,BetMGM,player_points,5.5,100,Over,8.51,1,0.737,0.263,0.5,0.737,0.237,4.73,0.473,2.5,"(0.0, 19.5)",19.48,5.6,Med,0.47,Monte Carlo
Keldon Johnson,Bovada,player_points,12.5,135,Over,14.12,0,0.621,0.379,0.426,0.621,0.196,4.6,0.341,3.38,"(2.4, 25.9)",23.51,6.0,Med,0.46,Monte Carlo
Keldon Johnson,Bovada,player_points,11.5,105,Over,14.12,1,0.696,0.304,0.488,0.696,0.208,4.26,0.406,2.62,"(2.4, 25.9)",23.51,6.0,Med,0.43,Monte Carlo
Taurean Prince,BetMGM,player_points,4.5,-140,Over,9.02,1,0.831,0.169,0.583,0.831,0.248,4.25,0.595,1.79,"(0.0, 19.8)",19.77,5.49,Med,0.42,Monte Carlo
Keldon Johnson,BetMGM,player_points,11.5,100,Over,14.12,0,0.696,0.304,0.5,0.696,0.196,3.91,0.391,2.5,"(2.4, 25.9)",23.51,6.0,Med,0.39,Monte Carlo
Keldon Johnson,DraftKings,player_points,11.5,-101,Over,14.12,0,0.696,0.304,0.502,0.696,0.193,3.85,0.388,2.48,"(2.4, 25.9)",23.51,6.0,Med,0.38,Monte Carlo
Keldon Johnson,BetOnline.ag,player_points,11.5,-103,Over,14.12,0,0.696,0.304,0.507,0.696,0.188,3.71,0.382,2.43,"(2.4, 25.9)",23.51,6.0,Med,0.37,Monte Carlo
Keldon Johnson,Bovada,player_points,10.5,-130,Over,14.12,0,0.762,0.239,0.565,0.762,0.196,3.47,0.451,1.92,"(2.4, 25.9)",23.51,6.0,Med,0.35,Monte Carlo
Keldon Johnson,FanDuel,player_points,11.5,-114,Over,14.12,0,0.696,0.304,0.533,0.696,0.163,3.06,0.349,2.19,"(2.4, 25.9)",23.51,6.0,Med,0.31,Monte Carlo
Keldon Johnson,BetRivers,player_points,11.5,-118,Over,14.12,0,0.696,0.304,0.541,0.696,0.154,2.85,0.337,2.12,"(2.4, 25.9)",23.51,6.0,Med,0.29,Monte Carlo
Keldon Johnson,Bovada,player_points,9.5,-180,Over,14.12,0,0.817,0.183,0.643,0.817,0.174,2.71,0.488,1.39,"(2.4, 25.9)",23.51,6.0,Med,0.27,Monte Carlo
