player1,player2,player3,line1,line2,line3,pred1,pred2,pred3,model_side1,model_side2,model_side3,prob1,prob2,prob3,prob_all_three,edge1,edge2,edge3,combined_edge,ev_percent,kelly_full,recommendation,confidence_interval1,confidence_interval2,confidence_interval3,interval_width1,interval_width2,interval_width3,sigma1,sigma2,sigma3,sigma_flag1,sigma_flag2,sigma_flag3,simulation_method
Jaylin Williams,Harrison Barnes,Peyton Watson,5.5,9.5,5.5,9.99,11.58,9.28,over,over,over,0.83,0.668,0.825,0.3703,0.252,0.09,0.247,0.196,1.22,0.244,0,"(0.0, 20.7)","(0.5, 22.6)","(0.0, 18.5)",20.72,22.08,18.49,5.48,5.63,4.72,Med,Med,Med,Monte Carlo
Bobby Portis,Corey Kispert,Aaron Gordon,9.5,6.5,15.5,10.8,10.5,24.31,over,over,over,0.613,0.784,0.946,0.3681,0.035,0.206,0.368,0.203,1.21,0.242,0,"(0.7, 20.9)","(0.0, 22.2)","(12.9, 35.7)",20.17,22.22,22.74,5.15,5.98,5.8,Med,Med,Med,Monte Carlo
Goga Bitadze,Keldon Johnson,Chris Paul,5.5,11.5,4.5,8.51,14.12,9.01,over,over,over,0.757,0.714,0.836,0.3659,0.179,0.136,0.258,0.191,1.2,0.239,0,"(0.0, 18.5)","(3.4, 24.8)","(0.0, 19.6)",18.48,21.37,19.57,5.09,5.45,5.39,Med,Med,Med,Monte Carlo
Goga Bitadze,Sion James,Keldon Johnson,5.5,5.5,11.5,8.51,10.28,14.12,over,over,over,0.757,0.836,0.714,0.366,0.179,0.258,0.136,0.191,1.2,0.239,0,"(0.0, 18.5)","(0.0, 21.5)","(3.4, 24.8)",18.48,21.46,21.37,5.09,5.7,5.45,Med,Med,Med,Monte Carlo
Harrison Barnes,Keldon Johnson,Aaron Gordon,9.5,11.5,15.5,11.58,14.12,24.31,over,over,over,0.668,0.714,0.946,0.3655,0.09,0.136,0.368,0.198,1.19,0.239,0,"(0.5, 22.6)","(3.4, 24.8)","(12.9, 35.7)",22.08,21.37,22.74,5.63,5.45,5.8,Med,Med,Med,Monte Carlo
Goga Bitadze,Jaylin Williams,Keldon Johnson,5.5,5.5,11.5,8.51,9.99,14.12,over,over,over,0.757,0.83,0.714,0.3632,0.179,0.252,0.136,0.189,1.18,0.236,0,"(0.0, 18.5)","(0.0, 20.7)","(3.4, 24.8)",18.48,20.72,21.37,5.09,5.48,5.45,Med,Med,Med,Monte Carlo
Goga Bitadze,Keldon Johnson,Peyton Watson,5.5,11.5,5.5,8.51,14.12,9.28,over,over,over,0.757,0.714,0.825,0.3612,0.179,0.136,0.247,0.187,1.17,0.233,0,"(0.0, 18.5)","(3.4, 24.8)","(0.0, 18.5)",18.48,21.37,18.49,5.09,5.45,4.72,Med,Med,Med,Monte Carlo
Corey Kispert,Harrison Barnes,Bruce Brown,6.5,9.5,4.5,10.5,11.58,9.24,over,over,over,0.784,0.668,0.85,0.3605,0.206,0.09,0.272,0.189,1.16,0.233,0,"(0.0, 22.2)","(0.5, 22.6)","(0.0, 19.6)",22.22,22.08,19.62,5.98,5.63,5.29,Med,Med,Med,Monte Carlo
Corey Kispert,Harrison Barnes,Chris Paul,6.5,9.5,4.5,10.5,11.58,9.01,over,over,over,0.784,0.668,0.836,0.3544,0.206,0.09,0.258,0.184,1.13,0.225,0,"(0.0, 22.2)","(0.5, 22.6)","(0.0, 19.6)",22.22,22.08,19.57,5.98,5.63,5.39,Med,Med,Med,Monte Carlo
Sion James,Corey Kispert,Harrison Barnes,5.5,6.5,9.5,10.28,10.5,11.58,over,over,over,0.836,0.784,0.668,0.3545,0.258,0.206,0.09,0.185,1.13,0.225,0,"(0.0, 21.5)","(0.0, 22.2)","(0.5, 22.6)",21.46,22.22,22.08,5.7,5.98,5.63,Med,Med,Med,Monte Carlo
