player1,player2,player3,line1,line2,line3,pred1,pred2,pred3,model_side1,model_side2,model_side3,prob1,prob2,prob3,prob_all_three,edge1,edge2,edge3,combined_edge,ev_percent,kelly_full,recommendation,confidence_interval1,confidence_interval2,confidence_interval3,interval_width1,interval_width2,interval_width3,sigma1,sigma2,sigma3,sigma_flag1,sigma_flag2,sigma_flag3,simulation_method
Goga Bitadze,Bruce Brown,Chris Paul,5.5,4.5,4.5,8.51,9.24,9.01,over,over,over,0.757,0.85,0.836,0.4356,0.179,0.272,0.258,0.236,1.61,0.323,0,"(0.0, 18.5)","(0.0, 19.6)","(0.0, 19.6)",18.48,19.62,19.57,5.09,5.29,5.39,Med,Med,Med,Monte Carlo
Goga Bitadze,Sion James,Bruce Brown,5.5,5.5,4.5,8.51,10.28,9.24,over,over,over,0.757,0.836,0.85,0.4357,0.179,0.258,0.272,0.236,1.61,0.323,0,"(0.0, 18.5)","(0.0, 21.5)","(0.0, 19.6)",18.48,21.46,19.62,5.09,5.7,5.29,Med,Med,Med,Monte Carlo
Harrison Barnes,Aaron Gordon,Bruce Brown,9.5,15.5,4.5,11.58,24.31,9.24,over,over,over,0.668,0.946,0.85,0.4351,0.09,0.368,0.272,0.243,1.61,0.322,0,"(0.5, 22.6)","(12.9, 35.7)","(0.0, 19.6)",22.08,22.74,19.62,5.63,5.8,5.29,Med,Med,Med,Monte Carlo
Goga Bitadze,Jaylin Williams,Bruce Brown,5.5,5.5,4.5,8.51,9.99,9.24,over,over,over,0.757,0.83,0.85,0.4324,0.179,0.252,0.272,0.234,1.59,0.319,0,"(0.0, 18.5)","(0.0, 20.7)","(0.0, 19.6)",18.48,20.72,19.62,5.09,5.48,5.29,Med,Med,Med,Monte Carlo
Goga Bitadze,Bruce Brown,Peyton Watson,5.5,4.5,5.5,8.51,9.24,9.28,over,over,over,0.757,0.85,0.825,0.43,0.179,0.272,0.247,0.233,1.58,0.316,0,"(0.0, 18.5)","(0.0, 19.6)","(0.0, 18.5)",18.48,19.62,18.49,5.09,5.29,4.72,Med,Med,Med,Monte Carlo
Goga Bitadze,Sion James,Chris Paul,5.5,5.5,4.5,8.51,10.28,9.01,over,over,over,0.757,0.836,0.836,0.4283,0.179,0.258,0.258,0.231,1.57,0.314,0,"(0.0, 18.5)","(0.0, 21.5)","(0.0, 19.6)",18.48,21.46,19.57,5.09,5.7,5.39,Med,Med,Med,Monte Carlo
Sion James,Harrison Barnes,Aaron Gordon,5.5,9.5,15.5,10.28,11.58,24.31,over,over,over,0.836,0.668,0.946,0.4279,0.258,0.09,0.368,0.239,1.57,0.314,0,"(0.0, 21.5)","(0.5, 22.6)","(12.9, 35.7)",21.46,22.08,22.74,5.7,5.63,5.8,Med,Med,Med,Monte Carlo
Corey Kispert,Keldon Johnson,Aaron Gordon,6.5,11.5,15.5,10.5,14.12,24.31,over,over,over,0.784,0.714,0.946,0.4291,0.206,0.136,0.368,0.237,1.57,0.315,0,"(0.0, 22.2)","(3.4, 24.8)","(12.9, 35.7)",22.22,21.37,22.74,5.98,5.45,5.8,Med,Med,Med,Monte Carlo
Harrison Barnes,Aaron Gordon,Chris Paul,9.5,15.5,4.5,11.58,24.31,9.01,over,over,over,0.668,0.946,0.836,0.4278,0.09,0.368,0.258,0.239,1.57,0.313,0,"(0.5, 22.6)","(12.9, 35.7)","(0.0, 19.6)",22.08,22.74,19.57,5.63,5.8,5.39,Med,Med,Med,Monte Carlo
Jaylin Williams,Harrison Barnes,Aaron Gordon,5.5,9.5,15.5,9.99,11.58,24.31,over,over,over,0.83,0.668,0.946,0.4247,0.252,0.09,0.368,0.237,1.55,0.31,0,"(0.0, 20.7)","(0.5, 22.6)","(12.9, 35.7)",20.72,22.08,22.74,5.48,5.63,5.8,Med,Med,Med,Monte Carlo
Goga Bitadze,Jaylin Williams,Chris Paul,5.5,5.5,4.5,8.51,9.99,9.01,over,over,over,0.757,0.83,0.836,0.4251,0.179,0.252,0.258,0.229,1.55,0.31,0,"(0.0, 18.5)","(0.0, 20.7)","(0.0, 19.6)",18.48,20.72,19.57,5.09,5.48,5.39,Med,Med,Med,Monte Carlo
Goga Bitadze,Sion James,Jaylin Williams,5.5,5.5,5.5,8.51,10.28,9.99,over,over,over,0.757,0.836,0.83,0.4252,0.179,0.258,0.252,0.229,1.55,0.31,0,"(0.0, 18.5)","(0.0, 21.5)","(0.0, 20.7)",18.48,21.46,20.72,5.09,5.7,5.48,Med,Med,Med,Monte Carlo
Goga Bitadze,Peyton Watson,Chris Paul,5.5,5.5,4.5,8.51,9.28,9.01,over,over,over,0.757,0.825,0.836,0.4228,0.179,0.247,0.258,0.228,1.54,0.307,0,"(0.0, 18.5)","(0.0, 18.5)","(0.0, 19.6)",18.48,18.49,19.57,5.09,4.72,5.39,Med,Med,Med,Monte Carlo
Goga Bitadze,Sion James,Peyton Watson,5.5,5.5,5.5,8.51,10.28,9.28,over,over,over,0.757,0.836,0.825,0.4229,0.179,0.258,0.247,0.228,1.54,0.307,0,"(0.0, 18.5)","(0.0, 21.5)","(0.0, 18.5)",18.48,21.46,18.49,5.09,5.7,4.72,Med,Med,Med,Monte Carlo
Harrison Barnes,Aaron Gordon,Peyton Watson,9.5,15.5,5.5,11.58,24.31,9.28,over,over,over,0.668,0.946,0.825,0.4224,0.09,0.368,0.247,0.235,1.53,0.307,0,"(0.5, 22.6)","(12.9, 35.7)","(0.0, 18.5)",22.08,22.74,18.49,5.63,5.8,4.72,Med,Med,Med,Monte Carlo
Goga Bitadze,Jaylin Williams,Peyton Watson,5.5,5.5,5.5,8.51,9.99,9.28,over,over,over,0.757,0.83,0.825,0.4197,0.179,0.252,0.247,0.226,1.52,0.304,0,"(0.0, 18.5)","(0.0, 20.7)","(0.0, 18.5)",18.48,20.72,18.49,5.09,5.48,4.72,Med,Med,Med,Monte Carlo
Goga Bitadze,Keldon Johnson,Aaron Gordon,5.5,11.5,15.5,8.51,14.12,24.31,over,over,over,0.757,0.714,0.946,0.4142,0.179,0.136,0.368,0.228,1.49,0.297,0,"(0.0, 18.5)","(3.4, 24.8)","(12.9, 35.7)",18.48,21.37,22.74,5.09,5.45,5.8,Med,Med,Med,Monte Carlo
Sion James,Keldon Johnson,Bruce Brown,5.5,11.5,4.5,10.28,14.12,9.24,over,over,over,0.836,0.714,0.85,0.4111,0.258,0.136,0.272,0.222,1.47,0.293,0,"(0.0, 21.5)","(3.4, 24.8)","(0.0, 19.6)",21.46,21.37,19.62,5.7,5.45,5.29,Med,Med,Med,Monte Carlo
Keldon Johnson,Bruce Brown,Chris Paul,11.5,4.5,4.5,14.12,9.24,9.01,over,over,over,0.714,0.85,0.836,0.411,0.136,0.272,0.258,0.222,1.47,0.293,0,"(3.4, 24.8)","(0.0, 19.6)","(0.0, 19.6)",21.37,19.62,19.57,5.45,5.29,5.39,Med,Med,Med,Monte Carlo
Goga Bitadze,Corey Kispert,Bruce Brown,5.5,6.5,4.5,8.51,10.5,9.24,over,over,over,0.757,0.784,0.85,0.4086,0.179,0.206,0.272,0.219,1.45,0.29,0,"(0.0, 18.5)","(0.0, 22.2)","(0.0, 19.6)",18.48,22.22,19.62,5.09,5.98,5.29,Med,Med,Med,Monte Carlo
