player1,player2,line1,line2,pred1,pred2,model_side1,model_side2,prob1,prob2,prob_both,edge1,edge2,combined_edge,ev_percent,kelly_full,recommendation,simulation_method
Joel Embiid,Aaron Wiggins,18.5,12.5,8.92,13.02,under,over,1.0,0.53,0.4766,0.422,-0.049,0.187,0.43,0.215,1,Monte Carlo
Alex Sarr,Brandin Podziemski,13.5,11.5,12.72,8.55,under,under,0.603,0.877,0.4758,0.025,0.299,0.162,0.43,0.214,1,Monte Carlo
Jalen Brunson,Brook Lopez,27.5,6.5,23.13,9.53,under,over,0.778,0.681,0.4769,0.2,0.103,0.151,0.43,0.215,1,Monte Carlo
Kyshawn George,Malik Monk,14.5,12.5,17.68,14.57,over,over,0.662,0.803,0.4781,0.084,0.225,0.154,0.43,0.217,1,Monte Carlo
Tre Johnson,Cole Anthony,13.5,10.5,12.94,7.89,under,under,0.601,0.882,0.4769,0.023,0.304,0.163,0.43,0.215,1,Monte Carlo
Ryan Kalkbrenner,Brook Lopez,8.0,6.5,10.67,9.53,over,over,0.777,0.681,0.4761,0.199,0.103,0.151,0.43,0.214,1,Monte Carlo
Norman Powell,Giannis Antetokounmpo,22.5,30.5,21.41,21.22,under,under,0.548,0.962,0.4748,-0.03,0.384,0.177,0.42,0.212,1,Monte Carlo
Corey Kispert,Ryan Kalkbrenner,8.0,8.0,6.69,10.67,under,over,0.67,0.785,0.473,0.091,0.207,0.149,0.42,0.21,1,Monte Carlo
Joel Embiid,Russell Westbrook,18.5,7.5,8.92,7.34,under,under,1.0,0.528,0.4749,0.422,-0.05,0.186,0.42,0.212,1,Monte Carlo
Alex Sarr,John Collins,13.5,13.5,12.72,10.19,under,under,0.603,0.871,0.4726,0.025,0.293,0.159,0.42,0.209,1,Monte Carlo
Ryan Kalkbrenner,Draymond Green,8.0,8.5,10.67,9.95,over,over,0.777,0.677,0.4736,0.199,0.099,0.149,0.42,0.21,1,Monte Carlo
Myles Turner,Jonathan Kuminga,13.5,16.5,11.52,14.27,under,under,0.65,0.809,0.4733,0.072,0.231,0.151,0.42,0.21,1,Monte Carlo
Norman Powell,Josh Hart,22.5,9.5,21.41,5.8,under,under,0.548,0.958,0.4726,-0.03,0.38,0.175,0.42,0.209,1,Monte Carlo
Karl-Anthony Towns,Brook Lopez,22.0,6.5,18.3,9.53,under,over,0.771,0.681,0.4726,0.193,0.103,0.148,0.42,0.209,1,Monte Carlo
Jalen Brunson,Draymond Green,27.5,8.5,23.13,9.95,under,over,0.778,0.677,0.4744,0.2,0.099,0.15,0.42,0.212,1,Monte Carlo
Tre Johnson,Brandin Podziemski,13.5,11.5,12.94,8.55,under,under,0.601,0.877,0.4739,0.023,0.299,0.161,0.42,0.211,1,Monte Carlo
Myles Turner,Moses Moody,13.5,9.5,11.52,11.3,under,over,0.65,0.81,0.474,0.072,0.232,0.152,0.42,0.211,1,Monte Carlo
Domantas Sabonis,Al Horford,14.5,7.5,10.02,7.65,under,over,0.983,0.532,0.4707,0.405,-0.046,0.179,0.41,0.206,1,Monte Carlo
Joel Embiid,Tre Mann,18.5,8.5,8.92,8.79,under,over,1.0,0.522,0.4702,0.422,-0.056,0.183,0.41,0.205,1,Monte Carlo
Malik Monk,Isaiah Hartenstein,12.5,10.5,14.57,8.01,over,under,0.795,0.659,0.4711,0.217,0.081,0.149,0.41,0.207,1,Monte Carlo
Domantas Sabonis,Stephen Curry,14.5,24.5,10.02,23.75,under,under,0.983,0.532,0.471,0.405,-0.046,0.18,0.41,0.207,1,Monte Carlo
Giannis Antetokounmpo,Kris Dunn,30.5,6.5,21.22,7.18,under,over,0.963,0.543,0.4705,0.385,-0.035,0.175,0.41,0.206,1,Monte Carlo
Mikal Bridges,Zach LaVine,14.5,21.5,11.73,22.18,under,over,0.831,0.628,0.4693,0.253,0.05,0.151,0.41,0.204,1,Monte Carlo
Kon Knueppel,Draymond Green,13.5,8.5,11.34,9.95,under,over,0.768,0.677,0.4685,0.19,0.099,0.145,0.41,0.203,1,Monte Carlo
Karl-Anthony Towns,Draymond Green,22.0,8.5,18.3,9.95,under,over,0.771,0.677,0.4701,0.193,0.099,0.146,0.41,0.205,1,Monte Carlo
Tyrese Maxey,Jonathan Kuminga,28.5,16.5,25.84,14.27,under,under,0.645,0.809,0.4696,0.067,0.231,0.149,0.41,0.204,1,Monte Carlo
Myles Turner,Malik Monk,13.5,12.5,11.52,14.57,under,over,0.65,0.803,0.4697,0.072,0.225,0.148,0.41,0.204,1,Monte Carlo
Josh Hart,Kris Dunn,9.5,6.5,5.8,7.18,under,over,0.96,0.543,0.4687,0.382,-0.035,0.173,0.41,0.203,1,Monte Carlo
Tre Johnson,John Collins,13.5,13.5,12.94,10.19,under,under,0.601,0.871,0.4708,0.023,0.293,0.158,0.41,0.206,1,Monte Carlo
Joel Embiid,Chet Holmgren,18.5,18.5,8.92,18.85,under,over,1.0,0.522,0.4697,0.422,-0.056,0.183,0.41,0.205,1,Monte Carlo
Joel Embiid,OG Anunoby,18.5,15.5,8.92,15.0,under,under,1.0,0.521,0.4686,0.422,-0.057,0.182,0.41,0.203,1,Monte Carlo
Luguentz Dort,Jonathan Kuminga,9.5,16.5,8.56,14.27,under,under,0.647,0.809,0.4709,0.069,0.231,0.15,0.41,0.206,1,Monte Carlo
Luguentz Dort,Moses Moody,9.5,9.5,8.56,11.3,under,over,0.647,0.81,0.4716,0.069,0.232,0.15,0.41,0.207,1,Monte Carlo
VJ Edgecombe,Kel'el Ware,19.5,10.5,26.29,13.42,over,over,0.826,0.631,0.4692,0.248,0.053,0.15,0.41,0.204,1,Monte Carlo
Davion Mitchell,Ryan Kalkbrenner,10.5,8.0,6.7,10.67,under,over,0.665,0.785,0.4698,0.087,0.207,0.147,0.41,0.205,1,Monte Carlo
Tyrese Maxey,Moses Moody,28.5,9.5,25.84,11.3,under,over,0.645,0.81,0.4704,0.067,0.232,0.15,0.41,0.206,1,Monte Carlo
Collin Sexton,Cole Anthony,18.5,10.5,17.15,7.89,under,under,0.59,0.882,0.4688,0.012,0.304,0.158,0.41,0.203,1,Monte Carlo
Kon Knueppel,Brook Lopez,13.5,6.5,11.34,9.53,under,over,0.768,0.681,0.471,0.19,0.103,0.147,0.41,0.206,1,Monte Carlo
Alex Sarr,Shai Gilgeous-Alexander,13.5,32.5,12.72,23.05,under,under,0.603,0.863,0.4682,0.025,0.285,0.155,0.4,0.202,1,Monte Carlo
Kyshawn George,Ryan Kalkbrenner,14.5,8.0,17.68,10.67,over,over,0.662,0.785,0.4676,0.084,0.207,0.145,0.4,0.201,1,Monte Carlo
Luguentz Dort,Malik Monk,9.5,12.5,8.56,14.57,under,over,0.647,0.803,0.4673,0.069,0.225,0.147,0.4,0.201,1,Monte Carlo
LaMelo Ball,Ryan Rollins,25.5,11.0,22.82,13.11,under,over,0.672,0.77,0.466,0.094,0.192,0.143,0.4,0.199,0,Monte Carlo
Joel Embiid,Ajay Mitchell,18.5,14.5,8.92,14.74,under,over,1.0,0.518,0.466,0.422,-0.06,0.181,0.4,0.199,0,Monte Carlo
Kel'el Ware,Mikal Bridges,10.5,14.5,13.42,11.73,over,under,0.627,0.83,0.4683,0.049,0.252,0.15,0.4,0.202,1,Monte Carlo
LaMelo Ball,Jalen Brunson,25.5,27.5,22.82,23.13,under,under,0.672,0.77,0.4658,0.094,0.192,0.143,0.4,0.199,0,Monte Carlo
Ryan Rollins,Brook Lopez,11.0,6.5,13.11,9.53,over,over,0.763,0.681,0.4677,0.185,0.103,0.144,0.4,0.202,1,Monte Carlo
Tyrese Maxey,Malik Monk,28.5,12.5,25.84,14.57,under,over,0.645,0.803,0.466,0.067,0.225,0.146,0.4,0.199,0,Monte Carlo
VJ Edgecombe,Zach LaVine,19.5,21.5,26.29,22.18,over,over,0.826,0.628,0.4666,0.248,0.05,0.149,0.4,0.2,0,Monte Carlo
Collin Sexton,Brandin Podziemski,18.5,11.5,17.15,8.55,under,under,0.59,0.877,0.4659,0.012,0.299,0.156,0.4,0.199,0,Monte Carlo
Tre Johnson,Shai Gilgeous-Alexander,13.5,32.5,12.94,23.05,under,under,0.601,0.863,0.4664,0.023,0.285,0.154,0.4,0.2,0,Monte Carlo
Ryan Rollins,Draymond Green,11.0,8.5,13.11,9.95,over,over,0.763,0.677,0.4652,0.185,0.099,0.142,0.4,0.198,0,Monte Carlo
Buddy Hield,John Collins,7.5,13.5,9.45,10.19,over,under,0.59,0.871,0.4629,0.012,0.293,0.153,0.39,0.194,0,Monte Carlo
Corey Kispert,Jalen Brunson,8.0,27.5,6.69,23.13,under,under,0.67,0.77,0.4638,0.091,0.192,0.142,0.39,0.196,0,Monte Carlo
Bobby Portis,Mikal Bridges,9.5,14.5,7.54,11.73,under,under,0.618,0.83,0.4617,0.04,0.252,0.146,0.39,0.193,0,Monte Carlo
Quentin Grimes,Cole Anthony,14.5,10.5,16.06,7.89,over,under,0.584,0.882,0.4636,0.006,0.304,0.155,0.39,0.195,0,Monte Carlo
Aaron Wiggins,Domantas Sabonis,12.5,14.5,13.02,10.02,over,under,0.525,0.982,0.4639,-0.053,0.404,0.175,0.39,0.196,0,Monte Carlo
Mikal Bridges,Kyle Kuzma,14.5,8.5,11.73,9.15,under,over,0.831,0.621,0.464,0.253,0.043,0.148,0.39,0.196,0,Monte Carlo
Corey Kispert,Ryan Rollins,8.0,11.0,6.69,13.11,under,over,0.67,0.77,0.4641,0.091,0.192,0.142,0.39,0.196,0,Monte Carlo
Collin Sexton,John Collins,18.5,13.5,17.15,10.19,under,under,0.59,0.871,0.4628,0.012,0.293,0.153,0.39,0.194,0,Monte Carlo
Giannis Antetokounmpo,Stephen Curry,30.5,24.5,21.22,23.75,under,under,0.963,0.532,0.4617,0.385,-0.046,0.17,0.39,0.193,0,Monte Carlo
OG Anunoby,Domantas Sabonis,15.5,14.5,15.0,10.02,under,under,0.524,0.982,0.4634,-0.054,0.404,0.175,0.39,0.195,0,Monte Carlo
Shai Gilgeous-Alexander,Buddy Hield,32.5,7.5,23.05,9.45,under,over,0.866,0.596,0.4645,0.288,0.018,0.153,0.39,0.197,0,Monte Carlo
LaMelo Ball,Karl-Anthony Towns,25.5,22.0,22.82,18.3,under,under,0.672,0.763,0.4615,0.094,0.185,0.139,0.38,0.192,0,Monte Carlo
Davion Mitchell,Jalen Brunson,10.5,27.5,6.7,23.13,under,under,0.665,0.77,0.4607,0.087,0.192,0.139,0.38,0.191,0,Monte Carlo
Davion Mitchell,Ryan Rollins,10.5,11.0,6.7,13.11,under,over,0.665,0.77,0.461,0.087,0.192,0.14,0.38,0.191,0,Monte Carlo
Quentin Grimes,Brandin Podziemski,14.5,11.5,16.06,8.55,over,under,0.584,0.877,0.4607,0.006,0.299,0.152,0.38,0.191,0,Monte Carlo
Domantas Sabonis,Chet Holmgren,14.5,18.5,10.02,18.85,under,over,0.983,0.522,0.4616,0.405,-0.056,0.174,0.38,0.192,0,Monte Carlo
VJ Edgecombe,Kyle Kuzma,19.5,8.5,26.29,9.15,over,over,0.826,0.621,0.4613,0.248,0.043,0.145,0.38,0.192,0,Monte Carlo
VJ Edgecombe,Bobby Portis,19.5,9.5,26.29,7.54,over,under,0.826,0.617,0.4584,0.248,0.039,0.143,0.38,0.188,0,Monte Carlo
VJ Edgecombe,Ivica Zubac,19.5,15.5,26.29,13.35,over,under,0.826,0.617,0.4584,0.248,0.039,0.143,0.38,0.188,0,Monte Carlo
Kyshawn George,Ryan Rollins,14.5,11.0,17.68,13.11,over,over,0.662,0.77,0.4587,0.084,0.192,0.138,0.38,0.188,0,Monte Carlo
Josh Hart,Al Horford,9.5,7.5,5.8,7.65,under,over,0.96,0.532,0.4597,0.382,-0.046,0.168,0.38,0.19,0,Monte Carlo
Giannis Antetokounmpo,Aaron Wiggins,30.5,12.5,21.22,13.02,under,over,0.963,0.53,0.4591,0.385,-0.049,0.168,0.38,0.189,0,Monte Carlo
Jalen Brunson,Isaiah Hartenstein,27.5,10.5,23.13,8.01,under,under,0.778,0.659,0.4612,0.2,0.081,0.14,0.38,0.192,0,Monte Carlo
Dru Smith,Cole Anthony,5.5,10.5,7.0,7.89,over,under,0.58,0.882,0.461,0.002,0.304,0.153,0.38,0.191,0,Monte Carlo
Ryan Kalkbrenner,Isaiah Hartenstein,8.0,10.5,10.67,8.01,over,under,0.777,0.659,0.4604,0.199,0.081,0.14,0.38,0.191,0,Monte Carlo
Josh Hart,Stephen Curry,9.5,24.5,5.8,23.75,under,under,0.96,0.532,0.46,0.382,-0.046,0.168,0.38,0.19,0,Monte Carlo
Giannis Antetokounmpo,Al Horford,30.5,7.5,21.22,7.65,under,over,0.963,0.532,0.4614,0.385,-0.046,0.17,0.38,0.192,0,Monte Carlo
Collin Sexton,Shai Gilgeous-Alexander,18.5,32.5,17.15,23.05,under,under,0.59,0.863,0.4585,0.012,0.285,0.149,0.38,0.188,0,Monte Carlo
Mikal Bridges,Ivica Zubac,14.5,15.5,11.73,13.35,under,under,0.831,0.617,0.4611,0.253,0.039,0.146,0.38,0.192,0,Monte Carlo
Kyshawn George,Jalen Brunson,14.5,27.5,17.68,23.13,over,under,0.662,0.77,0.4585,0.084,0.192,0.138,0.38,0.188,0,Monte Carlo
Corey Kispert,Karl-Anthony Towns,8.0,22.0,6.69,18.3,under,under,0.67,0.763,0.4596,0.091,0.185,0.138,0.38,0.189,0,Monte Carlo
Tre Mann,Domantas Sabonis,8.5,14.5,8.79,10.02,over,under,0.517,0.982,0.4567,-0.061,0.404,0.171,0.37,0.185,0,Monte Carlo
Josh Hart,Russell Westbrook,9.5,7.5,5.8,7.34,under,under,0.96,0.528,0.4558,0.382,-0.05,0.166,0.37,0.184,0,Monte Carlo
Dru Smith,Brandin Podziemski,5.5,11.5,7.0,8.55,over,under,0.58,0.877,0.4581,0.002,0.299,0.151,0.37,0.187,0,Monte Carlo
Giannis Antetokounmpo,Russell Westbrook,30.5,7.5,21.22,7.34,under,under,0.963,0.528,0.4575,0.385,-0.05,0.167,0.37,0.186,0,Monte Carlo
Josh Hart,Aaron Wiggins,9.5,12.5,5.8,13.02,under,over,0.96,0.53,0.4574,0.382,-0.049,0.167,0.37,0.186,0,Monte Carlo
Dru Smith,John Collins,5.5,13.5,7.0,10.19,over,under,0.58,0.871,0.4551,0.002,0.293,0.148,0.37,0.183,0,Monte Carlo
Kon Knueppel,Isaiah Hartenstein,13.5,10.5,11.34,8.01,under,under,0.768,0.659,0.4555,0.19,0.081,0.135,0.37,0.183,0,Monte Carlo
Kel'el Ware,Jonathan Kuminga,10.5,16.5,13.42,14.27,over,under,0.627,0.809,0.4565,0.049,0.231,0.14,0.37,0.185,0,Monte Carlo
Kel'el Ware,Moses Moody,10.5,9.5,13.42,11.3,over,over,0.627,0.81,0.4572,0.049,0.232,0.141,0.37,0.186,0,Monte Carlo
Quentin Grimes,John Collins,14.5,13.5,16.06,10.19,over,under,0.584,0.871,0.4576,0.006,0.293,0.149,0.37,0.186,0,Monte Carlo
Domantas Sabonis,Ajay Mitchell,14.5,14.5,10.02,14.74,under,over,0.983,0.518,0.458,0.405,-0.06,0.172,0.37,0.187,0,Monte Carlo
Davion Mitchell,Kon Knueppel,10.5,13.5,6.7,11.34,under,under,0.665,0.76,0.4551,0.087,0.182,0.135,0.37,0.183,0,Monte Carlo
Davion Mitchell,Karl-Anthony Towns,10.5,22.0,6.7,18.3,under,under,0.665,0.763,0.4565,0.087,0.185,0.136,0.37,0.185,0,Monte Carlo
Corey Kispert,Kon Knueppel,8.0,13.5,6.69,11.34,under,under,0.67,0.76,0.4582,0.091,0.182,0.137,0.37,0.187,0,Monte Carlo
Karl-Anthony Towns,Isaiah Hartenstein,22.0,10.5,18.3,8.01,under,under,0.771,0.659,0.4571,0.193,0.081,0.137,0.37,0.186,0,Monte Carlo
Tyrese Maxey,Ryan Kalkbrenner,28.5,8.0,25.84,10.67,under,over,0.645,0.785,0.4558,0.067,0.207,0.137,0.37,0.184,0,Monte Carlo
Kel'el Ware,Malik Monk,10.5,12.5,13.42,14.57,over,over,0.627,0.803,0.453,0.049,0.225,0.137,0.36,0.179,0,Monte Carlo
Jalen Brunson,Myles Turner,27.5,13.5,23.13,11.52,under,under,0.778,0.647,0.4529,0.2,0.069,0.134,0.36,0.179,0,Monte Carlo
Alex Sarr,VJ Edgecombe,13.5,19.5,12.72,26.29,under,over,0.603,0.834,0.4526,0.025,0.256,0.14,0.36,0.179,0,Monte Carlo
Zach LaVine,Jonathan Kuminga,21.5,16.5,22.18,14.27,over,under,0.624,0.809,0.454,0.046,0.231,0.138,0.36,0.181,0,Monte Carlo
Cole Anthony,Chris Paul,10.5,4.5,7.89,5.04,under,over,0.887,0.568,0.4533,0.309,-0.01,0.149,0.36,0.18,0,Monte Carlo
DeMar DeRozan,Kawhi Leonard,19.5,24.5,15.71,20.35,under,under,0.703,0.715,0.4524,0.125,0.137,0.131,0.36,0.179,0,Monte Carlo
Quentin Grimes,Shai Gilgeous-Alexander,14.5,32.5,16.06,23.05,over,under,0.584,0.863,0.4534,0.006,0.285,0.145,0.36,0.18,0,Monte Carlo
Zach LaVine,Moses Moody,21.5,9.5,22.18,11.3,over,over,0.624,0.81,0.4547,0.046,0.232,0.139,0.36,0.182,0,Monte Carlo
Ryan Rollins,Isaiah Hartenstein,11.0,10.5,13.11,8.01,over,under,0.763,0.659,0.4523,0.185,0.081,0.133,0.36,0.178,0,Monte Carlo
OG Anunoby,Giannis Antetokounmpo,15.5,30.5,15.0,21.22,under,under,0.524,0.962,0.4543,-0.054,0.384,0.165,0.36,0.181,0,Monte Carlo
Kyshawn George,Kon Knueppel,14.5,13.5,17.68,11.34,over,under,0.662,0.76,0.4529,0.084,0.182,0.133,0.36,0.179,0,Monte Carlo
Giannis Antetokounmpo,Chet Holmgren,30.5,18.5,21.22,18.85,under,over,0.963,0.522,0.4525,0.385,-0.056,0.165,0.36,0.179,0,Monte Carlo
Kyshawn George,Karl-Anthony Towns,14.5,22.0,17.68,18.3,over,under,0.662,0.763,0.4543,0.084,0.185,0.134,0.36,0.182,0,Monte Carlo
Ryan Kalkbrenner,Myles Turner,8.0,13.5,10.67,11.52,over,under,0.777,0.647,0.4522,0.199,0.069,0.134,0.36,0.178,0,Monte Carlo
Andrew Wiggins,Cole Anthony,16.5,10.5,15.22,7.89,under,under,0.567,0.882,0.4505,-0.011,0.304,0.147,0.35,0.176,0,Monte Carlo
Brandin Podziemski,Chris Paul,11.5,4.5,8.55,5.04,under,over,0.879,0.568,0.4492,0.301,-0.01,0.145,0.35,0.174,0,Monte Carlo
Joel Embiid,Miles Bridges,18.5,19.5,8.92,19.46,under,under,1.0,0.499,0.449,0.422,-0.079,0.171,0.35,0.174,0,Monte Carlo
Jalen Brunson,Luguentz Dort,27.5,9.5,23.13,8.56,under,under,0.778,0.644,0.4513,0.2,0.066,0.133,0.35,0.177,0,Monte Carlo
Tre Johnson,Mikal Bridges,13.5,14.5,12.94,11.73,under,under,0.601,0.83,0.4485,0.023,0.252,0.137,0.35,0.173,0,Monte Carlo
Alex Sarr,Mikal Bridges,13.5,14.5,12.72,11.73,under,under,0.603,0.83,0.4503,0.025,0.252,0.138,0.35,0.175,0,Monte Carlo
Karl-Anthony Towns,Myles Turner,22.0,13.5,18.3,11.52,under,under,0.771,0.647,0.4489,0.193,0.069,0.131,0.35,0.173,0,Monte Carlo
Cole Anthony,Cason Wallace,10.5,9.5,7.89,8.11,under,under,0.887,0.563,0.4496,0.309,-0.015,0.147,0.35,0.174,0,Monte Carlo
Kyle Kuzma,Moses Moody,8.5,9.5,9.15,11.3,over,over,0.616,0.81,0.4495,0.038,0.232,0.135,0.35,0.174,0,Monte Carlo
Kyle Kuzma,Jonathan Kuminga,8.5,16.5,9.15,14.27,over,under,0.616,0.809,0.4487,0.038,0.231,0.135,0.35,0.173,0,Monte Carlo
Bobby Portis,Jonathan Kuminga,9.5,16.5,7.54,14.27,under,under,0.618,0.809,0.4501,0.04,0.231,0.135,0.35,0.175,0,Monte Carlo
Giannis Antetokounmpo,Ajay Mitchell,30.5,14.5,21.22,14.74,under,over,0.963,0.518,0.449,0.385,-0.06,0.163,0.35,0.173,0,Monte Carlo
Ryan Kalkbrenner,Luguentz Dort,8.0,9.5,10.67,8.56,over,under,0.777,0.644,0.4505,0.199,0.066,0.133,0.35,0.176,0,Monte Carlo
Bobby Portis,Moses Moody,9.5,9.5,7.54,11.3,under,over,0.618,0.81,0.4508,0.04,0.232,0.136,0.35,0.176,0,Monte Carlo
Josh Hart,Chet Holmgren,9.5,18.5,5.8,18.85,under,over,0.96,0.522,0.4508,0.382,-0.056,0.163,0.35,0.176,0,Monte Carlo
Dru Smith,Shai Gilgeous-Alexander,5.5,32.5,7.0,23.05,over,under,0.58,0.863,0.4508,0.002,0.285,0.144,0.35,0.176,0,Monte Carlo
Cam Whitmore,Cole Anthony,10.5,10.5,11.28,7.89,over,under,0.566,0.882,0.4493,-0.012,0.304,0.146,0.35,0.174,0,Monte Carlo
Ivica Zubac,Jonathan Kuminga,15.5,16.5,13.35,14.27,under,under,0.618,0.809,0.4501,0.04,0.231,0.135,0.35,0.175,0,Monte Carlo
Ivica Zubac,Moses Moody,15.5,9.5,13.35,11.3,under,over,0.618,0.81,0.4508,0.04,0.232,0.136,0.35,0.176,0,Monte Carlo
Cam Whitmore,Brandin Podziemski,10.5,11.5,11.28,8.55,over,under,0.566,0.877,0.4465,-0.012,0.299,0.143,0.34,0.17,0,Monte Carlo
Josh Hart,Ajay Mitchell,9.5,14.5,5.8,14.74,under,over,0.96,0.518,0.4473,0.382,-0.06,0.161,0.34,0.171,0,Monte Carlo
Tre Mann,Josh Hart,8.5,9.5,8.79,5.8,over,under,0.517,0.958,0.4457,-0.061,0.38,0.159,0.34,0.169,0,Monte Carlo
Tre Mann,Giannis Antetokounmpo,8.5,30.5,8.79,21.22,over,under,0.517,0.962,0.4478,-0.061,0.384,0.162,0.34,0.172,0,Monte Carlo
Bobby Portis,Malik Monk,9.5,12.5,7.54,14.57,under,over,0.618,0.803,0.4466,0.04,0.225,0.132,0.34,0.17,0,Monte Carlo
Mikal Bridges,Buddy Hield,14.5,7.5,11.73,9.45,under,over,0.831,0.596,0.4456,0.253,0.018,0.135,0.34,0.168,0,Monte Carlo
Miles Bridges,Domantas Sabonis,19.5,14.5,19.46,10.02,under,under,0.506,0.982,0.447,-0.072,0.404,0.166,0.34,0.171,0,Monte Carlo
Cole Anthony,Keon Ellis,10.5,6.5,7.89,5.92,under,under,0.887,0.561,0.4481,0.309,-0.017,0.146,0.34,0.172,0,Monte Carlo
Bam Adebayo,Cole Anthony,21.5,10.5,22.79,7.89,over,under,0.561,0.882,0.4457,-0.017,0.304,0.144,0.34,0.169,0,Monte Carlo
Cole Anthony,James Harden,10.5,20.5,7.89,19.4,under,under,0.887,0.559,0.446,0.309,-0.019,0.145,0.34,0.169,0,Monte Carlo
Andrew Wiggins,Brandin Podziemski,16.5,11.5,15.22,8.55,under,under,0.567,0.877,0.4477,-0.011,0.299,0.144,0.34,0.172,0,Monte Carlo
Cason Wallace,Brandin Podziemski,9.5,11.5,8.11,8.55,under,under,0.564,0.877,0.4454,-0.014,0.299,0.143,0.34,0.168,0,Monte Carlo
Karl-Anthony Towns,Luguentz Dort,22.0,9.5,18.3,8.56,under,under,0.771,0.644,0.4472,0.193,0.066,0.13,0.34,0.171,0,Monte Carlo
Tyrese Maxey,Ryan Rollins,28.5,11.0,25.84,13.11,under,over,0.645,0.77,0.4472,0.067,0.192,0.13,0.34,0.171,0,Monte Carlo
Kon Knueppel,Myles Turner,13.5,13.5,11.34,11.52,under,under,0.768,0.647,0.4473,0.19,0.069,0.13,0.34,0.171,0,Monte Carlo
Kon Knueppel,Luguentz Dort,13.5,9.5,11.34,8.56,under,under,0.768,0.644,0.4456,0.19,0.066,0.128,0.34,0.168,0,Monte Carlo
Tyrese Maxey,Jalen Brunson,28.5,27.5,25.84,23.13,under,under,0.645,0.77,0.4469,0.067,0.192,0.129,0.34,0.17,0,Monte Carlo
Kyle Kuzma,Malik Monk,8.5,12.5,9.15,14.57,over,over,0.616,0.803,0.4453,0.038,0.225,0.131,0.34,0.168,0,Monte Carlo
Shai Gilgeous-Alexander,Chris Paul,32.5,4.5,23.05,5.04,under,over,0.866,0.568,0.4426,0.288,-0.01,0.139,0.33,0.164,0,Monte Carlo
Brandin Podziemski,James Harden,11.5,20.5,8.55,19.4,under,under,0.879,0.559,0.442,0.301,-0.019,0.141,0.33,0.163,0,Monte Carlo
Andrew Wiggins,John Collins,16.5,13.5,15.22,10.19,under,under,0.567,0.871,0.4447,-0.011,0.293,0.141,0.33,0.167,0,Monte Carlo
VJ Edgecombe,Tre Johnson,19.5,13.5,26.29,12.94,over,under,0.826,0.598,0.4445,0.248,0.02,0.134,0.33,0.167,0,Monte Carlo
Cason Wallace,John Collins,9.5,13.5,8.11,10.19,under,under,0.564,0.871,0.4424,-0.014,0.293,0.14,0.33,0.164,0,Monte Carlo
VJ Edgecombe,Buddy Hield,19.5,7.5,26.29,9.45,over,over,0.826,0.596,0.443,0.248,0.018,0.133,0.33,0.165,0,Monte Carlo
Kel'el Ware,Ryan Kalkbrenner,10.5,8.0,13.42,10.67,over,over,0.627,0.785,0.443,0.049,0.207,0.128,0.33,0.164,0,Monte Carlo
Bam Adebayo,Brandin Podziemski,21.5,11.5,22.79,8.55,over,under,0.561,0.877,0.4429,-0.017,0.299,0.141,0.33,0.164,0,Monte Carlo
Keon Ellis,Brandin Podziemski,6.5,11.5,5.92,8.55,under,under,0.563,0.877,0.4444,-0.015,0.299,0.142,0.33,0.167,0,Monte Carlo
Ryan Rollins,Luguentz Dort,11.0,9.5,13.11,8.56,over,under,0.763,0.644,0.4426,0.185,0.066,0.126,0.33,0.164,0,Monte Carlo
Cam Whitmore,John Collins,10.5,13.5,11.28,10.19,over,under,0.566,0.871,0.4435,-0.012,0.293,0.14,0.33,0.165,0,Monte Carlo
Tyrese Maxey,Karl-Anthony Towns,28.5,22.0,25.84,18.3,under,under,0.645,0.763,0.4429,0.067,0.185,0.126,0.33,0.164,0,Monte Carlo
Tyrese Maxey,Kon Knueppel,28.5,13.5,25.84,11.34,under,under,0.645,0.76,0.4415,0.067,0.182,0.125,0.32,0.162,0,Monte Carlo
Jalen Brunson,Zach LaVine,27.5,21.5,23.13,22.18,under,over,0.778,0.628,0.4396,0.2,0.05,0.125,0.32,0.159,0,Monte Carlo
Ryan Kalkbrenner,Zach LaVine,8.0,21.5,10.67,22.18,over,over,0.777,0.628,0.4389,0.199,0.05,0.124,0.32,0.158,0,Monte Carlo
Khris Middleton,Cole Anthony,13.5,10.5,14.53,7.89,over,under,0.553,0.882,0.4392,-0.025,0.304,0.14,0.32,0.159,0,Monte Carlo
Cam Whitmore,Shai Gilgeous-Alexander,10.5,32.5,11.28,23.05,over,under,0.566,0.863,0.4394,-0.012,0.285,0.136,0.32,0.159,0,Monte Carlo
Bam Adebayo,John Collins,21.5,13.5,22.79,10.19,over,under,0.561,0.871,0.44,-0.017,0.293,0.138,0.32,0.16,0,Monte Carlo
Collin Sexton,Mikal Bridges,18.5,14.5,17.15,11.73,under,under,0.59,0.83,0.4409,0.012,0.252,0.132,0.32,0.161,0,Monte Carlo
Alex Sarr,Moses Moody,13.5,9.5,12.72,11.3,under,over,0.603,0.81,0.4396,0.025,0.232,0.128,0.32,0.159,0,Monte Carlo
Keon Ellis,John Collins,6.5,13.5,5.92,10.19,under,under,0.563,0.871,0.4414,-0.015,0.293,0.139,0.32,0.162,0,Monte Carlo
Andrew Wiggins,Shai Gilgeous-Alexander,16.5,32.5,15.22,23.05,under,under,0.567,0.863,0.4406,-0.011,0.285,0.137,0.32,0.161,0,Monte Carlo
