NAME,BOOKMAKER,CATEGORY,LINE,ODDS,SIDE,PREDICTION,RECOMMENDATION,OVER%,UNDER%,IMPLIED PROB,MODEL PROB,EDGE,EV%,KELLY_FRACTION,KELLY_DOLLARS,CONFIDENCE INTERVAL,INTERVAL WIDTH,SIGMA,SIGMA FLAG,SIMULATION_METHOD
Ben Sheppard,Bovada,player_points,12.5,180,Over,14.68,0,0.617,0.383,0.357,0.617,0.26,7.28,0.404,4.5,"(0.3, 29.0)",28.74,7.33,High,Analytical
Jonas Valanciunas,Bovada,player_points,6.5,-115,Over,14.27,0,0.92,0.08,0.535,0.92,0.385,7.2,0.828,2.17,"(3.4, 25.1)",21.67,5.53,Med,Analytical
Ausar Thompson,Bovada,player_points,14.5,145,Over,20.24,0,0.702,0.298,0.408,0.702,0.294,7.2,0.496,3.63,"(0.0, 41.5)",41.47,10.83,High,Analytical
Walker Kessler,Bovada,player_points,12.5,145,Over,16.14,0,0.702,0.298,0.408,0.702,0.293,7.19,0.496,3.63,"(2.7, 29.6)",26.97,6.88,High,Analytical
Dennis Schroder,BetRivers,player_points,13.5,120,Over,20.03,0,0.781,0.219,0.455,0.781,0.327,7.19,0.599,3.0,"(3.5, 36.5)",32.96,8.41,High,Analytical
Keyonte George,Bovada,player_points,20.5,150,Over,25.33,0,0.687,0.313,0.4,0.687,0.287,7.17,0.478,3.75,"(5.9, 44.8)",38.9,9.92,High,Analytical
Josh Okogie,BetOnline.ag,player_points,8.5,100,Over,16.27,0,0.858,0.142,0.5,0.858,0.358,7.16,0.716,2.5,"(2.1, 30.5)",28.44,7.25,High,Analytical
Josh Okogie,FanDuel,player_points,8.5,100,Over,16.27,0,0.858,0.142,0.5,0.858,0.358,7.16,0.716,2.5,"(2.1, 30.5)",28.44,7.25,High,Analytical
Taylor Hendricks,BetMGM,player_points,4.5,-105,Over,11.85,0,0.878,0.122,0.512,0.878,0.365,7.13,0.749,2.38,"(0.0, 24.3)",24.25,6.32,High,Analytical
Jonas Valanciunas,BetOnline.ag,player_points,6.5,-116,Over,14.27,0,0.92,0.08,0.537,0.92,0.383,7.13,0.827,2.16,"(3.4, 25.1)",21.67,5.53,Med,Analytical
Steven Adams,BetMGM,player_points,4.5,-110,Over,12.19,0,0.896,0.104,0.524,0.896,0.372,7.11,0.782,2.27,"(0.2, 24.1)",23.92,6.1,High,Analytical
Scottie Barnes,Bovada,player_points,19.5,150,Over,23.51,0,0.682,0.318,0.4,0.682,0.282,7.05,0.47,3.75,"(6.9, 40.1)",33.19,8.47,High,Analytical
Zaccharie Risacher,BetRivers,player_points,11.5,117,Over,18.01,0,0.785,0.215,0.461,0.785,0.325,7.04,0.602,2.92,"(1.9, 34.1)",32.25,8.23,High,Analytical
Deni Avdija,Bovada,player_points,23.5,145,Over,28.39,0,0.696,0.304,0.408,0.696,0.288,7.04,0.486,3.63,"(9.7, 47.1)",37.46,9.56,High,Analytical
Isaac Okoro,Bovada,player_points,9.5,175,Over,11.48,0,0.619,0.381,0.364,0.619,0.255,7.01,0.401,4.38,"(0.0, 24.3)",24.32,6.55,High,Analytical
Jonas Valanciunas,DraftKings,player_points,6.5,-118,Over,14.27,0,0.92,0.08,0.541,0.92,0.379,7.0,0.825,2.12,"(3.4, 25.1)",21.67,5.53,Med,Analytical
Royce O'Neale,Bovada,player_points,11.5,130,Over,16.83,0,0.737,0.263,0.435,0.737,0.302,6.95,0.535,3.25,"(0.4, 33.3)",32.95,8.41,High,Analytical
Aaron Gordon,BetRivers,player_points,17.5,112,Over,22.28,0,0.799,0.201,0.472,0.799,0.327,6.93,0.619,2.8,"(11.1, 33.5)",22.4,5.71,Med,Analytical
Walter Clayton Jr.,Bovada,player_points,10.5,155,Over,13.43,0,0.664,0.336,0.392,0.664,0.272,6.93,0.447,3.87,"(0.0, 27.0)",27.0,6.93,High,Analytical
Josh Okogie,BetRivers,player_points,8.5,-103,Over,16.27,0,0.858,0.142,0.507,0.858,0.351,6.91,0.712,2.43,"(2.1, 30.5)",28.44,7.25,High,Analytical
Aaron Gordon,BetMGM,player_points,16.5,100,Over,22.28,0,0.844,0.156,0.5,0.844,0.344,6.89,0.689,2.5,"(11.1, 33.5)",22.4,5.71,Med,Analytical
P.J. Washington,Bovada,player_points,17.5,180,Over,19.62,0,0.6,0.4,0.357,0.6,0.243,6.79,0.377,4.5,"(3.2, 36.0)",32.85,8.38,High,Analytical
Derik Queen,Bovada,player_points,10.5,190,Over,11.84,0,0.578,0.422,0.345,0.578,0.233,6.76,0.356,4.75,"(0.0, 25.2)",25.19,6.81,High,Analytical
Josh Okogie,Bovada,player_points,8.5,-105,Over,16.27,0,0.858,0.142,0.512,0.858,0.346,6.75,0.709,2.38,"(2.1, 30.5)",28.44,7.25,High,Analytical
Mike Conley,Bovada,player_points,11.5,200,Over,12.56,0,0.557,0.443,0.333,0.557,0.224,6.72,0.336,5.0,"(0.0, 26.9)",26.92,7.33,High,Analytical
Amen Thompson,Bovada,player_points,19.5,190,Over,22.32,0,0.576,0.424,0.345,0.576,0.231,6.71,0.353,4.75,"(0.0, 51.1)",51.09,14.68,High,Analytical
Jrue Holiday,Bovada,player_points,17.5,165,Over,20.41,0,0.63,0.37,0.377,0.63,0.253,6.7,0.406,4.12,"(3.3, 37.5)",34.28,8.74,High,Analytical
Kentavious Caldwell-Pope,BetRivers,player_points,9.5,112,Over,16.45,0,0.785,0.215,0.472,0.785,0.313,6.64,0.593,2.8,"(0.0, 33.7)",33.7,8.8,High,Analytical
Jarred Vanderbilt,Bovada,player_points,9.5,200,Over,10.35,0,0.554,0.446,0.333,0.554,0.221,6.62,0.331,5.0,"(0.0, 22.6)",22.63,6.26,High,Analytical
Kevin Durant,BetRivers,player_points,27.5,117,Over,34.19,0,0.766,0.234,0.461,0.766,0.305,6.62,0.566,2.92,"(16.1, 52.2)",36.12,9.21,High,Analytical
Jeremiah Fears,Bovada,player_points,12.5,145,Over,16.22,0,0.677,0.323,0.408,0.677,0.269,6.58,0.454,3.63,"(0.3, 32.1)",31.78,8.11,High,Analytical
Bronny James,Bovada,player_points,5.5,110,Over,10.09,0,0.789,0.211,0.476,0.789,0.313,6.57,0.598,2.75,"(0.0, 21.3)",21.27,5.71,Med,Analytical
Aaron Gordon,FanDuel,player_points,16.5,-104,Over,22.28,0,0.844,0.156,0.51,0.844,0.334,6.56,0.682,2.4,"(11.1, 33.5)",22.4,5.71,Med,Analytical
Sam Hauser,Bovada,player_points,11.5,190,Over,12.86,0,0.57,0.43,0.345,0.57,0.225,6.54,0.344,4.75,"(0.0, 27.9)",27.88,7.67,High,Analytical
Keon Ellis,Bovada,player_points,7.5,150,Over,10.23,0,0.66,0.34,0.4,0.66,0.26,6.5,0.434,3.75,"(0.0, 23.2)",23.17,6.6,High,Analytical
Aaron Gordon,BetOnline.ag,player_points,16.5,-105,Over,22.28,0,0.844,0.156,0.512,0.844,0.332,6.48,0.681,2.38,"(11.1, 33.5)",22.4,5.71,Med,Analytical
Zion Williamson,Bovada,player_points,28.5,190,Over,29.95,0,0.568,0.432,0.345,0.568,0.223,6.47,0.34,4.75,"(13.3, 46.6)",33.3,8.49,High,Analytical
Lauri Markkanen,Bovada,player_points,27.5,190,Over,29.3,0,0.568,0.432,0.345,0.568,0.223,6.47,0.341,4.75,"(8.6, 50.0)",41.33,10.54,High,Analytical
Donovan Clingan,Bovada,player_points,10.5,125,Over,14.76,0,0.731,0.269,0.444,0.731,0.287,6.45,0.516,3.12,"(1.2, 28.3)",27.11,6.92,High,Analytical
Oso Ighodaro,FanDuel,player_points,5.5,-106,Over,11.97,0,0.845,0.155,0.515,0.845,0.33,6.42,0.681,2.36,"(0.0, 24.5)",24.48,6.38,High,Analytical
Tristan da Silva,Bovada,player_points,7.5,105,Over,13.64,0,0.8,0.2,0.488,0.8,0.312,6.39,0.609,2.62,"(0.0, 28.0)",27.97,7.31,High,Analytical
Reed Sheppard,BetRivers,player_points,10.5,104,Over,18.86,0,0.803,0.197,0.49,0.803,0.312,6.37,0.613,2.6,"(0.0, 38.1)",38.11,9.82,High,Analytical
Kevin Durant,Bovada,player_points,26.5,105,Over,34.19,0,0.798,0.202,0.488,0.798,0.31,6.36,0.605,2.62,"(16.1, 52.2)",36.12,9.21,High,Analytical
Dennis Schroder,BetMGM,player_points,12.5,100,Over,20.03,0,0.815,0.185,0.5,0.815,0.315,6.29,0.629,2.5,"(3.5, 36.5)",32.96,8.41,High,Analytical
Jaxson Hayes,BetMGM,player_points,4.5,-110,Over,10.67,0,0.852,0.148,0.524,0.852,0.328,6.27,0.69,2.27,"(0.0, 22.2)",22.24,5.9,Med,Analytical
Jamal Murray,Bovada,player_points,25.5,165,Over,28.69,0,0.613,0.387,0.377,0.613,0.236,6.26,0.379,4.12,"(7.0, 50.4)",43.43,11.08,High,Analytical
Jock Landale,Bovada,player_points,11.5,200,Over,12.22,0,0.542,0.458,0.333,0.542,0.209,6.26,0.313,5.0,"(0.0, 25.7)",25.68,6.87,High,Analytical
Aaron Gordon,BetRivers,player_points,16.5,-110,Over,22.28,0,0.844,0.156,0.524,0.844,0.32,6.12,0.673,2.27,"(11.1, 33.5)",22.4,5.71,Med,Analytical
Deni Avdija,Bovada,player_points,22.5,120,Over,28.39,0,0.731,0.269,0.455,0.731,0.277,6.09,0.507,3.0,"(9.7, 47.1)",37.46,9.56,High,Analytical
Kentavious Caldwell-Pope,Bovada,player_points,9.5,105,Over,16.45,0,0.785,0.215,0.488,0.785,0.297,6.09,0.58,2.62,"(0.0, 33.7)",33.7,8.8,High,Analytical
Ben Saraf,Bovada,player_points,5.5,105,Over,10.65,0,0.784,0.216,0.488,0.784,0.296,6.07,0.578,2.62,"(0.0, 23.5)",23.5,6.56,High,Analytical
Klay Thompson,Bovada,player_points,13.5,190,Over,14.65,0,0.553,0.447,0.345,0.553,0.209,6.05,0.318,4.75,"(0.0, 31.4)",31.38,8.54,High,Analytical
Ben Sheppard,Bovada,player_points,12.5,160,Over,14.68,0,0.617,0.383,0.385,0.617,0.232,6.04,0.378,4.0,"(0.3, 29.0)",28.74,7.33,High,Analytical
Ben Sheppard,Bovada,player_points,11.5,140,Over,14.68,0,0.668,0.332,0.417,0.668,0.251,6.03,0.431,3.5,"(0.3, 29.0)",28.74,7.33,High,Analytical
Jalen Smith,BetMGM,player_points,6.5,100,Over,13.61,0,0.801,0.199,0.5,0.801,0.301,6.02,0.602,2.5,"(0.0, 30.1)",30.08,8.41,High,Analytical
Jamal Shead,Bovada,player_points,6.5,130,Over,9.58,0,0.695,0.305,0.435,0.695,0.26,5.99,0.46,3.25,"(0.0, 21.4)",21.41,6.03,High,Analytical
Dennis Schroder,BetRivers,player_points,12.5,-104,Over,20.03,0,0.815,0.185,0.51,0.815,0.305,5.98,0.622,2.4,"(3.5, 36.5)",32.96,8.41,High,Analytical
Josh Giddey,BetRivers,player_points,19.5,104,Over,27.13,0,0.782,0.218,0.49,0.782,0.292,5.96,0.573,2.6,"(8.0, 46.3)",38.36,9.79,High,Analytical
Kevin Durant,BetRivers,player_points,26.5,100,Over,34.19,0,0.798,0.202,0.5,0.798,0.298,5.96,0.596,2.5,"(16.1, 52.2)",36.12,9.21,High,Analytical
Zion Williamson,Bovada,player_points,27.5,160,Over,29.95,0,0.614,0.386,0.385,0.614,0.229,5.95,0.372,4.0,"(13.3, 46.6)",33.3,8.49,High,Analytical
Kevin Durant,BetOnline.ag,player_points,25.5,-108,Over,34.19,0,0.827,0.173,0.519,0.827,0.308,5.93,0.64,2.31,"(16.1, 52.2)",36.12,9.21,High,Analytical
Scottie Barnes,Bovada,player_points,18.5,120,Over,23.51,0,0.723,0.277,0.455,0.723,0.268,5.91,0.492,3.0,"(6.9, 40.1)",33.19,8.47,High,Analytical
Dennis Schroder,Bovada,player_points,12.5,-105,Over,20.03,0,0.815,0.185,0.512,0.815,0.303,5.91,0.62,2.38,"(3.5, 36.5)",32.96,8.41,High,Analytical
Aaron Gordon,DraftKings,player_points,16.5,-113,Over,22.28,0,0.844,0.156,0.531,0.844,0.314,5.91,0.668,2.21,"(11.1, 33.5)",22.4,5.71,Med,Analytical
Cameron Johnson,Bovada,player_points,14.5,190,Over,15.93,0,0.548,0.452,0.345,0.548,0.203,5.9,0.31,4.75,"(0.0, 39.0)",39.05,11.8,High,Analytical
Keyonte George,Bovada,player_points,19.5,120,Over,25.33,0,0.721,0.279,0.455,0.721,0.267,5.87,0.489,3.0,"(5.9, 44.8)",38.9,9.92,High,Analytical
Dennis Schroder,DraftKings,player_points,12.5,-106,Over,20.03,0,0.815,0.185,0.515,0.815,0.3,5.83,0.618,2.36,"(3.5, 36.5)",32.96,8.41,High,Analytical
