NAME,BOOKMAKER,CATEGORY,LINE,ODDS,SIDE,PREDICTION,RECOMMENDATION,OVER%,UNDER%,IMPLIED PROB,MODEL PROB,EDGE,EV%,KELLY_FRACTION,KELLY_DOLLARS,CONFIDENCE INTERVAL,INTERVAL WIDTH,SIGMA,SIGMA FLAG,SIMULATION_METHOD
Deandre Ayton,BetRivers,player_points,15.5,-105,Over,18.6,0,0.661,0.339,0.512,0.661,0.149,2.9,0.304,2.38,"(3.9, 33.3)",29.34,7.48,High,Analytical
P.J. Washington,BetOnline.ag,player_points,14.5,-130,Over,19.62,0,0.729,0.271,0.565,0.729,0.164,2.9,0.377,1.92,"(3.2, 36.0)",32.85,8.38,High,Analytical
Matas Buzelis,FanDuel,player_points,16.5,-122,Over,20.71,0,0.709,0.291,0.55,0.709,0.159,2.9,0.353,2.05,"(5.7, 35.7)",29.99,7.65,High,Analytical
Tony Bradley,BetOnline.ag,player_points,7.5,-123,Over,10.78,0,0.711,0.289,0.552,0.711,0.16,2.9,0.356,2.03,"(0.0, 22.3)",22.33,5.89,Med,Analytical
Keon Ellis,Bovada,player_points,5.5,-145,Over,10.23,0,0.763,0.237,0.592,0.763,0.171,2.89,0.419,1.72,"(0.0, 23.2)",23.17,6.6,High,Analytical
Christian Braun,BetRivers,player_points,13.5,114,Over,16.2,0,0.602,0.398,0.467,0.602,0.135,2.89,0.253,2.85,"(0.0, 36.6)",36.64,10.43,High,Analytical
Amen Thompson,DraftKings,player_points,16.5,-103,Over,22.32,0,0.654,0.346,0.507,0.654,0.147,2.89,0.298,2.43,"(0.0, 51.1)",51.09,14.68,High,Analytical
Isaiah Jackson,FanDuel,player_points,7.5,-120,Over,10.73,0,0.702,0.298,0.545,0.702,0.157,2.88,0.345,2.08,"(0.0, 22.6)",22.64,6.08,High,Analytical
Klay Thompson,BetOnline.ag,player_points,11.5,100,Over,14.65,0,0.644,0.356,0.5,0.644,0.144,2.88,0.288,2.5,"(0.0, 31.4)",31.38,8.54,High,Analytical
Sam Hauser,BetOnline.ag,player_points,8.5,-125,Over,12.86,0,0.715,0.285,0.556,0.715,0.16,2.87,0.359,2.0,"(0.0, 27.9)",27.88,7.67,High,Analytical
Ayo Dosunmu,Bovada,player_points,14.5,115,Over,16.32,0,0.598,0.402,0.465,0.598,0.133,2.87,0.249,2.87,"(2.0, 30.6)",28.59,7.29,High,Analytical
Jamal Murray,BetRivers,player_points,21.5,-136,Over,28.69,0,0.742,0.258,0.576,0.742,0.166,2.87,0.391,1.84,"(7.0, 50.4)",43.43,11.08,High,Analytical
Sam Hauser,BetMGM,player_points,8.5,-125,Over,12.86,0,0.715,0.285,0.556,0.715,0.16,2.87,0.359,2.0,"(0.0, 27.9)",27.88,7.67,High,Analytical
Nikola Vucevic,BetRivers,player_points,20.5,115,Over,23.2,0,0.598,0.402,0.465,0.598,0.133,2.86,0.249,2.86,"(1.9, 44.5)",42.6,10.87,High,Analytical
Alperen Sengun,DraftKings,player_points,21.5,-110,Over,25.55,0,0.674,0.326,0.524,0.674,0.15,2.86,0.315,2.27,"(7.9, 43.2)",35.25,8.99,High,Analytical
Zion Williamson,Bovada,player_points,22.5,-170,Over,29.95,0,0.81,0.19,0.63,0.81,0.18,2.86,0.487,1.47,"(13.3, 46.6)",33.3,8.49,High,Analytical
Trey Murphy III,Bovada,player_points,20.5,190,Over,19.2,0,0.443,0.557,0.345,0.443,0.099,2.86,0.151,2.86,"(1.3, 37.1)",35.76,9.12,High,Analytical
Derik Queen,Bovada,player_points,7.5,-135,Over,11.84,0,0.738,0.262,0.574,0.738,0.163,2.85,0.384,1.85,"(0.0, 25.2)",25.19,6.81,High,Analytical
Lauri Markkanen,BetOnline.ag,player_points,23.5,-123,Over,29.3,0,0.709,0.291,0.552,0.709,0.157,2.85,0.351,2.03,"(8.6, 50.0)",41.33,10.54,High,Analytical
Keon Ellis,BetMGM,player_points,6.5,-125,Over,10.23,0,0.714,0.286,0.556,0.714,0.158,2.85,0.356,2.0,"(0.0, 23.2)",23.17,6.6,High,Analytical
Yves Missi,BetOnline.ag,player_points,6.5,-130,Over,10.12,0,0.726,0.274,0.565,0.726,0.161,2.85,0.37,1.92,"(0.0, 21.9)",21.93,6.02,High,Analytical
Yves Missi,Bovada,player_points,6.5,-130,Over,10.12,0,0.726,0.274,0.565,0.726,0.161,2.85,0.37,1.92,"(0.0, 21.9)",21.93,6.02,High,Analytical
Yves Missi,BetMGM,player_points,6.5,-130,Over,10.12,0,0.726,0.274,0.565,0.726,0.161,2.85,0.37,1.92,"(0.0, 21.9)",21.93,6.02,High,Analytical
Jarred Vanderbilt,FanDuel,player_points,7.5,-111,Over,10.35,0,0.675,0.325,0.526,0.675,0.149,2.84,0.315,2.25,"(0.0, 22.6)",22.63,6.26,High,Analytical
Mark Williams,BetRivers,player_points,12.5,102,Under,10.62,0,0.365,0.635,0.495,0.635,0.14,2.83,0.277,2.55,"(0.0, 21.3)",21.28,5.43,Med,Analytical
Nickeil Alexander-Walker,BetOnline.ag,player_points,12.5,-122,Over,17.31,0,0.705,0.295,0.55,0.705,0.156,2.83,0.345,2.05,"(0.0, 34.8)",34.79,8.92,High,Analytical
Ayo Dosunmu,BetMGM,player_points,12.5,-120,Over,16.32,0,0.7,0.3,0.545,0.7,0.154,2.83,0.339,2.08,"(2.0, 30.6)",28.59,7.29,High,Analytical
Nickeil Alexander-Walker,FanDuel,player_points,12.5,-122,Over,17.31,0,0.705,0.295,0.55,0.705,0.156,2.83,0.345,2.05,"(0.0, 34.8)",34.79,8.92,High,Analytical
Kevin Huerter,BetOnline.ag,player_points,12.5,-109,Over,15.81,0,0.669,0.331,0.522,0.669,0.147,2.82,0.307,2.29,"(0.9, 30.7)",29.74,7.59,High,Analytical
Klay Thompson,DraftKings,player_points,11.5,-101,Over,14.65,0,0.644,0.356,0.502,0.644,0.141,2.81,0.284,2.48,"(0.0, 31.4)",31.38,8.54,High,Analytical
Royce O'Neale,Bovada,player_points,8.5,-190,Over,16.83,0,0.839,0.161,0.655,0.839,0.184,2.81,0.534,1.32,"(0.4, 33.3)",32.95,8.41,High,Analytical
Alperen Sengun,BetRivers,player_points,23.5,117,Over,25.55,0,0.59,0.41,0.461,0.59,0.129,2.81,0.24,2.81,"(7.9, 43.2)",35.25,8.99,High,Analytical
Rui Hachimura,Bovada,player_points,16.5,125,Over,17.96,0,0.569,0.431,0.444,0.569,0.124,2.8,0.224,2.8,"(1.4, 34.5)",33.04,8.43,High,Analytical
Tony Bradley,Bovada,player_points,7.5,-125,Over,10.78,0,0.711,0.289,0.556,0.711,0.156,2.8,0.35,2.0,"(0.0, 22.3)",22.33,5.89,Med,Analytical
Svi Mykhailiuk,BetOnline.ag,player_points,9.5,-105,Over,12.47,0,0.655,0.345,0.512,0.655,0.143,2.8,0.294,2.38,"(0.0, 27.0)",26.99,7.41,High,Analytical
Jeremiah Fears,Bovada,player_points,9.5,-165,Over,16.22,0,0.796,0.204,0.623,0.796,0.174,2.79,0.461,1.52,"(0.3, 32.1)",31.78,8.11,High,Analytical
Brandon Ingram,DraftKings,player_points,19.5,-114,Over,24.22,0,0.681,0.319,0.533,0.681,0.148,2.79,0.317,2.19,"(4.6, 43.9)",39.32,10.03,High,Analytical
Brandon Ingram,BetOnline.ag,player_points,19.5,-114,Over,24.22,0,0.681,0.319,0.533,0.681,0.148,2.79,0.317,2.19,"(4.6, 43.9)",39.32,10.03,High,Analytical
P.J. Washington,Bovada,player_points,13.5,-150,Over,19.62,0,0.767,0.233,0.6,0.767,0.167,2.79,0.418,1.67,"(3.2, 36.0)",32.85,8.38,High,Analytical
Donte DiVincenzo,Bovada,player_points,18.5,200,Over,16.94,0,0.426,0.574,0.333,0.426,0.093,2.79,0.14,2.79,"(0.5, 33.4)",32.93,8.4,High,Analytical
Isaiah Jackson,BetOnline.ag,player_points,7.5,-122,Over,10.73,0,0.702,0.298,0.55,0.702,0.153,2.78,0.339,2.05,"(0.0, 22.6)",22.64,6.08,High,Analytical
Ayo Dosunmu,BetRivers,player_points,12.5,-121,Over,16.32,0,0.7,0.3,0.548,0.7,0.152,2.78,0.336,2.07,"(2.0, 30.6)",28.59,7.29,High,Analytical
Mike Conley,Bovada,player_points,8.5,-125,Over,12.56,0,0.71,0.29,0.556,0.71,0.155,2.78,0.348,2.0,"(0.0, 26.9)",26.92,7.33,High,Analytical
Mark Williams,BetRivers,player_points,13.5,-122,Under,10.62,0,0.298,0.702,0.55,0.702,0.152,2.77,0.338,2.05,"(0.0, 21.3)",21.28,5.43,Med,Analytical
Jay Huff,Bovada,player_points,9.5,150,Over,9.66,0,0.511,0.489,0.4,0.511,0.111,2.77,0.185,2.77,"(0.0, 21.0)",21.02,5.8,Med,Analytical
Walter Clayton Jr.,Bovada,player_points,7.5,-170,Over,13.43,0,0.804,0.196,0.63,0.804,0.174,2.77,0.471,1.47,"(0.0, 27.0)",27.0,6.93,High,Analytical
Christian Braun,FanDuel,player_points,12.5,100,Over,16.2,0,0.639,0.361,0.5,0.639,0.139,2.77,0.277,2.5,"(0.0, 36.6)",36.64,10.43,High,Analytical
Sandro Mamukelashvili,BetOnline.ag,player_points,9.5,100,Over,11.99,0,0.638,0.362,0.5,0.638,0.138,2.77,0.277,2.5,"(0.0, 25.8)",25.8,7.05,High,Analytical
Luke Kennard,BetMGM,player_points,6.5,-110,Over,9.11,0,0.668,0.332,0.524,0.668,0.144,2.76,0.303,2.27,"(0.0, 20.8)",20.84,5.99,Med,Analytical
Brice Sensabaugh,BetMGM,player_points,11.5,-118,Over,15.76,0,0.691,0.309,0.541,0.691,0.149,2.76,0.326,2.12,"(0.0, 32.5)",32.51,8.55,High,Analytical
Jaylen Brown,BetOnline.ag,player_points,23.5,-112,Over,29.33,0,0.674,0.326,0.528,0.674,0.146,2.76,0.309,2.23,"(4.0, 54.7)",50.66,12.92,High,Analytical
Payton Pritchard,Bovada,player_points,18.5,150,Over,18.75,0,0.51,0.49,0.4,0.51,0.11,2.76,0.184,2.76,"(0.0, 37.6)",37.65,9.64,High,Analytical
Yves Missi,BetRivers,player_points,7.5,-110,Over,10.12,0,0.668,0.332,0.524,0.668,0.144,2.76,0.303,2.27,"(0.0, 21.9)",21.93,6.02,High,Analytical
Collin Gillespie,BetMGM,player_points,9.5,-105,Over,12.38,0,0.653,0.347,0.512,0.653,0.141,2.75,0.289,2.38,"(0.0, 26.7)",26.71,7.31,High,Analytical
Deandre Ayton,Bovada,player_points,14.5,-125,Over,18.6,0,0.708,0.292,0.556,0.708,0.153,2.75,0.343,2.0,"(3.9, 33.3)",29.34,7.48,High,Analytical
Jalen Suggs,Bovada,player_points,9.5,-130,Over,13.63,0,0.721,0.279,0.565,0.721,0.156,2.75,0.358,1.92,"(0.0, 27.5)",27.48,7.07,High,Analytical
Kyle Filipowski,BetRivers,player_points,9.5,-130,Over,13.7,0,0.72,0.28,0.565,0.72,0.155,2.74,0.356,1.92,"(0.0, 27.8)",27.8,7.2,High,Analytical
Sam Hauser,FanDuel,player_points,8.5,-128,Over,12.86,0,0.715,0.285,0.561,0.715,0.154,2.74,0.351,1.95,"(0.0, 27.9)",27.88,7.67,High,Analytical
Brandon Ingram,BetMGM,player_points,19.5,-115,Over,24.22,0,0.681,0.319,0.535,0.681,0.146,2.73,0.314,2.17,"(4.6, 43.9)",39.32,10.03,High,Analytical
Jaden McDaniels,FanDuel,player_points,16.5,-108,Over,20.08,0,0.661,0.339,0.519,0.661,0.142,2.73,0.295,2.31,"(3.2, 37.0)",33.8,8.62,High,Analytical
Tyrese Martin,BetMGM,player_points,6.5,-125,Over,9.93,0,0.707,0.293,0.556,0.707,0.151,2.73,0.341,2.0,"(0.0, 22.3)",22.27,6.3,High,Analytical
Jaden McDaniels,BetOnline.ag,player_points,16.5,-108,Over,20.08,0,0.661,0.339,0.519,0.661,0.142,2.73,0.295,2.31,"(3.2, 37.0)",33.8,8.62,High,Analytical
Brandon Ingram,Bovada,player_points,19.5,-115,Over,24.22,0,0.681,0.319,0.535,0.681,0.146,2.73,0.314,2.17,"(4.6, 43.9)",39.32,10.03,High,Analytical
Isaiah Jackson,DraftKings,player_points,7.5,-123,Over,10.73,0,0.702,0.298,0.552,0.702,0.151,2.73,0.336,2.03,"(0.0, 22.6)",22.64,6.08,High,Analytical
Mark Williams,BetOnline.ag,player_points,13.5,-123,Under,10.62,0,0.298,0.702,0.552,0.702,0.15,2.72,0.335,2.03,"(0.0, 21.3)",21.28,5.43,Med,Analytical
Jarred Vanderbilt,Bovada,player_points,6.5,-135,Over,10.35,0,0.731,0.269,0.574,0.731,0.156,2.72,0.367,1.85,"(0.0, 22.6)",22.63,6.26,High,Analytical
Jaylen Brown,BetRivers,player_points,24.5,-103,Over,29.33,0,0.646,0.354,0.507,0.646,0.138,2.72,0.281,2.43,"(4.0, 54.7)",50.66,12.92,High,Analytical
Amen Thompson,FanDuel,player_points,16.5,-106,Over,22.32,0,0.654,0.346,0.515,0.654,0.14,2.71,0.287,2.36,"(0.0, 51.1)",51.09,14.68,High,Analytical
Jock Landale,BetMGM,player_points,8.5,-125,Over,12.22,0,0.706,0.294,0.556,0.706,0.151,2.71,0.339,2.0,"(0.0, 25.7)",25.68,6.87,High,Analytical
Jock Landale,Bovada,player_points,8.5,-125,Over,12.22,0,0.706,0.294,0.556,0.706,0.151,2.71,0.339,2.0,"(0.0, 25.7)",25.68,6.87,High,Analytical
Domantas Sabonis,Bovada,player_points,15.5,125,Under,14.42,0,0.435,0.565,0.444,0.565,0.12,2.71,0.217,2.71,"(1.5, 27.4)",25.88,6.6,High,Analytical
Devin Booker,Bovada,player_points,31.5,145,Over,32.0,0,0.518,0.482,0.408,0.518,0.11,2.7,0.186,2.7,"(10.7, 53.3)",42.55,10.85,High,Analytical
Mike Conley,BetOnline.ag,player_points,8.5,-127,Over,12.56,0,0.71,0.29,0.559,0.71,0.151,2.69,0.342,1.97,"(0.0, 26.9)",26.92,7.33,High,Analytical
Amen Thompson,BetRivers,player_points,15.5,-115,Over,22.32,0,0.679,0.321,0.535,0.679,0.144,2.69,0.31,2.17,"(0.0, 51.1)",51.09,14.68,High,Analytical
Klay Thompson,BetMGM,player_points,10.5,-118,Over,14.65,0,0.686,0.314,0.541,0.686,0.145,2.68,0.316,2.12,"(0.0, 31.4)",31.38,8.54,High,Analytical
Josh Minott,DraftKings,player_points,7.5,-119,Over,11.57,0,0.689,0.311,0.543,0.689,0.146,2.68,0.319,2.1,"(0.0, 27.8)",27.78,8.27,High,Analytical
Ben Sheppard,Bovada,player_points,9.5,-150,Over,14.68,0,0.76,0.24,0.6,0.76,0.16,2.67,0.4,1.67,"(0.3, 29.0)",28.74,7.33,High,Analytical
Julius Randle,Bovada,player_points,25.5,115,Over,27.9,0,0.589,0.411,0.465,0.589,0.124,2.67,0.232,2.67,"(7.1, 48.7)",41.63,10.62,High,Analytical
Nikola Jokic,FanDuel,player_points,26.5,-111,Under,22.0,0,0.334,0.666,0.526,0.666,0.14,2.67,0.296,2.25,"(1.5, 42.5)",41.04,10.47,High,Analytical
Kyle Filipowski,FanDuel,player_points,9.5,-132,Over,13.7,0,0.72,0.28,0.569,0.72,0.151,2.66,0.351,1.89,"(0.0, 27.8)",27.8,7.2,High,Analytical
Sam Hauser,Bovada,player_points,8.5,-130,Over,12.86,0,0.715,0.285,0.565,0.715,0.15,2.65,0.345,1.92,"(0.0, 27.9)",27.88,7.67,High,Analytical
Kevin Huerter,Bovada,player_points,11.5,-130,Over,15.81,0,0.715,0.285,0.565,0.715,0.15,2.65,0.344,1.92,"(0.9, 30.7)",29.74,7.59,High,Analytical
Grayson Allen,Bovada,player_points,18.5,145,Over,18.87,0,0.516,0.484,0.408,0.516,0.108,2.65,0.183,2.65,"(1.1, 36.7)",35.63,9.09,High,Analytical
Christian Braun,Bovada,player_points,13.5,110,Over,16.2,0,0.602,0.398,0.476,0.602,0.126,2.65,0.241,2.65,"(0.0, 36.6)",36.64,10.43,High,Analytical
Luka Garza,BetOnline.ag,player_points,6.5,-120,Over,9.55,0,0.69,0.31,0.545,0.69,0.144,2.65,0.318,2.08,"(0.0, 21.6)",21.63,6.16,High,Analytical
Jaden McDaniels,Bovada,player_points,15.5,-125,Over,20.08,0,0.702,0.298,0.556,0.702,0.147,2.64,0.33,2.0,"(3.2, 37.0)",33.8,8.62,High,Analytical
Dean Wade,BetRivers,player_points,5.5,-110,Over,7.87,0,0.662,0.338,0.524,0.662,0.138,2.64,0.29,2.27,"(0.0, 19.0)",19.0,5.68,Med,Analytical
Jaden McDaniels,DraftKings,player_points,15.5,-125,Over,20.08,0,0.702,0.298,0.556,0.702,0.147,2.64,0.33,2.0,"(3.2, 37.0)",33.8,8.62,High,Analytical
D'Angelo Russell,BetRivers,player_points,13.5,104,Over,16.11,0,0.619,0.381,0.49,0.619,0.129,2.62,0.252,2.6,"(0.0, 33.0)",33.0,8.62,High,Analytical
Isaac Okoro,Bovada,player_points,6.5,-160,Over,11.48,0,0.776,0.224,0.615,0.776,0.161,2.62,0.418,1.56,"(0.0, 24.3)",24.32,6.55,High,Analytical
Nikola Jokic,DraftKings,player_points,26.5,-112,Under,22.0,0,0.334,0.666,0.528,0.666,0.138,2.61,0.293,2.23,"(1.5, 42.5)",41.04,10.47,High,Analytical
Lauri Markkanen,BetRivers,player_points,21.5,-157,Over,29.3,0,0.77,0.23,0.611,0.77,0.16,2.61,0.41,1.59,"(8.6, 50.0)",41.33,10.54,High,Analytical
Jrue Holiday,Bovada,player_points,13.5,-165,Over,20.41,0,0.785,0.215,0.623,0.785,0.163,2.61,0.431,1.52,"(3.3, 37.5)",34.28,8.74,High,Analytical
Ayo Dosunmu,DraftKings,player_points,12.5,-125,Over,16.32,0,0.7,0.3,0.556,0.7,0.144,2.6,0.324,2.0,"(2.0, 30.6)",28.59,7.29,High,Analytical
Alperen Sengun,Bovada,player_points,21.5,-115,Over,25.55,0,0.674,0.326,0.535,0.674,0.139,2.6,0.299,2.17,"(7.9, 43.2)",35.25,8.99,High,Analytical
Jerami Grant,BetMGM,player_points,15.5,-118,Over,20.06,0,0.682,0.318,0.541,0.682,0.141,2.6,0.307,2.12,"(1.2, 38.9)",37.71,9.62,High,Analytical
Alperen Sengun,FanDuel,player_points,21.5,-115,Over,25.55,0,0.674,0.326,0.535,0.674,0.139,2.6,0.299,2.17,"(7.9, 43.2)",35.25,8.99,High,Analytical
Jalen Green,BetRivers,player_points,13.5,-155,Over,20.98,0,0.765,0.235,0.608,0.765,0.157,2.59,0.401,1.61,"(0.7, 41.2)",40.53,10.34,High,Analytical
Svi Mykhailiuk,BetRivers,player_points,10.5,108,Over,12.47,0,0.605,0.395,0.481,0.605,0.124,2.58,0.238,2.58,"(0.0, 27.0)",26.99,7.41,High,Analytical
Klay Thompson,Bovada,player_points,10.5,-120,Over,14.65,0,0.686,0.314,0.545,0.686,0.141,2.58,0.31,2.08,"(0.0, 31.4)",31.38,8.54,High,Analytical
Jerami Grant,BetRivers,player_points,16.5,-105,Over,20.06,0,0.644,0.356,0.512,0.644,0.132,2.58,0.271,2.38,"(1.2, 38.9)",37.71,9.62,High,Analytical
Russell Westbrook,Bovada,player_points,12.5,115,Over,14.28,0,0.585,0.415,0.465,0.585,0.12,2.57,0.224,2.57,"(0.0, 30.6)",30.56,8.31,High,Analytical
Anthony Davis,BetOnline.ag,player_points,25.5,-122,Over,30.99,0,0.69,0.31,0.55,0.69,0.141,2.56,0.312,2.05,"(9.3, 52.7)",43.37,11.06,High,Analytical
Nikola Jokic,BetRivers,player_points,26.5,-113,Under,22.0,0,0.334,0.666,0.531,0.666,0.136,2.56,0.29,2.21,"(1.5, 42.5)",41.04,10.47,High,Analytical
Mike Conley,FanDuel,player_points,8.5,-130,Over,12.56,0,0.71,0.29,0.565,0.71,0.145,2.56,0.333,1.92,"(0.0, 26.9)",26.92,7.33,High,Analytical
Mike Conley,BetMGM,player_points,8.5,-130,Over,12.56,0,0.71,0.29,0.565,0.71,0.145,2.56,0.333,1.92,"(0.0, 26.9)",26.92,7.33,High,Analytical
Zach LaVine,BetRivers,player_points,22.5,-118,Over,27.68,0,0.68,0.32,0.541,0.68,0.139,2.56,0.303,2.12,"(6.0, 49.4)",43.38,11.07,High,Analytical
Domantas Sabonis,FanDuel,player_points,17.5,-118,Under,14.42,0,0.321,0.679,0.541,0.679,0.138,2.55,0.301,2.12,"(1.5, 27.4)",25.88,6.6,High,Analytical
Jalen Suggs,BetMGM,player_points,10.5,-115,Over,13.63,0,0.671,0.329,0.535,0.671,0.136,2.55,0.293,2.17,"(0.0, 27.5)",27.48,7.07,High,Analytical
Jalen Duren,BetOnline.ag,player_points,12.5,-116,Over,17.74,0,0.674,0.326,0.537,0.674,0.137,2.55,0.296,2.16,"(0.0, 40.5)",40.5,11.61,High,Analytical
Kyle Filipowski,Bovada,player_points,9.5,-135,Over,13.7,0,0.72,0.28,0.574,0.72,0.146,2.54,0.342,1.85,"(0.0, 27.8)",27.8,7.2,High,Analytical
Deandre Ayton,BetRivers,player_points,14.5,-130,Over,18.6,0,0.708,0.292,0.565,0.708,0.143,2.53,0.329,1.92,"(3.9, 33.3)",29.34,7.48,High,Analytical
Anthony Davis,BetRivers,player_points,24.5,-136,Over,30.99,0,0.721,0.279,0.576,0.721,0.145,2.52,0.342,1.84,"(9.3, 52.7)",43.37,11.06,High,Analytical
Trae Young,Bovada,player_points,24.5,125,Over,26.03,0,0.556,0.444,0.444,0.556,0.112,2.52,0.201,2.52,"(4.9, 47.2)",42.35,10.8,High,Analytical
Zach LaVine,DraftKings,player_points,22.5,-119,Over,27.68,0,0.68,0.32,0.543,0.68,0.137,2.52,0.299,2.1,"(6.0, 49.4)",43.38,11.07,High,Analytical
Anthony Davis,DraftKings,player_points,25.5,-123,Over,30.99,0,0.69,0.31,0.552,0.69,0.139,2.51,0.309,2.03,"(9.3, 52.7)",43.37,11.06,High,Analytical
Tre Jones,Bovada,player_points,12.5,-130,Over,16.65,0,0.707,0.293,0.565,0.707,0.142,2.51,0.326,1.92,"(1.7, 31.6)",29.83,7.61,High,Analytical
Toumani Camara,BetRivers,player_points,11.5,-108,Over,14.74,0,0.649,0.351,0.519,0.649,0.13,2.51,0.271,2.31,"(0.0, 31.3)",31.28,8.44,High,Analytical
Day'Ron Sharpe,DraftKings,player_points,7.5,-124,Over,10.68,0,0.693,0.307,0.554,0.693,0.139,2.51,0.312,2.02,"(0.0, 23.0)",23.03,6.3,High,Analytical
Cedric Coward,BetOnline.ag,player_points,11.5,-114,Over,15.75,0,0.666,0.334,0.533,0.666,0.134,2.51,0.286,2.19,"(0.0, 35.1)",35.1,9.87,High,Analytical
Svi Mykhailiuk,BetMGM,player_points,9.5,-110,Over,12.47,0,0.655,0.345,0.524,0.655,0.132,2.51,0.277,2.27,"(0.0, 27.0)",26.99,7.41,High,Analytical
Lauri Markkanen,Bovada,player_points,22.5,-145,Over,29.3,0,0.741,0.259,0.592,0.741,0.149,2.51,0.365,1.72,"(8.6, 50.0)",41.33,10.54,High,Analytical
Svi Mykhailiuk,Bovada,player_points,9.5,-110,Over,12.47,0,0.655,0.345,0.524,0.655,0.132,2.51,0.277,2.27,"(0.0, 27.0)",26.99,7.41,High,Analytical
Brandon Ingram,BetRivers,player_points,18.5,-134,Over,24.22,0,0.716,0.284,0.573,0.716,0.143,2.5,0.335,1.87,"(4.6, 43.9)",39.32,10.03,High,Analytical
Derrick White,Bovada,player_points,22.5,140,Over,23.06,0,0.521,0.479,0.417,0.521,0.104,2.5,0.179,2.5,"(2.4, 43.7)",41.32,10.54,High,Analytical
Jaylen Brown,DraftKings,player_points,23.5,-117,Over,29.33,0,0.674,0.326,0.539,0.674,0.135,2.5,0.293,2.14,"(4.0, 54.7)",50.66,12.92,High,Analytical
Anthony Black,BetRivers,player_points,10.5,100,Over,12.91,0,0.625,0.375,0.5,0.625,0.125,2.5,0.25,2.5,"(0.0, 27.8)",27.76,7.58,High,Analytical
Kevin Huerter,FanDuel,player_points,12.5,-115,Over,15.81,0,0.669,0.331,0.535,0.669,0.134,2.5,0.288,2.17,"(0.9, 30.7)",29.74,7.59,High,Analytical
Dean Wade,BetMGM,player_points,6.5,110,Over,7.87,0,0.595,0.405,0.476,0.595,0.119,2.5,0.228,2.5,"(0.0, 19.0)",19.0,5.68,Med,Analytical
Nickeil Alexander-Walker,BetRivers,player_points,10.5,-165,Over,17.31,0,0.777,0.223,0.623,0.777,0.155,2.48,0.41,1.52,"(0.0, 34.8)",34.79,8.92,High,Analytical
Zach LaVine,Bovada,player_points,22.5,-120,Over,27.68,0,0.68,0.32,0.545,0.68,0.135,2.47,0.296,2.08,"(6.0, 49.4)",43.38,11.07,High,Analytical
Christian Braun,DraftKings,player_points,12.5,-105,Over,16.2,0,0.639,0.361,0.512,0.639,0.126,2.47,0.259,2.38,"(0.0, 36.6)",36.64,10.43,High,Analytical
Alperen Sengun,BetRivers,player_points,22.5,-103,Over,25.55,0,0.633,0.367,0.507,0.633,0.125,2.47,0.255,2.43,"(7.9, 43.2)",35.25,8.99,High,Analytical
Domantas Sabonis,BetRivers,player_points,16.5,100,Under,14.42,0,0.377,0.623,0.5,0.623,0.123,2.47,0.247,2.47,"(1.5, 27.4)",25.88,6.6,High,Analytical
Kevin Huerter,BetRivers,player_points,10.5,-155,Over,15.81,0,0.758,0.242,0.608,0.758,0.15,2.47,0.383,1.61,"(0.9, 30.7)",29.74,7.59,High,Analytical
Collin Gillespie,BetOnline.ag,player_points,9.5,-110,Over,12.38,0,0.653,0.347,0.524,0.653,0.129,2.47,0.272,2.27,"(0.0, 26.7)",26.71,7.31,High,Analytical
Luka Garza,DraftKings,player_points,6.5,-124,Over,9.55,0,0.69,0.31,0.554,0.69,0.136,2.46,0.305,2.02,"(0.0, 21.6)",21.63,6.16,High,Analytical
Domantas Sabonis,BetMGM,player_points,17.5,-120,Under,14.42,0,0.321,0.679,0.545,0.679,0.134,2.46,0.295,2.08,"(1.5, 27.4)",25.88,6.6,High,Analytical
Cedric Coward,BetMGM,player_points,11.5,-115,Over,15.75,0,0.666,0.334,0.535,0.666,0.132,2.46,0.283,2.17,"(0.0, 35.1)",35.1,9.87,High,Analytical
Nikola Jokic,BetMGM,player_points,26.5,-115,Under,22.0,0,0.334,0.666,0.535,0.666,0.132,2.46,0.283,2.17,"(1.5, 42.5)",41.04,10.47,High,Analytical
Immanuel Quickley,Bovada,player_points,18.5,165,Over,17.87,0,0.47,0.53,0.377,0.47,0.093,2.46,0.149,2.46,"(1.4, 34.3)",32.96,8.41,High,Analytical
Cedric Coward,Bovada,player_points,11.5,-115,Over,15.75,0,0.666,0.334,0.535,0.666,0.132,2.46,0.283,2.17,"(0.0, 35.1)",35.1,9.87,High,Analytical
Nikola Jokic,BetOnline.ag,player_points,26.5,-115,Under,22.0,0,0.334,0.666,0.535,0.666,0.132,2.46,0.283,2.17,"(1.5, 42.5)",41.04,10.47,High,Analytical
Jaden McDaniels,BetRivers,player_points,16.5,-113,Over,20.08,0,0.661,0.339,0.531,0.661,0.13,2.46,0.278,2.21,"(3.2, 37.0)",33.8,8.62,High,Analytical
Zach LaVine,BetOnline.ag,player_points,23.5,-108,Over,27.68,0,0.647,0.353,0.519,0.647,0.128,2.46,0.266,2.31,"(6.0, 49.4)",43.38,11.07,High,Analytical
Ben Sheppard,Bovada,player_points,8.5,-180,Over,14.68,0,0.8,0.2,0.643,0.8,0.158,2.45,0.441,1.39,"(0.3, 29.0)",28.74,7.33,High,Analytical
Anthony Black,DraftKings,player_points,9.5,-118,Over,12.91,0,0.674,0.326,0.541,0.674,0.133,2.45,0.289,2.12,"(0.0, 27.8)",27.76,7.58,High,Analytical
