player1,player2,line1,line2,pred1,pred2,model_side1,model_side2,prob1,prob2,prob_both,edge1,edge2,combined_edge,ev_percent,kelly_full,recommendation,confidence_interval1,confidence_interval2,interval_width1,interval_width2,sigma1,sigma2,sigma_flag1,sigma_flag2,simulation_method
Harrison Barnes,Bruce Brown,9.5,4.5,11.58,9.24,over,over,0.668,0.85,0.5109,0.09,0.272,0.181,0.53,0.266,0,"(0.5, 22.6)","(0.0, 19.6)",22.08,19.62,5.63,5.29,Med,Med,Monte Carlo
Sion James,Harrison Barnes,5.5,9.5,10.28,11.58,over,over,0.836,0.668,0.5025,0.258,0.09,0.174,0.51,0.254,0,"(0.0, 21.5)","(0.5, 22.6)",21.46,22.08,5.7,5.63,Med,Med,Monte Carlo
Corey Kispert,Keldon Johnson,6.5,11.5,10.5,14.12,over,over,0.784,0.714,0.5039,0.206,0.136,0.171,0.51,0.256,0,"(0.0, 22.2)","(3.4, 24.8)",22.22,21.37,5.98,5.45,Med,Med,Monte Carlo
Harrison Barnes,Chris Paul,9.5,4.5,11.58,9.01,over,over,0.668,0.836,0.5023,0.09,0.258,0.174,0.51,0.253,0,"(0.5, 22.6)","(0.0, 19.6)",22.08,19.57,5.63,5.39,Med,Med,Monte Carlo
Jaylin Williams,Harrison Barnes,5.5,9.5,9.99,11.58,over,over,0.83,0.668,0.4987,0.252,0.09,0.171,0.5,0.248,0,"(0.0, 20.7)","(0.5, 22.6)",20.72,22.08,5.48,5.63,Med,Med,Monte Carlo
Harrison Barnes,Peyton Watson,9.5,5.5,11.58,9.28,over,over,0.668,0.825,0.496,0.09,0.247,0.168,0.49,0.244,0,"(0.5, 22.6)","(0.0, 18.5)",22.08,18.49,5.63,4.72,Med,Med,Monte Carlo
Goga Bitadze,Keldon Johnson,5.5,11.5,8.51,14.12,over,over,0.757,0.714,0.4864,0.179,0.136,0.157,0.46,0.23,0,"(0.0, 18.5)","(3.4, 24.8)",18.48,21.37,5.09,5.45,Med,Med,Monte Carlo
Bobby Portis,Bruce Brown,9.5,4.5,10.8,9.24,over,over,0.613,0.85,0.4687,0.035,0.272,0.153,0.41,0.203,0,"(0.7, 20.9)","(0.0, 19.6)",20.17,19.62,5.15,5.29,Med,Med,Monte Carlo
Corey Kispert,Harrison Barnes,6.5,9.5,10.5,11.58,over,over,0.784,0.668,0.4712,0.206,0.09,0.148,0.41,0.207,0,"(0.0, 22.2)","(0.5, 22.6)",22.22,22.08,5.98,5.63,Med,Med,Monte Carlo
Sion James,Bobby Portis,5.5,9.5,10.28,10.8,over,over,0.836,0.613,0.4609,0.258,0.035,0.146,0.38,0.191,0,"(0.0, 21.5)","(0.7, 20.9)",21.46,20.17,5.7,5.15,Med,Med,Monte Carlo
Bobby Portis,Chris Paul,9.5,4.5,10.8,9.01,over,over,0.613,0.836,0.4608,0.035,0.258,0.146,0.38,0.191,0,"(0.7, 20.9)","(0.0, 19.6)",20.17,19.57,5.15,5.39,Med,Med,Monte Carlo
Bobby Portis,Jaylin Williams,9.5,5.5,10.8,9.99,over,over,0.613,0.83,0.4574,0.035,0.252,0.143,0.37,0.186,0,"(0.7, 20.9)","(0.0, 20.7)",20.17,20.72,5.15,5.48,Med,Med,Monte Carlo
Goga Bitadze,Harrison Barnes,5.5,9.5,8.51,11.58,over,over,0.757,0.668,0.4549,0.179,0.09,0.134,0.36,0.182,0,"(0.0, 18.5)","(0.5, 22.6)",18.48,22.08,5.09,5.63,Med,Med,Monte Carlo
Bobby Portis,Peyton Watson,9.5,5.5,10.8,9.28,over,over,0.613,0.825,0.455,0.035,0.247,0.141,0.36,0.182,0,"(0.7, 20.9)","(0.0, 18.5)",20.17,18.49,5.15,4.72,Med,Med,Monte Carlo
Bobby Portis,Corey Kispert,9.5,6.5,10.8,10.5,over,over,0.613,0.784,0.4323,0.035,0.206,0.12,0.3,0.148,0,"(0.7, 20.9)","(0.0, 22.2)",20.17,22.22,5.15,5.98,Med,Med,Monte Carlo
Goga Bitadze,Bobby Portis,5.5,9.5,8.51,10.8,over,over,0.757,0.613,0.4173,0.179,0.035,0.107,0.25,0.126,0,"(0.0, 18.5)","(0.7, 20.9)",18.48,20.17,5.09,5.15,Med,Med,Monte Carlo
Bobby Portis,Keldon Johnson,9.5,11.5,10.8,14.12,over,over,0.613,0.714,0.3937,0.035,0.136,0.085,0.18,0.091,0,"(0.7, 20.9)","(3.4, 24.8)",20.17,21.37,5.15,5.45,Med,Med,Monte Carlo
Bobby Portis,Harrison Barnes,9.5,9.5,10.8,11.58,over,over,0.613,0.668,0.3682,0.035,0.09,0.062,0.1,0.052,0,"(0.7, 20.9)","(0.5, 22.6)",20.17,22.08,5.15,5.63,Med,Med,Monte Carlo
