player1,player2,player3,line1,line2,line3,pred1,pred2,pred3,model_side1,model_side2,model_side3,prob1,prob2,prob3,prob_all_three,edge1,edge2,edge3,combined_edge,ev_percent,kelly_full,recommendation,confidence_interval1,confidence_interval2,confidence_interval3,interval_width1,interval_width2,interval_width3,sigma1,sigma2,sigma3,sigma_flag1,sigma_flag2,sigma_flag3,simulation_method
Corey Kispert,Keldon Johnson,Harrison Barnes,6.5,11.5,9.5,10.5,14.12,11.58,over,over,over,0.749,0.686,0.641,0.2669,0.171,0.108,0.063,0.114,0.6,0.12,0,"(0.0, 22.2)","(3.4, 24.8)","(0.5, 22.6)",22.22,21.37,22.08,5.98,5.45,5.63,Med,Med,Med,Monte Carlo
Bobby Portis,Jaylin Williams,Keldon Johnson,9.5,5.5,11.5,10.8,9.99,14.12,over,over,over,0.6,0.8,0.68,0.2646,0.022,0.222,0.102,0.116,0.59,0.118,0,"(0.7, 20.9)","(0.0, 20.7)","(3.4, 24.8)",20.17,20.72,21.37,5.15,5.48,5.45,Med,Med,Med,Monte Carlo
Sion James,Bobby Portis,Keldon Johnson,5.5,9.5,11.5,10.28,10.8,14.12,over,over,over,0.798,0.604,0.68,0.2657,0.22,0.026,0.102,0.116,0.59,0.119,0,"(0.0, 21.5)","(0.7, 20.9)","(3.4, 24.8)",21.46,20.17,21.37,5.7,5.15,5.45,Med,Med,Med,Monte Carlo
Bobby Portis,Keldon Johnson,Chris Paul,9.5,11.5,4.5,10.8,14.12,9.01,over,over,over,0.6,0.686,0.791,0.2635,0.022,0.108,0.213,0.114,0.58,0.116,0,"(0.7, 20.9)","(3.4, 24.8)","(0.0, 19.6)",20.17,21.37,19.57,5.15,5.45,5.39,Med,Med,Med,Monte Carlo
Bobby Portis,Alex Caruso,Corey Kispert,9.5,8.0,6.5,10.8,11.03,10.5,over,over,over,0.6,0.705,0.741,0.2537,0.022,0.127,0.163,0.104,0.52,0.104,0,"(0.7, 20.9)","(0.0, 22.2)","(0.0, 22.2)",20.17,22.18,22.22,5.15,5.69,5.98,Med,Med,Med,Monte Carlo
Bobby Portis,Jaylin Williams,Harrison Barnes,9.5,5.5,9.5,10.8,9.99,11.58,over,over,over,0.6,0.8,0.641,0.2493,0.022,0.222,0.063,0.102,0.5,0.099,0,"(0.7, 20.9)","(0.0, 20.7)","(0.5, 22.6)",20.17,20.72,22.08,5.15,5.48,5.63,Med,Med,Med,Monte Carlo
Sion James,Bobby Portis,Harrison Barnes,5.5,9.5,9.5,10.28,10.8,11.58,over,over,over,0.798,0.604,0.641,0.2504,0.22,0.026,0.063,0.103,0.5,0.1,0,"(0.0, 21.5)","(0.7, 20.9)","(0.5, 22.6)",21.46,20.17,22.08,5.7,5.15,5.63,Med,Med,Med,Monte Carlo
Alex Caruso,Keldon Johnson,Harrison Barnes,8.0,11.5,9.5,11.03,14.12,11.58,over,over,over,0.703,0.686,0.641,0.2503,0.125,0.108,0.063,0.099,0.5,0.1,0,"(0.0, 22.2)","(3.4, 24.8)","(0.5, 22.6)",22.18,21.37,22.08,5.69,5.45,5.63,Med,Med,Med,Monte Carlo
Bobby Portis,Harrison Barnes,Chris Paul,9.5,9.5,4.5,10.8,11.58,9.01,over,over,over,0.6,0.649,0.791,0.2494,0.022,0.071,0.213,0.102,0.5,0.099,0,"(0.7, 20.9)","(0.5, 22.6)","(0.0, 19.6)",20.17,22.08,19.57,5.15,5.63,5.39,Med,Med,Med,Monte Carlo
Bobby Portis,Corey Kispert,Keldon Johnson,9.5,6.5,11.5,10.8,10.5,14.12,over,over,over,0.6,0.753,0.68,0.249,0.022,0.175,0.102,0.1,0.49,0.099,0,"(0.7, 20.9)","(0.0, 22.2)","(3.4, 24.8)",20.17,22.22,21.37,5.15,5.98,5.45,Med,Med,Med,Monte Carlo
Bobby Portis,Corey Kispert,Harrison Barnes,9.5,6.5,9.5,10.8,10.5,11.58,over,over,over,0.6,0.753,0.641,0.2347,0.022,0.175,0.063,0.087,0.41,0.082,0,"(0.7, 20.9)","(0.0, 22.2)","(0.5, 22.6)",20.17,22.22,22.08,5.15,5.98,5.63,Med,Med,Med,Monte Carlo
Bobby Portis,Alex Caruso,Keldon Johnson,9.5,8.0,11.5,10.8,11.03,14.12,over,over,over,0.6,0.705,0.68,0.233,0.022,0.127,0.102,0.084,0.4,0.08,0,"(0.7, 20.9)","(0.0, 22.2)","(3.4, 24.8)",20.17,22.18,21.37,5.15,5.69,5.45,Med,Med,Med,Monte Carlo
Bobby Portis,Alex Caruso,Harrison Barnes,9.5,8.0,9.5,10.8,11.03,11.58,over,over,over,0.6,0.705,0.641,0.2196,0.022,0.127,0.063,0.071,0.32,0.063,0,"(0.7, 20.9)","(0.0, 22.2)","(0.5, 22.6)",20.17,22.18,22.08,5.15,5.69,5.63,Med,Med,Med,Monte Carlo
Bobby Portis,Keldon Johnson,Harrison Barnes,9.5,11.5,9.5,10.8,14.12,11.58,over,over,over,0.6,0.686,0.641,0.2136,0.022,0.108,0.063,0.064,0.28,0.056,0,"(0.7, 20.9)","(3.4, 24.8)","(0.5, 22.6)",20.17,21.37,22.08,5.15,5.45,5.63,Med,Med,Med,Monte Carlo
