BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS
PrizePicks,player_points_assists,Jackie Young,Under,21.5,-137
PrizePicks,player_points_assists,Skylar Diggins-Smith,Over,19.5,-137
PrizePicks,player_points_assists,Skylar Diggins-Smith,Under,19.5,-137
PrizePicks,player_points_assists,Nneka Ogwumike,Over,19.5,-137
PrizePicks,player_points_assists,Nneka Ogwumike,Under,19.5,-137
PrizePicks,player_points_assists,Erica Wheeler,Over,12.5,-137
PrizePicks,player_points_assists,Erica Wheeler,Under,12.5,-137
PrizePicks,player_points_assists,Brittney Sykes,Over,14.5,-137
PrizePicks,player_points_assists,Brittney Sykes,Under,14.5,-137
Underdog,player_points_assists,Veronica Burton,Over,17.5,-137
Underdog,player_points_assists,Veronica Burton,Under,17.5,-137
Underdog,player_points_assists,Aliyah Boston,Over,17.5,-137
Underdog,player_points_assists,Aliyah Boston,Under,17.5,-137
Underdog,player_points_assists,Jordin Canada,Over,16.5,-137
Underdog,player_points_assists,Jordin Canada,Under,16.5,-137
PrizePicks,player_rebounds_assists,Napheesa Collier,Over,10.0,-137
PrizePicks,player_rebounds_assists,Napheesa Collier,Under,10.0,-137
PrizePicks,player_rebounds_assists,Courtney Williams,Over,10.5,-137
PrizePicks,player_rebounds_assists,Courtney Williams,Under,10.5,-137
PrizePicks,player_rebounds_assists,Veronica Burton,Over,9.5,-137
PrizePicks,player_rebounds_assists,Veronica Burton,Under,9.5,-137
PrizePicks,player_rebounds_assists,Rhyne Howard,Over,8.0,-137
PrizePicks,player_rebounds_assists,Rhyne Howard,Under,8.0,-137
PrizePicks,player_rebounds_assists,Allisha Gray,Over,8.5,-137
PrizePicks,player_rebounds_assists,Allisha Gray,Under,8.5,-137
PrizePicks,player_rebounds_assists,Breanna Stewart,Over,10.5,-137
PrizePicks,player_rebounds_assists,Breanna Stewart,Under,10.5,-137
PrizePicks,player_rebounds_assists,Sabrina Ionescu,Over,10.5,-137
PrizePicks,player_rebounds_assists,Sabrina Ionescu,Under,10.5,-137
PrizePicks,player_rebounds_assists,Jonquel Jones,Over,12.0,-137
PrizePicks,player_rebounds_assists,Jonquel Jones,Under,12.0,-137
PrizePicks,player_rebounds_assists,Natasha Cloud,Over,8.0,-137
PrizePicks,player_rebounds_assists,Natasha Cloud,Under,8.0,-137
PrizePicks,player_rebounds_assists,Kahleah Copper,Over,5.5,-137
PrizePicks,player_rebounds_assists,Kahleah Copper,Under,5.5,-137
PrizePicks,player_rebounds_assists,Alyssa Thomas,Over,18.5,-137
PrizePicks,player_rebounds_assists,Alyssa Thomas,Under,18.5,-137
PrizePicks,player_rebounds_assists,Alyssa Thomas,Over,18.5,-137
PrizePicks,player_rebounds_assists,Alyssa Thomas,Under,18.5,-137
