player,market,bookmaker,side,line,price,home_team,away_team,game_id,commence_time
Derrick White,player_assists,Underdog,Over,4.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Derrick White,player_assists,Underdog,Under,4.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jayson Tatum,player_points,Underdog,Over,28.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jayson Tatum,player_points,Underdog,Under,28.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jaylen Brown,player_points,Underdog,Over,25.0,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jaylen Brown,player_points,Underdog,Under,25.0,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Derrick White,player_points,Underdog,Over,17.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Derrick White,player_points,Underdog,Under,17.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jalen Johnson,player_points,Underdog,Over,21.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jalen Johnson,player_points,Underdog,Under,21.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Zaccharie Risacher,player_points,Underdog,Over,14.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Zaccharie Risacher,player_points,Underdog,Under,14.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jrue Holiday,player_points,Underdog,Over,13.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jrue Holiday,player_points,Underdog,Under,13.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Dyson Daniels,player_points,Underdog,Over,13.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Dyson Daniels,player_points,Underdog,Under,13.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jalen Johnson,player_assists,PrizePicks,Over,5.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jalen Johnson,player_assists,PrizePicks,Under,5.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jayson Tatum,player_assists,PrizePicks,Over,5.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jayson Tatum,player_assists,PrizePicks,Under,5.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jaylen Brown,player_assists,PrizePicks,Over,4.0,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jaylen Brown,player_assists,PrizePicks,Under,4.0,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Dyson Daniels,player_assists,PrizePicks,Over,4.0,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Dyson Daniels,player_assists,PrizePicks,Under,4.0,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Derrick White,player_assists,PrizePicks,Over,4.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Derrick White,player_assists,PrizePicks,Under,4.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jrue Holiday,player_assists,PrizePicks,Over,4.0,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jrue Holiday,player_assists,PrizePicks,Under,4.0,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Al Horford,player_assists,PrizePicks,Over,2.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Al Horford,player_assists,PrizePicks,Under,2.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jalen Johnson,player_points,PrizePicks,Over,21.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jalen Johnson,player_points,PrizePicks,Under,21.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jayson Tatum,player_points,PrizePicks,Over,28.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jayson Tatum,player_points,PrizePicks,Under,28.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Zaccharie Risacher,player_points,PrizePicks,Over,14.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Zaccharie Risacher,player_points,PrizePicks,Under,14.5,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jaylen Brown,player_points,PrizePicks,Over,25.0,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
Jaylen Brown,player_points,PrizePicks,Under,25.0,-137,Boston Celtics,Atlanta Hawks,74058cb479045efa21ebd5c57050e23e,2024-11-13T00:10:00Z
