market,bookmaker,player,side,line,price,home_team,away_team,game_id,commence_time
player_assists,PrizePicks,Jalen Brunson,Over,7.0,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_assists,PrizePicks,Jalen Brunson,Under,7.0,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_assists,PrizePicks,Derrick White,Over,4.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_assists,PrizePicks,Derrick White,Under,4.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_assists,PrizePicks,Jrue Holiday,Over,4.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_assists,PrizePicks,Jrue Holiday,Under,4.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_assists,PrizePicks,Josh Hart,Over,4.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_assists,PrizePicks,Josh Hart,Under,4.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_assists,PrizePicks,OG Anunoby,Over,1.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_assists,PrizePicks,OG Anunoby,Under,1.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Jayson Tatum,Over,26.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Jayson Tatum,Under,26.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Jalen Brunson,Over,27.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Jalen Brunson,Under,27.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Jaylen Brown,Over,23.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Jaylen Brown,Under,23.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Mikal Bridges,Over,14.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Mikal Bridges,Under,14.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Derrick White,Over,14.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Derrick White,Under,14.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Karl-Anthony Towns,Over,21.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Karl-Anthony Towns,Under,21.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Jrue Holiday,Over,12.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Jrue Holiday,Under,12.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Josh Hart,Over,9.0,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Josh Hart,Under,9.0,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Al Horford,Over,8.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Al Horford,Under,8.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,OG Anunoby,Over,13.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,OG Anunoby,Under,13.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Payton Pritchard,Over,8.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Payton Pritchard,Under,8.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
player_points,PrizePicks,Miles McBride,Over,8.5,-137,Boston Celtics,New York Knicks,92cf7db605a734b10e69eabf56e1eac9,2024-10-22T23:40:00Z
