player,market,bookmaker,side,line,price,home_team,away_team,game_id,commence_time
Donovan Mitchell,player_assists,Underdog,Over,4.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Donovan Mitchell,player_assists,Underdog,Under,4.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Evan Mobley,player_assists,Underdog,Over,2.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Evan Mobley,player_assists,Underdog,Under,2.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Donovan Mitchell,player_points,Underdog,Over,25.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Donovan Mitchell,player_points,Underdog,Under,25.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Darius Garland,player_points,Underdog,Over,21.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Darius Garland,player_points,Underdog,Under,21.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Evan Mobley,player_points,Underdog,Over,16.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Evan Mobley,player_points,Underdog,Under,16.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Alex Sarr,player_points,Underdog,Over,10.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Alex Sarr,player_points,Underdog,Under,10.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Jordan Poole,player_points,Underdog,Over,19.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Jordan Poole,player_points,Underdog,Under,19.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Caris LeVert,player_points,Underdog,Over,11.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Caris LeVert,player_points,Underdog,Under,11.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Carlton Carrington,player_points,Underdog,Over,10.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Carlton Carrington,player_points,Underdog,Under,10.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Bilal Coulibaly,player_points,Underdog,Over,10.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Bilal Coulibaly,player_points,Underdog,Under,10.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Donovan Mitchell,player_rebounds,Underdog,Over,4.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Donovan Mitchell,player_rebounds,Underdog,Under,4.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Jarrett Allen,player_rebounds,Underdog,Over,11.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Jarrett Allen,player_rebounds,Underdog,Under,11.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Isaac Okoro,player_rebounds,Underdog,Over,2.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Isaac Okoro,player_rebounds,Underdog,Under,2.5,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Caris LeVert,player_assists,PrizePicks,Over,4.0,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Caris LeVert,player_assists,PrizePicks,Under,4.0,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Darius Garland,player_assists,PrizePicks,Over,6.0,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Darius Garland,player_assists,PrizePicks,Under,6.0,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Carlton Carrington,player_assists,PrizePicks,Over,4.0,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
Carlton Carrington,player_assists,PrizePicks,Under,4.0,-137,Cleveland Cavaliers,Washington Wizards,571baeece08b336e3826b7ca98b656d6,2024-12-14T00:10:00Z
