NAME,CATEGORY,SIDE,BOOKMAKER,LINE,ODDS,fair_line,fair_odds,GAME_DATE
Jaylen Brown,assists,under,betrivers,2.5,133,3.0,100,2024-10-24
Jrue Holiday,assists,over,betrivers,4.5,-104,4.5,108,2024-10-24
Jayson Tatum,rebounds,over,betrivers,8.5,-109,8.5,116,2024-10-24
Jaylen Brown,points,over,betrivers,22.5,-110,24.5,100,2024-10-24
Kyle Kuzma,assists,under,betrivers,3.5,108,3.5,124,2024-10-24
Jaylen Brown,rebounds,under,betrivers,5.5,-125,5.5,124,2024-10-24
Jayson Tatum,points,under,betrivers,30.5,-124,28.5,-108,2024-10-24
Al Horford,rebounds,over,betrivers,6.5,-107,6.0,100,2024-10-24
Jordan Poole,points,under,betrivers,17.5,-113,17.5,100,2024-10-24
Corey Kispert,points,under,betrivers,11.5,-125,11.5,-105,2024-10-24
Kyle Kuzma,points,under,betrivers,19.5,-114,18.5,100,2024-10-24
Derrick White,points,under,betrivers,15.5,-118,15.5,105,2024-10-24
Jrue Holiday,rebounds,under,betrivers,5.5,-148,5.5,-134,2024-10-24
Jordan Poole,points,over,betrivers,17.5,-125,17.5,100,2024-10-24
Bilal Coulibaly,points,over,betrivers,8.5,-110,8.5,-113,2024-10-24
Luka Dončić,points,over,fanduel,29.5,250,24.5,100,2024-10-24
PJ Washington,rebounds,over,fanduel,5.5,270,5.5,297,2024-10-24
Nikola Jokic,points,over,fanduel,19.5,250,18.0,100,2024-10-25
Domantas Sabonis,rebounds,over,espnbet,8.5,170,12.5,112,2024-10-25
Domantas Sabonis,rebounds,under,espnbet,8.5,-260,12.5,-112,2024-10-25
Malik Monk,points,over,fanduel,16.5,-102,8.0,100,2024-10-25
Malik Monk,points,under,fanduel,16.5,-130,8.0,100,2024-10-25
Dennis Schroder,assists,under,fanduel,5.5,-186,5.5,-155,2024-10-25
Dennis Schroder,assists,over,fanduel,5.5,138,5.5,155,2024-10-25
Kyle Lowry,points,under,fanduel,8.5,110,8.5,-109,2024-10-25
Kyle Lowry,points,over,fanduel,8.5,-146,8.5,109,2024-10-25
Kyle Lowry,assists,over,fanduel,3.5,110,4.0,100,2024-10-25
Kyle Lowry,assists,under,fanduel,3.5,-146,4.0,100,2024-10-25
Mikal Bridges,points,under,fanduel,15.5,-136,15.5,113,2024-10-25
Mikal Bridges,assists,under,fanduel,4.5,122,49.5,100,2024-10-25
Mikal Bridges,points,over,fanduel,15.5,102,15.5,-113,2024-10-25
Mikal Bridges,assists,over,fanduel,4.5,-162,49.5,100,2024-10-25
Darius Garland,points,over,espnbet,13.5,-140,15.0,100,2024-10-25
Donovan Mitchell,points,under,fanduel,22.5,-118,24.5,105,2024-10-25
Jarrett Allen,rebounds,over,espnbet,10.5,-150,10.5,-103,2024-10-25
Donovan Mitchell,points,over,fanduel,22.5,-112,24.5,-105,2024-10-25
Cade Cunningham,points,under,espnbet,33.5,105,30.0,100,2024-10-25
Darius Garland,points,under,espnbet,13.5,100,15.0,100,2024-10-25
Jarrett Allen,points,under,espnbet,17.5,-140,15.5,105,2024-10-25
Jarrett Allen,points,over,espnbet,17.5,100,15.5,-105,2024-10-25
Jarrett Allen,rebounds,under,espnbet,10.5,105,10.5,103,2024-10-25
Cade Cunningham,points,over,espnbet,33.5,-150,30.0,100,2024-10-25
Trae Young,assists,under,espnbet,11.5,-225,11.0,100,2024-10-25
Jalen Johnson,rebounds,under,espnbet,8.5,-185,8.5,-123,2024-10-25
Trae Young,assists,over,espnbet,11.5,150,11.0,100,2024-10-25
Jalen Johnson,rebounds,over,espnbet,8.5,130,8.5,123,2024-10-25
Trae Young,points,under,espnbet,38.5,-140,34.5,727,2024-10-25
Trae Young,points,over,espnbet,38.5,100,34.5,-727,2024-10-25
